"interval","common","site_1","site_2","site_3"
1,0.12,0.023,0.075,0.262
2,0.110227272727273,0.0204708290685773,0.0886486486486486,0.25609756097561
3,0.0902511707109408,0.0135841170323929,0.0747330960854092,0.247723132969035
4,0.0659803462798315,0.00741525423728814,0.0769230769230769,0.179176755447942
5,0.0556112224448898,0.00853788687299893,0.0763888888888889,0.141592920353982
6,0.0615384615384615,0.0172228202368138,0.0781954887218045,0.164948453608247
7,0.0407009609949124,0.00985761226725082,0.068515497553018,0.0864197530864197
8,0.0359457866823807,0.00995575221238938,0.0490367775831874,0.108108108108108
9,0.0311735941320293,0.00446927374301676,0.0515653775322284,0.095959595959596
10,0.0340694006309148,0.0134680134680135,0.054368932038835,0.0782122905027933
11,0.0326583932070542,0.0102389078498294,0.0554414784394251,0.0848484848484849
12,0.0276839972991222,0.00689655172413793,0.041304347826087,0.105960264900662
13,0.0222222222222222,0.00810185185185185,0.0317460317460317,0.0814814814814815
14,0.0248579545454545,0.0105017502917153,0.0421545667447307,0.0645161290322581
15,0.0305899490167516,0.0117924528301887,0.0488997555012225,0.103448275862069
16,0.0315552216378663,0.0190930787589499,0.0462724935732648,0.0769230769230769
17,0.0186190845616757,0.0109489051094891,0.0350404312668464,0.0208333333333333
18,0.0237154150197628,0.00615006150061501,0.0446927374301676,0.0957446808510638
19,0.0186234817813765,0.0099009900990099,0.0350877192982456,0.0352941176470588
20,0.0173267326732673,0.0075,0.0363636363636364,0.0365853658536585
21,0.0201511335012594,0.0138539042821159,0.0314465408805031,0.0379746835443038
22,0.0137103684661525,0.00766283524904215,0.025974025974026,0.0263157894736842
23,0.0165073848827107,0.00900900900900901,0.0333333333333333,0.027027027027027
24,0.019434628975265,0.0155844155844156,0.0241379310344828,0.0416666666666667
25,0.0153153153153153,0.00527704485488127,0.0318021201413428,0.0579710144927536
