"numerator","site","interval","n_treatment_risk","observed_initiations","pred_min","pred_q01","pred_q50","pred_q99","pred_max","prop_extreme"
"local",1,1,1000,23,0.000674162712021226,0.00133954297885877,0.013785316164266,0.124158339869978,0.331708901208689,0.364
"local",1,2,977,20,0.000209470067640249,0.000590261528194272,0.0108269841672092,0.129214169759915,0.259438376872808,0.479017400204708
"local",1,3,957,13,0.000197477208644987,0.000319453054453813,0.00625216454149874,0.105896076531332,0.24785355266205,0.626959247648903
"local",1,4,944,7,8.76764766467736e-05,0.000147275580115503,0.00314386020117721,0.0640296815931958,0.294905725754822,0.795550847457627
"local",1,5,937,8,3.78834349630275e-05,0.000138533791461106,0.00376001166039855,0.0801241863406879,0.202220447459283,0.766275346851654
"local",1,6,929,16,5.64764122040894e-05,0.000323582474467204,0.0074146065593839,0.148165305401451,0.476719826305665,0.582346609257266
"local",1,7,913,9,4.04062020324395e-05,0.000148089036809354,0.0040213632786085,0.10951581999861,0.341164486723521,0.757940854326396
"local",1,8,904,9,3.08369489651932e-05,0.000190927558102419,0.00398576685773266,0.0902610963484407,0.466692860470988,0.747787610619469
"local",1,9,895,4,2.15845672511127e-05,6.85512055452983e-05,0.00169405686170943,0.0399247050764855,0.106189670249816,0.889385474860335
"local",1,10,891,12,9.04767823246371e-05,0.000209050617410788,0.00523593773424593,0.11293245329304,0.255607885181553,0.668911335578002
"local",1,11,879,9,8.21669203727608e-05,0.000150073535449059,0.00431691843305791,0.0983903228544139,0.183613981825887,0.746302616609784
"local",1,12,870,6,3.51473371678482e-05,0.000112860072530332,0.0027948080649955,0.0648804293812844,0.172736453634136,0.825287356321839
"local",1,13,864,7,1.92951698675156e-05,0.000122683361594887,0.003273059003318,0.0608636902855131,0.219040797603178,0.798611111111111
"local",1,14,857,9,3.84168820549479e-05,0.000185060648361052,0.00446839721975923,0.102735027632843,0.223151612850863,0.725787631271879
"local",1,15,848,10,5.84767713800781e-05,0.000212264894636454,0.00528999954523048,0.0922212936314482,0.267744856825515,0.681603773584906
"local",1,16,838,16,0.000128179496445918,0.000403888828935693,0.0086907897351112,0.12374684204204,0.358607820678725,0.545346062052506
