"method","estimand","estimate"
"fed_none","psi1",0.774063942050521
"fed_none","psi0",0.689183714787641
"fed_none","RD",0.0848802272628801
"fed_none","RR",1.123160523735
"fed_none","OR",1.54511229793405
"fed_none","RMST1",10.2137500994756
"fed_none","RMST0",12.2002198127936
"fed_none","RMST_diff",-1.98646971331803
"pooled_none","psi1",0.699227372529061
"pooled_none","psi0",0.755977662105089
"pooled_none","RD",-0.0567502895760285
"pooled_none","RR",0.92493126130473
"pooled_none","OR",0.750413661886424
"pooled_none","RMST1",11.9372975899997
"pooled_none","RMST0",10.5584970137741
"pooled_none","RMST_diff",1.37880057622555
"fed_common_num_none","psi1",0.704701453707166
"fed_common_num_none","psi0",0.755999695937094
"fed_common_num_none","RD",-0.0512982422299277
"fed_common_num_none","RR",0.932145154944353
"fed_common_num_none","OR",0.770216122268484
"fed_common_num_none","RMST1",11.7612133138506
"fed_common_num_none","RMST0",10.5542610091997
"fed_common_num_none","RMST_diff",1.20695230465081
"fed_p01_p99","psi1",0.830612323964931
"fed_p01_p99","psi0",0.686492396825962
"fed_p01_p99","RD",0.14411992713897
"fed_p01_p99","RR",1.20993666908085
"fed_p01_p99","OR",2.23938573333625
"fed_p01_p99","RMST1",9.32951717097678
"fed_p01_p99","RMST0",12.282588119317
"fed_p01_p99","RMST_diff",-2.95307094834024
"pooled_p01_p99","psi1",0.722223823316314
"pooled_p01_p99","psi0",0.745189349373708
"pooled_p01_p99","RD",-0.0229655260573935
"pooled_p01_p99","RR",0.969181623332788
"pooled_p01_p99","OR",0.889053204507505
"pooled_p01_p99","RMST1",11.4896168632747
"pooled_p01_p99","RMST0",10.8987623173031
"pooled_p01_p99","RMST_diff",0.590854545971661
"fed_common_num_p01_p99","psi1",0.737315995034973
"fed_common_num_p01_p99","psi0",0.752030703036672
"fed_common_num_p01_p99","RD",-0.0147147080016992
"fed_common_num_p01_p99","RR",0.980433368023032
"fed_common_num_p01_p99","OR",0.925512663096586
"fed_common_num_p01_p99","RMST1",11.2091694990366
"fed_common_num_p01_p99","RMST0",10.6789759066609
"fed_common_num_p01_p99","RMST_diff",0.530193592375637
"fed_p025_p975","psi1",0.842478243774018
"fed_p025_p975","psi0",0.680058937412863
"fed_p025_p975","RD",0.162419306361155
"fed_p025_p975","RR",1.2388312209807
"fed_p025_p975","OR",2.51617926756781
"fed_p025_p975","RMST1",9.18288528523681
"fed_p025_p975","RMST0",12.4756758623223
"fed_p025_p975","RMST_diff",-3.29279057708549
"pooled_p025_p975","psi1",0.759418330555571
"pooled_p025_p975","psi0",0.739569345976394
"pooled_p025_p975","RD",0.0198489845791762
"pooled_p025_p975","RR",1.02683857124036
"pooled_p025_p975","OR",1.11155700807273
"pooled_p025_p975","RMST1",10.7835542619522
"pooled_p025_p975","RMST0",11.0842783016389
"pooled_p025_p975","RMST_diff",-0.300724039686695
"fed_common_num_p025_p975","psi1",0.768404115313949
"fed_common_num_p025_p975","psi0",0.742332481563693
"fed_common_num_p025_p975","RD",0.0260716337502556
"fed_common_num_p025_p975","RR",1.03512123529249
"fed_common_num_p025_p975","OR",1.15164878831979
"fed_common_num_p025_p975","RMST1",10.6379182508824
"fed_common_num_p025_p975","RMST0",10.981588814904
"fed_common_num_p025_p975","RMST_diff",-0.343670564021568
