"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","misspec","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",2,-1,"small",0.4,25,"correct",-0.152349795600157,-0.158884966736931,0.00653517113677467,0.0306492086147152,0.0311879577819418,0.95,100
"Federated CCW","RD",2,-1,"small",0.4,25,"no_tv",-0.175093703443245,-0.158884966736931,-0.0162087367063132,0.0317441546425974,0.0355012335848768,0.94,100
"Federated CCW","RD",2,-1,"small",0.4,25,"coarse_L",-0.164388057171004,-0.158884966736931,-0.00550309043407219,0.0322721944405194,0.0325785756747007,0.97,100
"Federated CCW","RD",5,-1,"small",0.4,25,"correct",-0.116241078211825,-0.120971162827715,0.00473008461588982,0.0194277561017996,0.0199006791480336,0.93,100
"Federated CCW","RD",5,-1,"small",0.4,25,"no_tv",-0.125682918429995,-0.120971162827715,-0.00471175560228031,0.018192762911461,0.0187047453065987,0.98,100
"Federated CCW","RD",5,-1,"small",0.4,25,"coarse_L",-0.12142192483351,-0.120971162827715,-0.000450762005794766,0.0188425312251846,0.0187534999274324,0.96,100
"Federated CCW","RD",8,-1,"small",0.4,25,"correct",-0.0988319409911688,-0.101768486263082,0.00293654527191344,0.011509780484208,0.0118225883147772,0.99,100
"Federated CCW","RD",8,-1,"small",0.4,25,"no_tv",-0.103787998758784,-0.101768486263082,-0.00201951249570168,0.011651265291516,0.0117674506068497,0.99,100
"Federated CCW","RD",8,-1,"small",0.4,25,"coarse_L",-0.102363740178606,-0.101768486263082,-0.000595253915524079,0.0117276096372804,0.0116839970365596,0.99,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"correct",-0.0996946850383291,-0.105367498999536,0.00567281396120723,0.0305714703508527,0.0309426803890258,0.94,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"no_tv",-0.11779887056601,-0.105367498999536,-0.0124313715664735,0.0286301162160259,0.0310809542649746,0.97,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"coarse_L",-0.109835200017128,-0.105367498999536,-0.00446770101759131,0.0307812761190775,0.0309511299035478,0.94,100
"Federated CCW","RD",5,-0.7,"small",0.4,25,"correct",-0.0818444015968396,-0.0821353199189906,0.00029091832215102,0.016022375767248,0.0159447167878514,0.98,100
"Federated CCW","RD",5,-0.7,"small",0.4,25,"no_tv",-0.0912737956850316,-0.0821353199189906,-0.00913847576604099,0.0162384423396121,0.0185623780493572,0.96,100
"Federated CCW","RD",5,-0.7,"small",0.4,25,"coarse_L",-0.0870633017039558,-0.0821353199189906,-0.00492798178496522,0.0168133615318151,0.0174398176370188,0.96,100
"Federated CCW","RD",8,-0.7,"small",0.4,25,"correct",-0.0719865645828914,-0.0698427863991118,-0.00214377818377959,0.0123282667824748,0.012452392747682,0.97,100
"Federated CCW","RD",8,-0.7,"small",0.4,25,"no_tv",-0.0776826836723825,-0.0698427863991118,-0.00783989727327067,0.0120823714946212,0.0143522769336483,0.96,100
"Federated CCW","RD",8,-0.7,"small",0.4,25,"coarse_L",-0.0756201335455014,-0.0698427863991118,-0.00577734714638963,0.0124437788285994,0.0136629753446913,0.96,100
"Federated CCW","RD",2,-0.5,"small",0.4,25,"correct",-0.0659442946268771,-0.0718312691569835,0.0058869745301063,0.0325082032924642,0.032876616577885,0.95,100
"Federated CCW","RD",2,-0.5,"small",0.4,25,"no_tv",-0.084156698336963,-0.0718312691569835,-0.0123254291799795,0.0331889638913939,0.035247814902673,0.96,100
"Federated CCW","RD",2,-0.5,"small",0.4,25,"coarse_L",-0.0762954816389074,-0.0718312691569835,-0.00446421248192395,0.0338868275698394,0.0340112202810236,0.96,100
"Federated CCW","RD",5,-0.5,"small",0.4,25,"correct",-0.0527646480366227,-0.0569676227881472,0.00420297475152449,0.0196953842009695,0.0200423071026645,0.91,100
"Federated CCW","RD",5,-0.5,"small",0.4,25,"no_tv",-0.0603638754889415,-0.0569676227881472,-0.00339625270079437,0.0182590095858705,0.018482208990107,0.99,100
"Federated CCW","RD",5,-0.5,"small",0.4,25,"coarse_L",-0.0577466611342024,-0.0569676227881472,-0.000779038346055273,0.0188223064459847,0.018744154515254,0.96,100
