"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",2,-1,"small",0.4,25,-0.152349795600157,-0.158884966736931,0.00653517113677467,0.0306492086147152,0.0311879577819418,0.95,100
"Federated CCW","RD",5,-1,"small",0.4,25,-0.116241078211825,-0.120971162827715,0.00473008461588982,0.0194277561017996,0.0199006791480336,0.93,100
"Federated CCW","RD",8,-1,"small",0.4,25,-0.0988319409911688,-0.101768486263082,0.00293654527191344,0.011509780484208,0.0118225883147772,0.99,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,-0.0996946850383291,-0.105367498999536,0.00567281396120723,0.0305714703508527,0.0309426803890258,0.94,100
"Federated CCW","RD",5,-0.7,"small",0.4,25,-0.0818444015968396,-0.0821353199189906,0.00029091832215102,0.016022375767248,0.0159447167878514,0.98,100
"Federated CCW","RD",8,-0.7,"small",0.4,25,-0.0719865645828914,-0.0698427863991118,-0.00214377818377959,0.0123282667824748,0.012452392747682,0.97,100
"Federated CCW","RD",2,-0.5,"small",0.4,25,-0.0659442946268771,-0.0718312691569835,0.0058869745301063,0.0325082032924642,0.032876616577885,0.95,100
"Federated CCW","RD",5,-0.5,"small",0.4,25,-0.0527646480366227,-0.0569676227881472,0.00420297475152449,0.0196953842009695,0.0200423071026645,0.91,100
"Federated CCW","RD",8,-0.5,"small",0.4,25,-0.0508537862372899,-0.0489632870192666,-0.00189049921802337,0.0122611581012849,0.01234530782517,0.97,100
"Federated CCW","RD",2,-1,"medium",1,25,-0.15104990472796,-0.157561792455253,0.00651188772729294,0.0419607959847239,0.0422552481645508,0.94,100
"Federated CCW","RD",5,-1,"medium",1,25,-0.122929146050851,-0.123633070025923,0.000703923975071362,0.0251260868509754,0.0250100489204042,0.96,100
"Federated CCW","RD",8,-1,"medium",1,25,-0.104353912469056,-0.107296828776202,0.00294291630714615,0.0254765068049568,0.025519064077353,0.93,100
"Federated CCW","RD",2,-0.7,"medium",1,25,-0.0944045973062916,-0.103208945273067,0.00880434796677585,0.0443301693904174,0.0449780926910128,0.9,100
"Federated CCW","RD",5,-0.7,"medium",1,25,-0.0782382010686104,-0.0831784790995589,0.00494027803094846,0.0348442937488171,0.0350198501682744,0.89,100
"Federated CCW","RD",8,-0.7,"medium",1,25,-0.0755548616304396,-0.0730403093091784,-0.00251455232126121,0.0205617577824494,0.0206126416950724,0.99,100
"Federated CCW","RD",2,-0.5,"medium",1,25,-0.0770785476474594,-0.0704769067816117,-0.00660164086584778,0.0556627375465766,0.0557757887419704,0.93,100
"Federated CCW","RD",5,-0.5,"medium",1,25,-0.0675423822184411,-0.057593918015868,-0.00994846420257307,0.032857240929111,0.034172711900708,0.9,100
"Federated CCW","RD",8,-0.5,"medium",1,25,-0.0553925080214092,-0.0512113647691539,-0.00418114325225534,0.0233166710878672,0.0235735537840493,0.98,100
"Federated CCW","RD",2,-1,"strong",2,25,-0.118989321689909,-0.158281734212093,0.0392924125221834,0.0568683688940328,0.0688880610024303,0.86,100
"Federated CCW","RD",5,-1,"strong",2,25,-0.123361597229251,-0.129431014759885,0.00606941753063409,0.092874416774686,0.0926079831736275,0.82,100
"Federated CCW","RD",8,-1,"strong",2,25,-0.108974859781718,-0.111633512871676,0.00265865308995818,0.0587403258460457,0.0585063249396796,0.87,100
"Federated CCW","RD",2,-0.7,"strong",2,25,-0.0754065340644103,-0.102744180069684,0.0273376460052732,0.0883004241442855,0.0920127281637152,0.77,100
"Federated CCW","RD",5,-0.7,"strong",2,25,-0.0994028199254125,-0.0864289105015962,-0.0129739094238164,0.116028631318822,0.116173745651069,0.76,100
"Federated CCW","RD",8,-0.7,"strong",2,25,-0.0602003458567863,-0.073695298677964,0.0134949528211776,0.065121784653122,0.0661857395493117,0.83,100
"Federated CCW","RD",2,-0.5,"strong",2,25,-0.0243509163213061,-0.0679421293508451,0.043591213029539,0.0959957615439782,0.104991562639342,0.58,100
"Federated CCW","RD",5,-0.5,"strong",2,25,-0.0417673594418793,-0.0592813176469181,0.0175139582050388,0.0586687815250753,0.0609454214719079,0.76,100
"Federated CCW","RD",8,-0.5,"strong",2,25,-0.04250689121388,-0.0495488313631018,0.0070419401492218,0.0590109565341139,0.0591359364703527,0.8,100
"Pooled CCW","RD",2,-1,"small",0.4,25,-0.152093683652033,-0.158884966736931,0.00679128308489856,0.0303104991171181,0.030913760998959,0.95,100
"Pooled CCW","RD",5,-1,"small",0.4,25,-0.116037141746795,-0.120971162827715,0.00493402108091976,0.0190507760841482,0.0195869168768652,0.92,100
"Pooled CCW","RD",8,-1,"small",0.4,25,-0.0988363106209168,-0.101768486263082,0.0029321756421654,0.0114272796051503,0.0117419992326285,0.99,100
"Pooled CCW","RD",2,-0.7,"small",0.4,25,-0.0994770488036447,-0.105367498999536,0.00589045019589168,0.0303207184002355,0.0307384109571981,0.94,100
"Pooled CCW","RD",5,-0.7,"small",0.4,25,-0.0819290526761424,-0.0821353199189906,0.000206267242848214,0.0155123283463644,0.0154359500385832,0.98,100
"Pooled CCW","RD",8,-0.7,"small",0.4,25,-0.0719044610214902,-0.0698427863991118,-0.00206167462237843,0.0121946638957864,0.0123074461812532,0.97,100
"Pooled CCW","RD",2,-0.5,"small",0.4,25,-0.0655797080136268,-0.0718312691569835,0.00625156114335662,0.0319448766810668,0.0323937094423594,0.95,100
"Pooled CCW","RD",5,-0.5,"small",0.4,25,-0.0526507327494086,-0.0569676227881472,0.0043168900387386,0.019698662378347,0.0200696902344731,0.91,100
"Pooled CCW","RD",8,-0.5,"small",0.4,25,-0.050968304802747,-0.0489632870192666,-0.00200501778348045,0.0127085068439841,0.0128027802079716,0.97,100
"Pooled CCW","RD",2,-1,"medium",1,25,-0.15060827224373,-0.157561792455253,0.00695352021152323,0.0400816595833105,0.0404824095618692,0.95,100
"Pooled CCW","RD",5,-1,"medium",1,25,-0.122388493933311,-0.123633070025923,0.00124457609261175,0.0236879433227193,0.0236020431726166,0.96,100
"Pooled CCW","RD",8,-1,"medium",1,25,-0.104051449963956,-0.107296828776202,0.00324537881224623,0.0238400187137251,0.0239415018531217,0.95,100
"Pooled CCW","RD",2,-0.7,"medium",1,25,-0.0925292150401102,-0.103208945273067,0.0106797302329572,0.0441534269398905,0.0452115748153017,0.91,100
"Pooled CCW","RD",5,-0.7,"medium",1,25,-0.0783546757490702,-0.0831784790995589,0.00482380335048871,0.0346131328847563,0.0347758156939706,0.88,100
"Pooled CCW","RD",8,-0.7,"medium",1,25,-0.0760568036108822,-0.0730403093091784,-0.00301649430170385,0.0206561175469243,0.0207727628895013,0.99,100
"Pooled CCW","RD",2,-0.5,"medium",1,25,-0.077498903586432,-0.0704769067816117,-0.00702199680482028,0.0568040562305231,0.0569538605831504,0.92,100
"Pooled CCW","RD",5,-0.5,"medium",1,25,-0.0673986508599648,-0.057593918015868,-0.00980473284409683,0.0330132648273799,0.0342798728725939,0.92,100
"Pooled CCW","RD",8,-0.5,"medium",1,25,-0.0562735255374956,-0.0512113647691539,-0.00506216076834172,0.0233523139619851,0.0237803013721415,0.97,100
"Pooled CCW","RD",2,-1,"strong",2,25,-0.120854771231825,-0.158281734212093,0.0374269629802681,0.0590362265161996,0.0696505623723575,0.85,100
"Pooled CCW","RD",5,-1,"strong",2,25,-0.124177907965931,-0.129431014759885,0.00525310679395436,0.0934610170295282,0.0931407924496057,0.83,100
"Pooled CCW","RD",8,-1,"strong",2,25,-0.110876296754841,-0.111633512871676,0.000757216116835185,0.0596808838213166,0.0593865573257463,0.86,100
"Pooled CCW","RD",2,-0.7,"strong",2,25,-0.0738766494348515,-0.102744180069684,0.0288675306348321,0.0854336439331172,0.0897733410622927,0.79,100
"Pooled CCW","RD",5,-0.7,"strong",2,25,-0.0947886555951309,-0.0864289105015962,-0.00835974509353468,0.112130566579592,0.111881261433158,0.76,100
"Pooled CCW","RD",8,-0.7,"strong",2,25,-0.058149034799875,-0.073695298677964,0.015546263878089,0.0628949172193941,0.0644817743744794,0.82,100
"Pooled CCW","RD",2,-0.5,"strong",2,25,-0.0217578213918586,-0.0679421293508451,0.0461843079589865,0.0855082876776234,0.0968067192430056,0.64,100
"Pooled CCW","RD",5,-0.5,"strong",2,25,-0.0404177398857214,-0.0592813176469181,0.0188635777611968,0.0562480192364539,0.0590595956411569,0.76,100
"Pooled CCW","RD",8,-0.5,"strong",2,25,-0.0390516326359688,-0.0495488313631018,0.010497198727133,0.0565737734081881,0.0572606068810096,0.76,100
"CC-Gcomp","RD",2,-1,"small",0.4,25,-0.159656417882816,-0.158884966736931,-0.00077145114588418,0.0158083542347418,0.0157480208231211,NA,100
"CC-Gcomp","RD",5,-1,"small",0.4,25,-0.131821567647692,-0.120971162827715,-0.0108504048199772,0.00937042341280979,0.0143058754133875,NA,100
"CC-Gcomp","RD",8,-1,"small",0.4,25,-0.111333043754662,-0.101768486263082,-0.0095645574915793,0.00613965203047794,0.0113489706050604,NA,100
"CC-Gcomp","RD",2,-0.7,"small",0.4,25,-0.105892132031259,-0.105367498999536,-0.000524633031722548,0.0142689405260342,0.0142071065638335,NA,100
"CC-Gcomp","RD",5,-0.7,"small",0.4,25,-0.0921542416631086,-0.0821353199189906,-0.0100189217441181,0.00767176416662961,0.0125954832653956,NA,100
"CC-Gcomp","RD",8,-0.7,"small",0.4,25,-0.0777015787883198,-0.0698427863991118,-0.00785879238920795,0.00592596729766188,0.0098247918728847,NA,100
"CC-Gcomp","RD",2,-0.5,"small",0.4,25,-0.0729845820715691,-0.0718312691569835,-0.00115331291458565,0.013922044965362,0.0139001882482337,NA,100
"CC-Gcomp","RD",5,-0.5,"small",0.4,25,-0.0611252536864628,-0.0569676227881472,-0.00415763089831564,0.00714804238396839,0.00823829226905718,NA,100
"CC-Gcomp","RD",8,-0.5,"small",0.4,25,-0.0555665833394241,-0.0489632870192666,-0.00660329632015757,0.00521496800742555,0.00839806255615507,NA,100
"CC-Gcomp","RD",2,-1,"medium",1,25,-0.161898667988221,-0.157561792455253,-0.00433687553296803,0.0143211505389906,0.0148947268730005,NA,100
"CC-Gcomp","RD",5,-1,"medium",1,25,-0.135326776855089,-0.123633070025923,-0.0116937068291663,0.00818680531183913,0.0142511867157899,NA,100
"CC-Gcomp","RD",8,-1,"medium",1,25,-0.112796581165708,-0.107296828776202,-0.00549975238950572,0.00632562560495461,0.00835827017073453,NA,100
"CC-Gcomp","RD",2,-0.7,"medium",1,25,-0.108010002254163,-0.103208945273067,-0.00480105698109515,0.0127691821703382,0.0135820337689911,NA,100
"CC-Gcomp","RD",5,-0.7,"medium",1,25,-0.0900768164925481,-0.0831784790995589,-0.00689833739298924,0.00770216628559505,0.0103110227729145,NA,100
"CC-Gcomp","RD",8,-0.7,"medium",1,25,-0.0771022128750854,-0.0730403093091784,-0.00406190356590701,0.00581396624990995,0.00706846815783088,NA,100
"CC-Gcomp","RD",2,-0.5,"medium",1,25,-0.0740272273341314,-0.0704769067816117,-0.00355032055251973,0.010014007087884,0.0105774434814029,NA,100
"CC-Gcomp","RD",5,-0.5,"medium",1,25,-0.0641375752989994,-0.057593918015868,-0.00654365728313137,0.00680390215810204,0.00941539188617944,NA,100
"CC-Gcomp","RD",8,-0.5,"medium",1,25,-0.0543267486093855,-0.0512113647691539,-0.00311538384023163,0.00580147959017722,0.00655943673289611,NA,100
"CC-Gcomp","RD",2,-1,"strong",2,25,-0.163027538981705,-0.158281734212093,-0.00474580476961212,0.00906809960889895,0.0101946451200136,NA,100
"CC-Gcomp","RD",5,-1,"strong",2,25,-0.135216631065248,-0.129431014759885,-0.00578561630536287,0.00714268200495782,0.00916411933546206,NA,100
"CC-Gcomp","RD",8,-1,"strong",2,25,-0.114478130549364,-0.111633512871676,-0.00284461767768837,0.00591583682679296,0.00653750746384619,NA,100
"CC-Gcomp","RD",2,-0.7,"strong",2,25,-0.109819213885879,-0.102744180069684,-0.00707503381619575,0.00935497541015934,0.0116917283912924,NA,100
"CC-Gcomp","RD",5,-0.7,"strong",2,25,-0.0914248547530018,-0.0864289105015962,-0.00499594425140564,0.00742888396239537,0.0089216530262402,NA,100
"CC-Gcomp","RD",8,-0.7,"strong",2,25,-0.079479113082359,-0.073695298677964,-0.00578381440439504,0.00631591390615119,0.00854074761655573,NA,100
"CC-Gcomp","RD",2,-0.5,"strong",2,25,-0.0738042887319964,-0.0679421293508451,-0.00586215938115132,0.0106419151410856,0.0121030065232316,NA,100
"CC-Gcomp","RD",5,-0.5,"strong",2,25,-0.0601217601166889,-0.0592813176469181,-0.000840442469770725,0.00802646269723474,0.00803033037556949,NA,100
"CC-Gcomp","RD",8,-0.5,"strong",2,25,-0.0562912676117989,-0.0495488313631018,-0.00674243624869702,0.00594147587826237,0.00896708262611634,NA,100
"G-comp (no cloning)","RD",2,-1,"small",0.4,25,-0.159656417882816,-0.158884966736931,-0.00077145114588418,0.0158083542347418,0.0157480208231211,NA,100
"G-comp (no cloning)","RD",5,-1,"small",0.4,25,-0.131821567647692,-0.120971162827715,-0.0108504048199772,0.00937042341280979,0.0143058754133875,NA,100
"G-comp (no cloning)","RD",8,-1,"small",0.4,25,-0.111333043754662,-0.101768486263082,-0.0095645574915793,0.00613965203047794,0.0113489706050604,NA,100
