"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","misspec","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",2,-1,"small",0.4,25,"correct",-0.152349795600157,-0.158884966736931,0.00653517113677467,0.0306492086147152,0.0311879577819418,0.95,100
"Federated CCW","RD",2,-1,"small",0.4,25,"no_lag",-0.152349795600157,-0.158884966736931,0.00653517113677467,0.0306492086147152,0.0311879577819418,0.95,100
"Federated CCW","RD",2,-1,"small",0.4,25,"no_tv",-0.152349795600157,-0.158884966736931,0.00653517113677467,0.0306492086147152,0.0311879577819418,0.95,100
"Federated CCW","RD",2,-1,"small",0.4,25,"coarse_L",-0.152349795600157,-0.158884966736931,0.00653517113677467,0.0306492086147152,0.0311879577819418,0.95,100
"Federated CCW","RD",2,-1,"small",0.4,25,"nonlinear_L",-0.152349795600157,-0.158884966736931,0.00653517113677467,0.0306492086147152,0.0311879577819418,0.95,100
"Federated CCW","RD",2,-1,"small",0.4,25,"cloglog",-0.152349795600157,-0.158884966736931,0.00653517113677467,0.0306492086147152,0.0311879577819418,0.95,100
"Federated CCW","RD",2,-1,"small",0.4,25,"lpm",-0.152349795600157,-0.158884966736931,0.00653517113677467,0.0306492086147152,0.0311879577819418,0.95,100
"Federated CCW","RD",5,-1,"small",0.4,25,"correct",-0.116241078211825,-0.120971162827715,0.00473008461588982,0.0194277561017996,0.0199006791480336,0.93,100
"Federated CCW","RD",5,-1,"small",0.4,25,"no_lag",-0.116241078211825,-0.120971162827715,0.00473008461588982,0.0194277561017996,0.0199006791480336,0.93,100
"Federated CCW","RD",5,-1,"small",0.4,25,"no_tv",-0.116241078211825,-0.120971162827715,0.00473008461588982,0.0194277561017996,0.0199006791480336,0.93,100
"Federated CCW","RD",5,-1,"small",0.4,25,"coarse_L",-0.116241078211825,-0.120971162827715,0.00473008461588982,0.0194277561017996,0.0199006791480336,0.93,100
"Federated CCW","RD",5,-1,"small",0.4,25,"nonlinear_L",-0.116241078211825,-0.120971162827715,0.00473008461588982,0.0194277561017996,0.0199006791480336,0.93,100
"Federated CCW","RD",5,-1,"small",0.4,25,"cloglog",-0.116241078211825,-0.120971162827715,0.00473008461588982,0.0194277561017996,0.0199006791480336,0.93,100
"Federated CCW","RD",5,-1,"small",0.4,25,"lpm",-0.116241078211825,-0.120971162827715,0.00473008461588982,0.0194277561017996,0.0199006791480336,0.93,100
"Federated CCW","RD",8,-1,"small",0.4,25,"correct",-0.0988319409911688,-0.101768486263082,0.00293654527191344,0.011509780484208,0.0118225883147772,0.99,100
"Federated CCW","RD",8,-1,"small",0.4,25,"no_lag",-0.0988319409911688,-0.101768486263082,0.00293654527191344,0.011509780484208,0.0118225883147772,0.99,100
"Federated CCW","RD",8,-1,"small",0.4,25,"no_tv",-0.0988319409911688,-0.101768486263082,0.00293654527191344,0.011509780484208,0.0118225883147772,0.99,100
"Federated CCW","RD",8,-1,"small",0.4,25,"coarse_L",-0.0988319409911688,-0.101768486263082,0.00293654527191344,0.011509780484208,0.0118225883147772,0.99,100
"Federated CCW","RD",8,-1,"small",0.4,25,"nonlinear_L",-0.0988319409911688,-0.101768486263082,0.00293654527191344,0.011509780484208,0.0118225883147772,0.99,100
"Federated CCW","RD",8,-1,"small",0.4,25,"cloglog",-0.0988319409911688,-0.101768486263082,0.00293654527191344,0.011509780484208,0.0118225883147772,0.99,100
"Federated CCW","RD",8,-1,"small",0.4,25,"lpm",-0.0988319409911688,-0.101768486263082,0.00293654527191344,0.011509780484208,0.0118225883147772,0.99,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"correct",-0.0996946850383291,-0.105367498999536,0.00567281396120723,0.0305714703508527,0.0309426803890258,0.94,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"no_lag",-0.0996946850383291,-0.105367498999536,0.00567281396120723,0.0305714703508527,0.0309426803890258,0.94,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"no_tv",-0.0996946850383291,-0.105367498999536,0.00567281396120723,0.0305714703508527,0.0309426803890258,0.94,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"coarse_L",-0.0996946850383291,-0.105367498999536,0.00567281396120723,0.0305714703508527,0.0309426803890258,0.94,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"nonlinear_L",-0.0996946850383291,-0.105367498999536,0.00567281396120723,0.0305714703508527,0.0309426803890258,0.94,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"cloglog",-0.0996946850383291,-0.105367498999536,0.00567281396120723,0.0305714703508527,0.0309426803890258,0.94,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"lpm",-0.0996946850383291,-0.105367498999536,0.00567281396120723,0.0305714703508527,0.0309426803890258,0.94,100
"Federated CCW","RD",5,-0.7,"small",0.4,25,"correct",-0.0818444015968396,-0.0821353199189906,0.00029091832215102,0.016022375767248,0.0159447167878514,0.98,100
"Federated CCW","RD",5,-0.7,"small",0.4,25,"no_lag",-0.0818444015968396,-0.0821353199189906,0.00029091832215102,0.016022375767248,0.0159447167878514,0.98,100
