"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",2,-1,"small",0.4,25,-0.134934696194217,-0.136522341508817,0.00158764531459993,0.0310321265213939,0.0309173667268151,0.97,100
"Federated CCW","RD",5,-1,"small",0.4,25,-0.105236932745047,-0.10471169922794,-0.000525233517107053,0.0196751872469958,0.0195836087971496,0.92,100
"Federated CCW","RD",8,-1,"small",0.4,25,-0.0851979025333892,-0.0850157737702205,-0.000182128763168714,0.0135420231380389,0.0134753737480948,0.99,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,-0.0767936345428712,-0.0907585468718763,0.0139649123290051,0.0292087075968899,0.0322433852106538,0.94,100
"Federated CCW","RD",5,-0.7,"small",0.4,25,-0.0731302139174699,-0.0712468999168751,-0.0018833140005949,0.0173325856324003,0.0173482336588565,0.97,100
"Federated CCW","RD",8,-0.7,"small",0.4,25,-0.0664257734090843,-0.0585657837422997,-0.00785998966678458,0.0142223959582751,0.0161874401585915,0.95,100
"Federated CCW","RD",2,-0.5,"small",0.4,25,-0.0696112576257394,-0.062520726696643,-0.00709053092909643,0.0279369882030532,0.0286870386344675,0.97,100
"Federated CCW","RD",5,-0.5,"small",0.4,25,-0.0470632514183604,-0.0496374696178093,0.00257421819944891,0.0190235754187615,0.0191024620621151,0.97,100
"Federated CCW","RD",8,-0.5,"small",0.4,25,-0.0430485089785268,-0.04122607123647,-0.00182243774205672,0.0137697525343496,0.0138214074295033,0.96,100
"Federated CCW","RD",2,-1,"medium",1,25,-0.127403879654315,-0.136436022479391,0.00903214282507554,0.0474387523601117,0.0480573665242044,0.91,100
"Federated CCW","RD",5,-1,"medium",1,25,-0.11501727132921,-0.107020348251992,-0.00799692307721825,0.0301819815047758,0.0310772145821023,0.94,100
"Federated CCW","RD",8,-1,"medium",1,25,-0.10516362879375,-0.0888301463071546,-0.0163334824865955,0.0212382829514707,0.0267083632265136,0.92,100
"Federated CCW","RD",2,-0.7,"medium",1,25,-0.0886381610881046,-0.0891514566689035,0.000513295580798882,0.0494384435192935,0.0491933082134911,0.94,100
"Federated CCW","RD",5,-0.7,"medium",1,25,-0.0678116559468678,-0.0715188156331484,0.00370715968628061,0.0257271999764447,0.0258652849081791,0.96,100
"Federated CCW","RD",8,-0.7,"medium",1,25,-0.0714267691410612,-0.0599867891886677,-0.0114399799523935,0.0257810765360112,0.0280871929817359,0.94,100
"Federated CCW","RD",2,-0.5,"medium",1,25,-0.0606611002208448,-0.0595733389318357,-0.00108776128900912,0.0547294686912284,0.0544659969193053,0.92,100
"Federated CCW","RD",5,-0.5,"medium",1,25,-0.0509970102312461,-0.0483999115873005,-0.00259709864394563,0.0314020480422339,0.031352394747462,0.97,100
"Federated CCW","RD",8,-0.5,"medium",1,25,-0.0464748343548446,-0.0408710408156021,-0.00560379353924248,0.0233212841001831,0.023871446776245,0.98,100
"Federated CCW","RD",2,-1,"strong",2,25,-0.10912449966869,-0.134426016484561,0.0253015168158718,0.0668026222133433,0.0711205398209036,0.83,100
"Federated CCW","RD",5,-1,"strong",2,25,-0.124119598324898,-0.112132482297569,-0.0119871160273289,0.0877436716163745,0.0881229444599282,0.81,100
"Federated CCW","RD",8,-1,"strong",2,25,-0.101914614412026,-0.095360131373279,-0.00655448303874729,0.0569812360374901,0.0570732327423441,0.94,100
"Federated CCW","RD",2,-0.7,"strong",2,25,-0.0646075175792528,-0.0866118121470117,0.0220042945677589,0.0976308120605963,0.0996024431848942,0.75,100
"Federated CCW","RD",5,-0.7,"strong",2,25,-0.101960122031123,-0.0735689897921721,-0.0283911322389508,0.111527633175505,0.114542940515434,0.79,100
"Federated CCW","RD",8,-0.7,"strong",2,25,-0.0705073001270623,-0.0622888728230448,-0.00821842730401747,0.0773669319701136,0.0774165892312166,0.84,100
"Federated CCW","RD",2,-0.5,"strong",2,25,-0.0659295628268211,-0.054075748574787,-0.0118538142520341,0.100308991596192,0.10050765030293,0.79,100
"Federated CCW","RD",5,-0.5,"strong",2,25,-0.0424244277218727,-0.0477239627338193,0.0052995350119466,0.0765516459614946,0.076352066283518,0.84,100
"Federated CCW","RD",8,-0.5,"strong",2,25,-0.0631179425871781,-0.0399753676157413,-0.0231425749714369,0.070187206805141,0.0735701049029097,0.95,100
"Pooled CCW","RD",2,-1,"small",0.4,25,-0.134701726748491,-0.136522341508817,0.0018206147603266,0.030430599501405,0.0303327514455956,0.98,100
"Pooled CCW","RD",5,-1,"small",0.4,25,-0.105169277754111,-0.10471169922794,-0.000457578526170861,0.0194986905198777,0.0194063474352512,0.92,100
"Pooled CCW","RD",8,-1,"small",0.4,25,-0.0853305187508027,-0.0850157737702205,-0.000314744980582196,0.0129715120449316,0.0129103287288624,0.99,100
"Pooled CCW","RD",2,-0.7,"small",0.4,25,-0.0772432653426162,-0.0907585468718763,0.0135152815292601,0.0290194557047562,0.0318805639241445,0.93,100
"Pooled CCW","RD",5,-0.7,"small",0.4,25,-0.0732851764478229,-0.0712468999168751,-0.00203827653094782,0.0173447874400992,0.0173777963518225,0.96,100
"Pooled CCW","RD",8,-0.7,"small",0.4,25,-0.0664338458469439,-0.0585657837422997,-0.00786806210464422,0.0139067017022861,0.0159175623132609,0.95,100
"Pooled CCW","RD",2,-0.5,"small",0.4,25,-0.0692208340657887,-0.062520726696643,-0.00670010736914572,0.0273324770578351,0.0280086611221242,0.98,100
"Pooled CCW","RD",5,-0.5,"small",0.4,25,-0.0466235893797148,-0.0496374696178093,0.00301388023809457,0.0192311285647745,0.019370632847321,0.96,100
"Pooled CCW","RD",8,-0.5,"small",0.4,25,-0.0433002596769217,-0.04122607123647,-0.00207418844045164,0.0137353451908681,0.0138230014151661,0.97,100
"Pooled CCW","RD",2,-1,"medium",1,25,-0.128690040347801,-0.136436022479391,0.00774598213158947,0.0465092527128922,0.0469199288279027,0.9,100
"Pooled CCW","RD",5,-1,"medium",1,25,-0.115570210174375,-0.107020348251992,-0.0085498619223824,0.0289203932314826,0.0300187506753488,0.96,100
"Pooled CCW","RD",8,-1,"medium",1,25,-0.104874746003316,-0.0888301463071546,-0.0160445996961616,0.0204272005318684,0.0258945360213992,0.92,100
"Pooled CCW","RD",2,-0.7,"medium",1,25,-0.0856226159852082,-0.0891514566689035,0.00352884068369527,0.0489978489094301,0.0488797915538183,0.93,100
"Pooled CCW","RD",5,-0.7,"medium",1,25,-0.068642527702254,-0.0715188156331484,0.0028762879308944,0.0262550677256269,0.0262813304025099,0.95,100
"Pooled CCW","RD",8,-0.7,"medium",1,25,-0.0715575995091857,-0.0599867891886677,-0.011570810320518,0.0249381701466991,0.027378401312649,0.95,100
"Pooled CCW","RD",2,-0.5,"medium",1,25,-0.0625181966139577,-0.0595733389318357,-0.00294485768212204,0.0566599374221903,0.0564527874455072,0.89,100
"Pooled CCW","RD",5,-0.5,"medium",1,25,-0.0513509085916346,-0.0483999115873005,-0.00295099700433408,0.0296182278877562,0.0296171472680699,0.97,100
"Pooled CCW","RD",8,-0.5,"medium",1,25,-0.0464912970860839,-0.0408710408156021,-0.00562025627048178,0.0227233089688627,0.0232974797635998,0.98,100
"Pooled CCW","RD",2,-1,"strong",2,25,-0.109409460703348,-0.134426016484561,0.0250165557812134,0.0650824972715359,0.0694204739233538,0.86,100
"Pooled CCW","RD",5,-1,"strong",2,25,-0.125552899890653,-0.112132482297569,-0.013420417593084,0.0945113129829442,0.0949903784986416,0.82,100
"Pooled CCW","RD",8,-1,"strong",2,25,-0.0976489515715585,-0.095360131373279,-0.00228882019827945,0.0556098143910498,0.0553783860358985,0.92,100
"Pooled CCW","RD",2,-0.7,"strong",2,25,-0.0606641463251603,-0.0866118121470117,0.0259476658218515,0.0883985295571111,0.0917029900776596,0.77,100
"Pooled CCW","RD",5,-0.7,"strong",2,25,-0.100462673523065,-0.0735689897921721,-0.0268936837308926,0.111148646071184,0.113814548862789,0.78,100
"Pooled CCW","RD",8,-0.7,"strong",2,25,-0.0704350576667872,-0.0622888728230448,-0.00814618484374234,0.0739025983982689,0.073982014280662,0.83,100
"Pooled CCW","RD",2,-0.5,"strong",2,25,-0.0638821948301985,-0.054075748574787,-0.0098064462554115,0.0986398573455172,0.0986341200129692,0.83,100
"Pooled CCW","RD",5,-0.5,"strong",2,25,-0.0422183541631948,-0.0477239627338193,0.00550560857062446,0.0729635861300532,0.0728063168803439,0.85,100
"Pooled CCW","RD",8,-0.5,"strong",2,25,-0.0613729164586714,-0.0399753676157413,-0.0213975488429301,0.0659221532868999,0.0689936815043761,0.96,100
"CC-Gcomp","RD",2,-1,"small",0.4,25,-0.166726291710201,-0.136522341508817,-0.0302039502013834,0.0148289713136132,0.0336151456055959,NA,100
"CC-Gcomp","RD",5,-1,"small",0.4,25,-0.131924019419993,-0.10471169922794,-0.0272123201920528,0.0093861899861474,0.0287702959155149,NA,100
"CC-Gcomp","RD",8,-1,"small",0.4,25,-0.109039627538104,-0.0850157737702205,-0.0240238537678838,0.00710744099729569,0.0250430850778295,NA,100
"CC-Gcomp","RD",2,-0.7,"small",0.4,25,-0.108466685692307,-0.0907585468718763,-0.0177081388204302,0.015794570734124,0.0236759785544784,NA,100
"CC-Gcomp","RD",5,-0.7,"small",0.4,25,-0.0900523939543841,-0.0712468999168751,-0.0188054940375091,0.00908948836637134,0.020867180374204,NA,100
"CC-Gcomp","RD",8,-0.7,"small",0.4,25,-0.0762146418735598,-0.0585657837422997,-0.0176488581312601,0.0074313358451654,0.0191351691462748,NA,100
"CC-Gcomp","RD",2,-0.5,"small",0.4,25,-0.0740967752484352,-0.062520726696643,-0.0115760485517922,0.0136843478458947,0.0178715881298003,NA,100
"CC-Gcomp","RD",5,-0.5,"small",0.4,25,-0.061924947027137,-0.0496374696178093,-0.0122874774093276,0.00923892462748516,0.0153455613150632,NA,100
"CC-Gcomp","RD",8,-0.5,"small",0.4,25,-0.0532946493776677,-0.04122607123647,-0.0120685781411976,0.0051714780678601,0.0131197302526571,NA,100
"CC-Gcomp","RD",2,-1,"medium",1,25,-0.166485226694697,-0.136436022479391,-0.0300492042153067,0.0148347898113753,0.0334787238829889,NA,100
"CC-Gcomp","RD",5,-1,"medium",1,25,-0.134087209823214,-0.107020348251992,-0.0270668615712219,0.00869601265790805,0.0284161824512147,NA,100
"CC-Gcomp","RD",8,-1,"medium",1,25,-0.111656383800986,-0.0888301463071546,-0.0228262374938319,0.00674831949920311,0.0237933086397733,NA,100
"CC-Gcomp","RD",2,-0.7,"medium",1,25,-0.11122810100791,-0.0891514566689035,-0.0220766443390068,0.0155845173866688,0.0269782622795581,NA,100
"CC-Gcomp","RD",5,-0.7,"medium",1,25,-0.0903827639401058,-0.0715188156331484,-0.0188639483069574,0.00814288319547055,0.0205302709917645,NA,100
"CC-Gcomp","RD",8,-0.7,"medium",1,25,-0.0768110685733667,-0.0599867891886677,-0.0168242793846989,0.0066505335728202,0.0180788184804644,NA,100
"CC-Gcomp","RD",2,-0.5,"medium",1,25,-0.0738077949772742,-0.0595733389318357,-0.0142344560454385,0.0121108205485474,0.0186500668504177,NA,100
"CC-Gcomp","RD",5,-0.5,"medium",1,25,-0.0605803509865276,-0.0483999115873005,-0.0121804393992271,0.0087481478896326,0.0149709015941639,NA,100
"CC-Gcomp","RD",8,-0.5,"medium",1,25,-0.0530908547979728,-0.0408710408156021,-0.0122198139823707,0.00620111792249632,0.0136891628165334,NA,100
"CC-Gcomp","RD",2,-1,"strong",2,25,-0.163064368561487,-0.134426016484561,-0.0286383520769255,0.0126311801143,0.0312746935021118,NA,100
"CC-Gcomp","RD",5,-1,"strong",2,25,-0.134762579748219,-0.112132482297569,-0.0226300974506499,0.00751343417988048,0.0238329286255289,NA,100
"CC-Gcomp","RD",8,-1,"strong",2,25,-0.113315604561834,-0.095360131373279,-0.017955473188555,0.00807482695178927,0.0196710401205235,NA,100
"CC-Gcomp","RD",2,-0.7,"strong",2,25,-0.107707679079052,-0.0866118121470117,-0.0210958669320406,0.0104312539458439,0.0235108177209603,NA,100
"CC-Gcomp","RD",5,-0.7,"strong",2,25,-0.0908134458147784,-0.0735689897921721,-0.0172444560226063,0.00752946990341845,0.0188015225812119,NA,100
"CC-Gcomp","RD",8,-0.7,"strong",2,25,-0.0770522442446643,-0.0622888728230448,-0.0147633714216195,0.00515676952777747,0.0156295708506561,NA,100
"CC-Gcomp","RD",2,-0.5,"strong",2,25,-0.0735219787650838,-0.054075748574787,-0.0194462301902968,0.00941842729130463,0.0215864673703037,NA,100
"CC-Gcomp","RD",5,-0.5,"strong",2,25,-0.0624801568728076,-0.0477239627338193,-0.0147561941389883,0.00897697339809194,0.0172489262374115,NA,100
"CC-Gcomp","RD",8,-0.5,"strong",2,25,-0.0564981561862906,-0.0399753676157413,-0.0165227885705493,0.00511046524158351,0.0172875165533588,NA,100
"IPCW (no cloning)","RD",2,-1,"small",0.4,25,-0.187910274057967,-0.136522341508817,-0.0513879325491501,0.0370258439241423,0.0632291356795899,NA,100
"IPCW (no cloning)","RD",5,-1,"small",0.4,25,-0.234233527252918,-0.10471169922794,-0.129521828024978,0.0283503206381414,0.132557939062188,NA,100
"IPCW (no cloning)","RD",8,-1,"small",0.4,25,-0.268673150520675,-0.0850157737702205,-0.183657376750454,0.0245034253532993,0.18526857723414,NA,100
"IPCW (no cloning)","RD",2,-0.7,"small",0.4,25,-0.113284914868402,-0.0907585468718763,-0.0225263679965254,0.0343519327974444,0.0409352169795864,NA,100
"IPCW (no cloning)","RD",5,-0.7,"small",0.4,25,-0.173032292776515,-0.0712468999168751,-0.10178539285964,0.0243632609755329,0.104632208234843,NA,100
"IPCW (no cloning)","RD",8,-0.7,"small",0.4,25,-0.219569687399955,-0.0585657837422997,-0.161003903657655,0.0202892893028327,0.162264585479437,NA,100
"IPCW (no cloning)","RD",2,-0.5,"small",0.4,25,-0.100486824458425,-0.062520726696643,-0.0379660977617819,0.0315357614567673,0.0492542768438308,NA,100
"IPCW (no cloning)","RD",5,-0.5,"small",0.4,25,-0.128338551241673,-0.0496374696178093,-0.0787010816238633,0.026634561091784,0.0830431580256462,NA,100
"IPCW (no cloning)","RD",8,-0.5,"small",0.4,25,-0.17118781064825,-0.04122607123647,-0.12996173941178,0.0227166865389397,0.131912626688164,NA,100
"IPCW (no cloning)","RD",2,-1,"medium",1,25,-0.177313375976783,-0.136436022479391,-0.0408773534973922,0.0564562337289862,0.0694722339682845,NA,100
"IPCW (no cloning)","RD",5,-1,"medium",1,25,-0.243708353731398,-0.107020348251992,-0.136688005479406,0.0430120307711574,0.143231090497442,NA,100
