"interval","eligible","initiated","numerator_hazard"
1,3e+06,267425,0.0891416666666667
2,2732575,243215,0.0890057912408626
3,2489360,201242,0.0808408586946042
4,2288118,163947,0.0716514620312414
5,2124171,136400,0.0642132860301736
6,1987771,115523,0.0581168555130345
7,1872248,98661,0.0526965444748773
8,1773587,86539,0.0487932083399348
9,1687048,76355,0.0452595302564005
10,1610693,68236,0.0423643735957131
11,1542457,61818,0.0400776164262602
12,1480639,55780,0.0376729236498566
13,1424859,51180,0.0359193435982087
14,1373679,46904,0.0341448038442751
15,1326775,43638,0.032890279060127
16,1283137,40160,0.0312982947261282
17,1242977,37789,0.0304020106566735
18,1205188,35163,0.0291763608665204
19,1170025,32897,0.028116493237324
20,1137128,30744,0.0270365341456723
21,1106384,29326,0.0265061678404605
22,1077058,27438,0.0254749512096842
23,1049620,26225,0.0249852327509003
24,1023395,24835,0.024267267281939
25,998560,23794,0.0238283127703894
