"model","term","estimate"
"site_1","(Intercept)",-2.40734643234718
"site_1","m2",0.0260139662240262
"site_1","m3",-0.264610504579323
"site_1","m4",-0.88969437220428
"site_1","m5",-0.748475409364295
"site_1","m6",0.016694185330294
"site_1","m7",-0.56655027306078
"site_1","m8",-0.54666387544121
"site_1","m9",-1.32485366116163
"site_1","m10",-0.18029513756807
"site_1","m11",-0.438300971992503
"site_1","m12",-0.858756946252689
"site_1","m13",-0.616814775534608
"site_1","m14",-0.315824145593081
"site_1","m15",-0.128609159202858
"site_1","m16",0.383114652059818
"site_1","m17",-0.172537554912906
"site_1","m18",-0.769077449819824
"site_1","m19",-0.282012882926074
"site_1","m20",-0.572152809192378
"site_1","m21",0.0710409981450312
"site_1","m22",-0.540167679682654
"site_1","m23",-0.324695730054096
"site_1","m24",0.249195550078746
"site_1","m25",-0.818769017226677
"site_1","x1",0.991298655203066
"site_1","x2",-0.313916663490494
"site_1","L1",0.488299228555639
"site_1","L2",0.370166435274048
"site_1","L1lag",-0.00104592576754395
"site_1","L2lag",0.037717408333384
"site_2","(Intercept)",-3.14463132880147
"site_2","m2",0.143083272330994
"site_2","m3",0.0522476775916509
"site_2","m4",0.153128215810816
"site_2","m5",0.204758645801773
"site_2","m6",0.376429042858523
"site_2","m7",0.328389997674151
"site_2","m8",0.0338108567262958
"site_2","m9",0.178101208419201
"site_2","m10",0.364542765960315
"site_2","m11",0.486086409208218
"site_2","m12",0.218468117653795
"site_2","m13",-0.111645411653978
"site_2","m14",0.238578015038567
"site_2","m15",0.292313448488022
"site_2","m16",0.302458548791633
"site_2","m17",0.10381822172518
"site_2","m18",0.308278481750946
"site_2","m19",0.252684620609593
"site_2","m20",0.462547809462113
"site_2","m21",0.29500959452151
"site_2","m22",0.123790782740652
"site_2","m23",0.342139755690551
"site_2","m24",0.0108245104516383
"site_2","m25",0.27688429941471
"site_2","x1",0.850239147445847
"site_2","x2",-0.255912517833642
"site_2","L1",0.489046483518992
"site_2","L2",0.424795678399054
"site_2","L1lag",-0.0202548710740962
"site_2","L2lag",-0.077891879930825
"site_3","(Intercept)",-3.21546508819034
"site_3","m2",0.0956097707114135
"site_3","m3",0.348203500787849
"site_3","m4",0.178668812917295
"site_3","m5",0.0936280219761
"site_3","m6",0.455009448403224
"site_3","m7",-0.103118963614189
"site_3","m8",0.283147565085258
"site_3","m9",0.25443724979799
"site_3","m10",0.135429384687918
"site_3","m11",0.223084442289984
"site_3","m12",0.501390239914363
"site_3","m13",0.38557598977433
"site_3","m14",0.217389575327112
"site_3","m15",0.940369845342945
"site_3","m16",0.735660920983475
"site_3","m17",-0.641503569053192
"site_3","m18",0.967676837757904
"site_3","m19",-0.20193905462218
"site_3","m20",-0.260988266613156
"site_3","m21",-0.219370687499443
"site_3","m22",-0.623376431653766
"site_3","m23",-0.554108031840068
"site_3","m24",0.150065567338792
"site_3","m25",0.60852097010351
"site_3","x1",0.873090174928068
"site_3","x2",-0.326124676625491
"site_3","L1",0.561806256587751
"site_3","L2",0.37106087102103
"site_3","L1lag",-0.0645306285666029
"site_3","L2lag",-0.00507698844737239
"pooled","(Intercept)",-3.07506971603925
"pooled","m2",0.0939388718571167
"pooled","m3",0.160255372722453
"pooled","m4",0.0541575413906947
"pooled","m5",0.0446345492616095
"pooled","m6",0.362431241946107
"pooled","m7",0.0728034382661483
"pooled","m8",0.0385425606366811
"pooled","m9",-0.00722928855967241
"pooled","m10",0.231997489617918
"pooled","m11",0.258547165265504
"pooled","m12",0.124805334218754
"pooled","m13",-0.0331195080501863
"pooled","m14",0.160721868811259
"pooled","m15",0.395644027063028
"pooled","m16",0.517425914247061
"pooled","m17",0.0328603322665389
"pooled","m18",0.244239751471448
"pooled","m19",0.109349543145758
"pooled","m20",0.114977462162058
"pooled","m21",0.284527039076423
"pooled","m22",-0.108834379781925
"pooled","m23",0.0916675363806273
"pooled","m24",0.322724894797209
"pooled","m25",0.0896069374278797
"pooled","x1",0.837550402362734
"pooled","x2",-0.31584184588286
"pooled","L1",0.515423173243818
"pooled","L2",0.390151597812857
"pooled","L1lag",-0.0245618652463207
"pooled","L2lag",-0.020657694597654
