"method","estimand","estimate"
"fed_local_den_local_num","psi1",0.774063942050521
"fed_local_den_local_num","psi0",0.689183714787641
"fed_local_den_local_num","RD",0.0848802272628801
"fed_local_den_local_num","RR",1.123160523735
"fed_local_den_local_num","OR",1.54511229793405
"fed_local_den_local_num","RMST1",10.2137500994756
"fed_local_den_local_num","RMST0",12.2002198127936
"fed_local_den_local_num","RMST_diff",-1.98646971331803
"pooled_den_pooled_num","psi1",0.699227372529061
"pooled_den_pooled_num","psi0",0.755977662105089
"pooled_den_pooled_num","RD",-0.0567502895760285
"pooled_den_pooled_num","RR",0.92493126130473
"pooled_den_pooled_num","OR",0.750413661886424
"pooled_den_pooled_num","RMST1",11.9372975899997
"pooled_den_pooled_num","RMST0",10.5584970137741
"pooled_den_pooled_num","RMST_diff",1.37880057622555
"fed_local_den_common_num","psi1",0.704701453707166
"fed_local_den_common_num","psi0",0.755999695937094
"fed_local_den_common_num","RD",-0.0512982422299277
"fed_local_den_common_num","RR",0.932145154944353
"fed_local_den_common_num","OR",0.770216122268484
"fed_local_den_common_num","RMST1",11.7612133138506
"fed_local_den_common_num","RMST0",10.5542610091997
"fed_local_den_common_num","RMST_diff",1.20695230465081
"pooled_den_local_num","psi1",0.777672271982068
"pooled_den_local_num","psi0",0.689587018896045
"pooled_den_local_num","RD",0.0880852530860226
"pooled_den_local_num","RR",1.1277362402022
"pooled_den_local_num","OR",1.57454030291667
"pooled_den_local_num","RMST1",10.1608036385939
"pooled_den_local_num","RMST0",12.1882041863153
"pooled_den_local_num","RMST_diff",-2.02740054772149
"true_den_local_num","psi1",0.781663420382247
"true_den_local_num","psi0",0.687399453353114
"true_den_local_num","RD",0.0942639670291326
"true_den_local_num","RR",1.13713128017387
"true_den_local_num","OR",1.62807286078197
"true_den_local_num","RMST1",10.1045225606974
"true_den_local_num","RMST0",12.2555014251757
"true_den_local_num","RMST_diff",-2.15097886447831
"true_den_common_num","psi1",0.705523764898929
"true_den_common_num","psi0",0.753423892769771
"true_den_common_num","RD",-0.0479001278708421
"true_den_common_num","RR",0.936423402110664
"true_den_common_num","OR",0.784102788914307
"true_den_common_num","RMST1",11.8674662168759
"true_den_common_num","RMST0",10.6414232021821
"true_den_common_num","RMST_diff",1.22604301469385
