"numerator","site","arm","interval","risk_n","weight_sum","ess","ess_fraction","w_median","w_q95","w_q99","w_max"
"local",1,1,1,1000,995.46662359208,978.117571157856,0.978117571157856,0.99003270816977,1.05404123200022,1.22154505848869,4.67329204886935
"local",1,0,1,977,977.029035893147,975.986909988919,0.998963060377603,0.990119563153472,1.05095165856286,1.1140351403073,1.46193777197843
"local",1,1,2,955,944.456980179341,924.128633798839,0.967673962093025,0.980082731759511,1.12073684390383,1.35145926032549,4.67329204886935
"local",1,0,2,913,911.678535384251,910.438284921918,0.997194178446788,0.980933214256119,1.09821465531845,1.20097362386707,1.39866668455114
"local",1,1,3,930,914.718065735188,882.833431739902,0.949283259935379,0.971015666500592,1.13368055023184,1.46753925677357,4.67329204886935
"local",1,0,3,878,873.996714854725,873.931871878568,0.995366596672629,0.972701733255915,1.10780832351949,1.29449134909465,1.62399217005253
"local",1,1,4,902,884.04200060757,848.572352794171,0.940767575159835,0.965896767806301,1.15044578321503,1.52148473406245,4.67329204886935
"local",1,0,4,843,837.344957522788,837.809104493196,0.993842354084456,0.96754761230864,1.12110683615288,1.31216592992962,1.82275868791472
"local",1,1,5,62,57.5537511968305,27.9965720467212,0.451557613656794,0.525589262925809,3.37694958550282,4.49766449411791,4.67329204886935
"local",1,0,5,813,803.070713627123,807.89204380058,0.993717151046224,0.962146978787156,1.11517069814467,1.304769343879,1.68938476643091
"local",1,1,6,61,55.9698784734214,27.0504008466018,0.443449194206587,0.518165504556236,3.39215093044232,4.50054363435974,4.67329204886935
"local",1,0,6,789,778.47449631244,784.033728549491,0.99370561286374,0.960559585836745,1.11175397919495,1.30858945878765,1.68938476643091
"local",1,1,7,60,55.2500260657805,26.4775377644865,0.441292296074775,0.491767778225646,3.39970014948382,4.50342277460156,4.67329204886935
"local",1,0,7,775,763.512109091575,770.57549695367,0.994290963811187,0.959899197603791,1.10802057529439,1.29047174253361,1.65946287840254
"local",1,1,8,58,53.4795968583546,25.4408798533596,0.438635859540683,0.491767778225646,3.41479858756684,4.50918105508522,4.67329204886935
"local",1,0,8,754,741.345227004442,750.025173916351,0.994728347369166,0.959372990933798,1.09268530051336,1.28168505697455,1.65946287840254
"local",1,1,9,56,53.0320122309976,25.03986924539,0.447140522239107,0.525589262925809,3.42989702564986,4.51493933556887,4.67329204886935
"local",1,0,9,742,728.759007301561,738.41558227549,0.995169248349717,0.959180700653994,1.08795879237225,1.27439575487631,1.65946287840254
"local",1,1,10,53,52.1494357931115,24.2723193590135,0.457968289792708,0.536889116465918,3.45254468277439,4.52357675629435,4.67329204886935
"local",1,0,10,728,714.13104066639,724.593152768901,0.995320264792446,0.958881047767832,1.08480739735286,1.27446590407977,1.65946287840254
"local",1,1,11,52,52.0340824726051,24.1679287219143,0.464767860036813,0.553932718649463,3.4600939018159,4.52645589653618,4.67329204886935
"local",1,0,11,711,697.365236084052,707.640188375711,0.995274526548117,0.958601726559766,1.0845851142806,1.2774529857521,1.65946287840254
"local",1,1,12,51,51.463106151772,23.7094390740413,0.464890962236105,0.536889116465918,3.46764312085741,4.52933503677801,4.67329204886935
"local",1,0,12,694,680.300280490204,690.710429732006,0.99525998520462,0.958243699504384,1.08375384291692,1.27957870433083,1.65946287840254
"local",1,1,13,51,51.463106151772,23.7094390740413,0.464890962236105,0.536889116465918,3.46764312085741,4.52933503677801,4.67329204886935
"local",1,0,13,680,665.0157317376,677.385497173334,0.996155142901962,0.957880840478891,1.07984736395332,1.25153265288982,1.5110800879146
"local",1,1,14,49,50.9941984864109,23.3025177367097,0.475561586463463,0.581975391184512,3.48274155894042,4.53509331726166,4.67329204886935
"local",1,0,14,665,650.159281969545,662.448832660483,0.996163658136064,0.957845198653566,1.07963538419836,1.25345158410518,1.5110800879146
"local",1,1,15,49,50.9941984864109,23.3025177367097,0.475561586463463,0.581975391184512,3.48274155894042,4.53509331726166,4.67329204886935
"local",1,0,15,653,637.414364285971,650.655137890821,0.996409093247812,0.957341218067676,1.0728029326241,1.24869253221544,1.5110800879146
"local",1,1,16,47,50.2159247545415,22.6665836236696,0.482267736673822,0.583980981235961,3.49783999702344,4.54085159774531,4.67329204886935
"local",1,0,16,640,624.634025412,637.667942356464,0.996356159931975,0.956662272258291,1.07345375967696,1.24873093645866,1.5110800879146
"local",1,1,17,46,49.3628095294995,22.0471988084372,0.479286930618199,0.582978186210237,3.50538921606495,4.54373073798714,4.67329204886935
