"numerator","site","arm","interval","risk_n","weight_sum","ess","ess_fraction","w_median","w_q95","w_q99","w_max"
"local",3,1,3,501,489.285563476742,92.232386978092,0.184096580794595,0.587106286364163,2.30022932076165,4.88201365986626,39.1818057086846
"local",3,1,4,359,342.643834562947,56.9120923845905,0.158529505249556,0.536791245751366,2.52964598288613,4.72440275128287,39.1818057086846
"local",3,1,5,129,199.284711192009,21.0295398794596,0.163019688988059,0.841420616761843,3.83280034436814,5.53245534367576,39.1818057086846
"local",3,1,6,87,165.462137318275,14.7978513344732,0.17009024522383,1.04340722483423,4.3215017173169,10.4609010023622,39.1818057086846
"local",3,1,7,68,138.509593938212,10.7557200523874,0.158172353711579,1.05156252965225,4.31079126374135,16.8062171584101,39.1818057086846
"local",3,1,8,45,116.974807489363,7.80100376151576,0.173355639144795,1.23633122666293,4.78276381564704,24.4873893473104,39.1818057086846
"local",3,1,9,34,108.040427248811,6.68708823311632,0.196679065679892,1.76966079298169,5.19820058949587,28.160993437654,39.1818057086846
"local",3,1,10,25,92.1300633510491,4.9901082661939,0.199604330647756,2.07053262820469,5.60472664187682,31.1666695115713,39.1818057086846
"local",3,1,11,21,86.7636075774093,4.44755105836196,0.211788145636284,2.30197775390612,5.78540488737946,32.5025255444236,39.1818057086846
"local",3,1,12,17,82.0420360827912,3.99214870591844,0.234832276818732,2.71976215360319,12.4646850516405,33.8383815772758,39.1818057086846
"local",3,1,13,16,81.5000607875402,3.9402645743831,0.246266535898944,2.87987415418204,14.1345050927057,34.1723455854888,39.1818057086846
"local",3,1,14,13,71.2942359560294,3.09331943225033,0.237947648634641,2.71976215360319,19.1439652159015,35.1742376101279,39.1818057086846
"local",3,1,15,13,71.2942359560294,3.09331943225033,0.237947648634641,2.71976215360319,19.1439652159015,35.1742376101279,39.1818057086846
"local",3,1,16,12,69.0176841300378,2.90809544155573,0.24234128679631,2.87987415418204,20.8137852569667,35.508201618341,39.1818057086846
"local",3,1,17,12,69.0176841300378,2.90809544155573,0.24234128679631,2.87987415418204,20.8137852569667,35.508201618341,39.1818057086846
"local",3,1,18,11,65.9776979752769,2.6726336010959,0.242966691008718,2.71976215360319,22.483605298032,35.8421656265541,39.1818057086846
"local",3,1,19,10,64.4461178759738,2.55366870344423,0.255366870344423,2.90704402756355,24.1534253390972,36.1761296347671,39.1818057086846
"local",3,0,19,29,9.60958220784123,28.4093522802054,0.979632837248463,0.317522733669181,0.411227117253579,0.507723865266404,0.5334374632251
"local",3,1,20,9,61.7263557223706,2.3533798967546,0.261486655194955,3.0943259015239,25.8232453801625,36.5100936429802,39.1818057086846
"local",3,0,20,25,8.25151263357532,24.4195274913456,0.976781099653824,0.31737212443827,0.426415151027382,0.511397236403361,0.5334374632251
"local",3,1,21,8,59.4243779684645,2.18828484963961,0.273535606204952,3.33984853025948,27.4930654212278,36.8440576511932,39.1818057086846
"local",3,0,21,23,7.6135310508398,22.4263431048341,0.975058395862354,0.31737212443827,0.434009167914284,0.513233921971839,0.5334374632251
"local",3,1,22,7,55.8390068094694,1.9477059812737,0.278243711610528,3.0943259015239,29.162885462293,37.1780216594063,39.1818057086846
"local",3,0,22,22,7.29615892640153,21.430759978731,0.974125453578684,0.31694336928223,0.437806176357735,0.514152264756078,0.5334374632251
"local",3,1,23,7,55.8390068094694,1.9477059812737,0.278243711610528,3.0943259015239,29.162885462293,37.1780216594063,39.1818057086846
"local",3,0,23,18,5.93603575673948,17.4444920841951,0.969138449121952,0.309107874479263,0.455378326564773,0.517825635893035,0.5334374632251
"local",3,1,24,7,55.8390068094694,1.9477059812737,0.278243711610528,3.0943259015239,29.162885462293,37.1780216594063,39.1818057086846
"local",3,0,24,18,5.93603575673948,17.4444920841951,0.969138449121952,0.309107874479263,0.455378326564773,0.517825635893035,0.5334374632251
"local",3,1,25,7,55.8390068094694,1.9477059812737,0.278243711610528,3.0943259015239,29.162885462293,37.1780216594063,39.1818057086846
"local",3,0,25,16,5.09271787785603,15.8208543555913,0.988803397224458,0.308137473015312,0.358762265653558,0.42503500097166,0.441603184801186
"common",3,1,5,129,103.848510491706,21.5735382974455,0.167236730987949,0.466927919493515,2.00075484382148,2.87970524055641,20.1091807076326
"common",3,1,6,87,86.6786944669105,15.3173626595189,0.176061639764585,0.54387634890804,2.19417075156568,5.36882220756177,20.1091807076326
"common",3,1,7,68,72.7545237848908,11.188734843449,0.164540218286014,0.552073086706617,2.18719307836355,8.62541303897272,20.1091807076326
"common",3,1,8,45,61.4871507767604,8.11912223292359,0.180424938509413,0.642407402089567,2.566808463682,12.5676019401545,20.1091807076326
"common",3,1,10,25,48.6856084967173,5.2386743380829,0.209546973523316,1.07586499308676,2.90528344707292,15.9955922890081,20.1091807076326
"common",3,1,11,21,45.9172830046868,4.68224912404501,0.222964244002143,1.19612569565711,2.96922896336418,16.6811903587789,20.1091807076326
"common",3,1,12,17,43.3494302561834,4.19023945012106,0.246484673536533,1.56020453445406,6.39721931221785,17.3667884285496,20.1091807076326
"common",3,1,13,16,43.071273623171,4.137351457207,0.258584466075438,1.60117963188242,7.25421689943128,17.5381879459923,20.1091807076326
"common",3,1,14,13,37.5870142972256,3.24026394120707,0.249251072400544,1.56020453445406,9.82520966107152,18.0523864983204,20.1091807076326
"common",3,1,15,13,37.5870142972256,3.24026394120707,0.249251072400544,1.56020453445406,9.82520966107152,18.0523864983204,20.1091807076326
