"scenario","conf_mult","interval","common_numerator_hazard"
"small",0.4,1,0.053
"small",0.4,2,0.0573741640267511
"small",0.4,3,0.0593726661687827
"small",0.4,4,0.054783644303295
"small",0.4,5,0.0587988240235195
"small",0.4,6,0.0589022757697456
"small",0.4,7,0.0526315789473684
"small",0.4,8,0.0505505505505505
"small",0.4,9,0.0490247759620453
"small",0.4,10,0.0432372505543237
"small",0.4,11,0.0533024333719583
"small",0.4,12,0.0563035495716034
"small",0.4,13,0.053177691309987
"small",0.4,14,0.0404109589041096
"small",0.4,15,0.0413990007137759
"small",0.4,16,0.0454206999255398
"small",0.4,17,0.0452418096723869
"small",0.4,18,0.0457516339869281
"small",0.4,19,0.0530821917808219
"small",0.4,20,0.0533453887884268
"small",0.4,21,0.0334288443170965
"small",0.4,22,0.0365612648221344
"small",0.4,23,0.037948717948718
"small",0.4,24,0.0373134328358209
"small",0.4,25,0.0509413067552602
"medium",1,1,0.077
"medium",1,2,0.0830624774286746
"medium",1,3,0.0783773139031115
"medium",1,4,0.0811965811965812
"medium",1,5,0.0753488372093023
"medium",1,6,0.0583501006036217
"medium",1,7,0.0496794871794872
"medium",1,8,0.0556492411467116
"medium",1,9,0.0410714285714286
"medium",1,10,0.0465549348230912
"medium",1,11,0.046875
"medium",1,12,0.0478142076502732
"medium",1,13,0.0401721664275466
"medium",1,14,0.0328849028400598
"medium",1,15,0.0432766615146832
"medium",1,16,0.0226171243941842
"medium",1,17,0.0421487603305785
"medium",1,18,0.0293356341673857
"medium",1,19,0.0231111111111111
"medium",1,20,0.0309372156505914
"medium",1,21,0.0338028169014084
"medium",1,22,0.0204081632653061
"medium",1,23,0.0267857142857143
"medium",1,24,0.0265035677879715
"medium",1,25,0.0293193717277487
"strong",2,1,0.151666666666667
"strong",2,2,0.135559921414538
"strong",2,3,0.108181818181818
"strong",2,4,0.0846075433231396
"strong",2,5,0.0824053452115813
"strong",2,6,0.0631067961165049
"strong",2,7,0.0459844559585492
"strong",2,8,0.0475220638153428
"strong",2,9,0.0427655024946543
"strong",2,10,0.0424422933730454
"strong",2,11,0.0381026438569207
"strong",2,12,0.0363783346806791
"strong",2,13,0.0352348993288591
"strong",2,14,0.028695652173913
"strong",2,15,0.0223813786929275
"strong",2,16,0.0357142857142857
"strong",2,17,0.0265906932573599
"strong",2,18,0.0165853658536585
"strong",2,19,0.0218253968253968
"strong",2,20,0.013184584178499
"strong",2,21,0.0154162384378212
"strong",2,22,0.0208768267223382
"strong",2,23,0.0298507462686567
"strong",2,24,0.021978021978022
"strong",2,25,0.0191011235955056
