"analysis","n_arm1","n_arm0","weight_sum_arm1","weight_sum_arm0","ess_arm1","ess_arm0","scenario","conf_mult","iteration","seed"
"Before weighting",351,1286,351,1286,351,1286,"small",0.5,1,3026
"After weighting",351,1286,449.444474366375,1180.08257895376,235.063946330086,1271.97490730445,"small",0.5,1,3026
"Before weighting",370,1248,370,1248,370,1248,"small",0.5,2,4026
"After weighting",370,1248,503.328035633879,1136.09144813996,253.098496005147,1225.82990305549,"small",0.5,2,4026
"Before weighting",345,1271,345,1271,345,1271,"small",0.5,3,5026
"After weighting",345,1271,459.703542725699,1156.72254094855,221.049652596996,1251.00126910557,"small",0.5,3,5026
"Before weighting",378,1265,378,1265,378,1265,"small",0.5,4,6026
"After weighting",378,1265,491.46311847615,1150.24737046251,265.63170614165,1250.23461207951,"small",0.5,4,6026
"Before weighting",349,1249,349,1249,349,1249,"small",0.5,5,7026
"After weighting",349,1249,459.768338897889,1149.04541913135,197.154085266507,1229.20514424746,"small",0.5,5,7026
"Before weighting",367,1260,367,1260,367,1260,"small",0.5,6,8026
"After weighting",367,1260,509.851983526675,1149.87050226708,235.952015084259,1241.14642510937,"small",0.5,6,8026
"Before weighting",393,1294,393,1294,393,1294,"small",0.5,7,9026
"After weighting",393,1294,528.309098011942,1189.19058648601,245.770824939791,1272.9941352847,"small",0.5,7,9026
"Before weighting",357,1277,357,1277,357,1277,"small",0.5,8,10026
"After weighting",357,1277,467.500117528157,1171.38610636428,255.420673758527,1256.83324093305,"small",0.5,8,10026
"Before weighting",344,1324,344,1324,344,1324,"small",0.5,9,11026
"After weighting",344,1324,438.433578246862,1214.21988584528,260.175419706635,1309.23995199092,"small",0.5,9,11026
"Before weighting",390,1257,390,1257,390,1257,"small",0.5,10,12026
"After weighting",390,1257,468.621423092416,1145.46284984462,281.198844877693,1234.90079136872,"small",0.5,10,12026
"Before weighting",368,1312,368,1312,368,1312,"small",0.5,11,13026
"After weighting",368,1312,460.563719656126,1206.32405248605,260.575007036985,1295.35512391431,"small",0.5,11,13026
"Before weighting",358,1245,358,1245,358,1245,"small",0.5,12,14026
"After weighting",358,1245,473.301383511158,1133.88498663244,260.078677907586,1230.10987654262,"small",0.5,12,14026
"Before weighting",381,1270,381,1270,381,1270,"small",0.5,13,15026
"After weighting",381,1270,473.680033676564,1163.71546078881,275.798937760841,1249.4710915132,"small",0.5,13,15026
"Before weighting",366,1284,366,1284,366,1284,"small",0.5,14,16026
"After weighting",366,1284,473.637354719611,1180.58796996544,257.015308900936,1261.52250762691,"small",0.5,14,16026
"Before weighting",340,1314,340,1314,340,1314,"small",0.5,15,17026
"After weighting",340,1314,430.951083190016,1195.45872754651,242.082780089256,1286.32708189765,"small",0.5,15,17026
"Before weighting",374,1327,374,1327,374,1327,"small",0.5,16,18026
"After weighting",374,1327,479.978754629205,1199.54855564402,248.530012688292,1303.79364957758,"small",0.5,16,18026
"Before weighting",368,1325,368,1325,368,1325,"small",0.5,17,19026
"After weighting",368,1325,503.88862452322,1210.58102189113,186.807772068203,1309.29648349373,"small",0.5,17,19026
"Before weighting",387,1264,387,1264,387,1264,"small",0.5,18,20026
