"scenario","conf_mult","covariate","covariate_label","n_iterations","mean_smd_before","mean_smd_after","sd_smd_before","sd_smd_after","mean_abs_smd_before","mean_abs_smd_after","sd_abs_smd_before","sd_abs_smd_after","median_abs_smd_before","median_abs_smd_after","q025_abs_smd_before","q025_abs_smd_after","q975_abs_smd_before","q975_abs_smd_after","proportion_abs_smd_below_0_10_before","proportion_abs_smd_below_0_10_after","mean_abs_smd_reduction"
"small",0.5,"x1","Baseline x1",20,0.652838273486708,0.0854555112680363,0.065471791646486,0.105518442915247,0.652838273486708,0.109176399531455,0.065471791646486,0.0792105315759999,0.637528444785643,0.0890623024940516,0.564326036511172,0.0195330507321865,0.78788482075839,0.2823480559438,0,0.6,0.543661873955253
"small",0.5,"L1","L1 at tau=5",20,0.408512017982031,0.093138069623605,0.0586365057170503,0.0747286511117661,0.408512017982031,0.104320613351111,0.0586365057170503,0.0570969846691563,0.403952887565384,0.0929645138568212,0.30521562876434,0.0176185834950354,0.492968350354191,0.188072737591133,0,0.55,0.30419140463092
"small",0.5,"L2","L2 at tau=5",20,0.390284058224735,0.083804506140239,0.0674058815365026,0.0771051988569302,0.390284058224735,0.0941710342455541,0.0674058815365026,0.0632702030539233,0.379235929574595,0.0950973114945052,0.295851018566623,0.0147567859278917,0.512577709537012,0.223495357201186,0,0.55,0.296113023979181
"small",0.5,"L1lag","L1 at tau-1=4",20,0.415109167536076,0.0873730053446406,0.056376959459728,0.0638115272777232,0.415109167536076,0.0911401859212329,0.056376959459728,0.0580002181124531,0.413891568497481,0.0761086490769077,0.331074955238093,0.032181614843287,0.523836457789649,0.217057520355207,0,0.65,0.323968981614843
"small",0.5,"L2lag","L2 at tau-1=4",20,0.394965172430511,0.0889020326404607,0.0528976080910776,0.0701279616946186,0.394965172430511,0.091214685421877,0.0528976080910776,0.0669287683551728,0.396472746443019,0.0949406229247964,0.296740783759571,0.00320379263112142,0.490792076259932,0.195045322879149,0,0.55,0.303750487008634
"medium",1,"x1","Baseline x1",20,1.13469144214171,0.130181881171519,0.0446403058527646,0.133930927192215,1.13469144214171,0.153973106707427,0.0446403058527646,0.104025417905316,1.13721501357675,0.132382996356258,1.05471946842684,0.0058136299074525,1.19856288578012,0.386985562746661,0,0.35,0.980718335434279
"medium",1,"L1","L1 at tau=5",20,0.637772506041236,0.080686164708424,0.0636269751098377,0.0917109128551655,0.637772506041236,0.0979252031436824,0.0636269751098377,0.0719009459312261,0.648234888811232,0.0678380979058781,0.515787515403008,0.0144932045596266,0.729509427095258,0.223339020322926,0,0.55,0.539847302897554
"medium",1,"L2","L2 at tau=5",20,0.604045745429169,0.103184245205582,0.0519706389698249,0.116118674985687,0.604045745429169,0.119077391013227,0.0519706389698249,0.0988189879183077,0.589581848930538,0.0762070304611143,0.522499146519308,0.0140908773668088,0.70546190970666,0.297724449140927,0,0.6,0.484968354415942
"medium",1,"L1lag","L1 at tau-1=4",20,0.659923169830755,0.0865213539334515,0.0605184192566566,0.109809277761944,0.659923169830755,0.118278257958593,0.0605184192566566,0.0721939783844668,0.662581375247619,0.111539547314885,0.541570480453329,0.012341407848297,0.750359869309381,0.230577857069923,0,0.45,0.541644911872162
"medium",1,"L2lag","L2 at tau-1=4",20,0.64224645295511,0.125650256319041,0.0525758775610125,0.125657199715621,0.64224645295511,0.150894251226991,0.0525758775610125,0.0918761013999952,0.650486019893409,0.140633766486876,0.564461298596507,0.0237301131485101,0.723613414339698,0.346743025860197,0,0.3,0.491352201728119
"strong",1.5,"x1","Baseline x1",20,1.4633221374634,0.190717939629676,0.0546794646698483,0.22837377557695,1.4633221374634,0.221956851101264,0.0546794646698483,0.196429553592999,1.466770090857,0.169668974032467,1.35943466669996,0.0134339072083806,1.56319103801202,0.58503838532236,0,0.45,1.24136528636213
"strong",1.5,"L1","L1 at tau=5",20,0.795820723817565,0.153536690913602,0.0656034755861503,0.144191932904725,0.795820723817565,0.175886546320744,0.0656034755861503,0.114198286092403,0.795012568207281,0.146344776820805,0.668864251479125,0.016604277125444,0.902383621857686,0.394167519564857,0,0.3,0.61993417749682
"strong",1.5,"L2","L2 at tau=5",20,0.750163860702325,0.119174699679831,0.0647596845530513,0.192968590318168,0.750163860702325,0.182393986628715,0.0647596845530513,0.131028625608356,0.739495484403371,0.156287489797081,0.668512504229832,0.00639643404451867,0.872979526150089,0.380741719301528,0,0.35,0.56776987407361
"strong",1.5,"L1lag","L1 at tau-1=4",20,0.809984508922172,0.130740070674466,0.0567683303929953,0.198059595559082,0.809984508922172,0.183095885645256,0.0567683303929953,0.148093448318495,0.81037226773937,0.157450641351848,0.725073438276613,0.00873880489041065,0.919245492361872,0.477782577473124,0,0.4,0.626888623276917
"strong",1.5,"L2lag","L2 at tau-1=4",20,0.76382313268699,0.129263782584843,0.0581551711555691,0.14814766583464,0.76382313268699,0.170006128732705,0.0581551711555691,0.0954622329791672,0.759761982990348,0.152057147496169,0.687266538060231,0.0345554095721695,0.852453775078966,0.355391083140476,0,0.2,0.593817003954285
