"scenario","conf_mult","iteration","seed","interval","common_numerator_hazard"
"small",0.5,1,3026,1,0.0526666666666667
"small",0.5,1,3026,2,0.0545390570021112
"small",0.5,1,3026,3,0.0524748790472646
"small",0.5,1,3026,4,0.0561665357423409
"small",0.5,1,3026,5,0.05451518934665
"small",0.5,1,3026,6,0.0558978873239437
"small",0.5,1,3026,7,0.0531468531468531
"small",0.5,1,3026,8,0.052191038897095
"small",0.5,1,3026,9,0.0561038961038961
"small",0.5,1,3026,10,0.0511832691249312
"small",0.5,1,3026,11,0.0458236658932715
"small",0.5,1,3026,12,0.0547112462006079
"small",0.5,1,3026,13,0.0565916398713826
"small",0.5,1,3026,14,0.0511247443762781
"small",0.5,1,3026,15,0.0495689655172414
"small",0.5,1,3026,16,0.0468631897203326
"small",0.5,1,3026,17,0.0475812846946868
"small",0.5,1,3026,18,0.0391340549542048
"small",0.5,1,3026,19,0.0493934142114385
"small",0.5,1,3026,20,0.0401093892433911
"small",0.5,1,3026,21,0.0417853751187085
"small",0.5,1,3026,22,0.0386521308225966
"small",0.5,1,3026,23,0.0381443298969072
"small",0.5,1,3026,24,0.0310825294748124
"small",0.5,1,3026,25,0.0320796460176991
"small",0.5,2,4026,1,0.054
"small",0.5,2,4026,2,0.0567300916138125
"small",0.5,2,4026,3,0.0537915577138588
"small",0.5,2,4026,4,0.0604026845637584
"small",0.5,2,4026,5,0.0659663865546219
"small",0.5,2,4026,6,0.0562303193882141
"small",0.5,2,4026,7,0.0586272640610105
"small",0.5,2,4026,8,0.0546835443037975
"small",0.5,2,4026,9,0.0530262453133369
"small",0.5,2,4026,10,0.0605203619909502
"small",0.5,2,4026,11,0.0523780854906683
"small",0.5,2,4026,12,0.0514612452350699
"small",0.5,2,4026,13,0.0495646349631614
"small",0.5,2,4026,14,0.040169133192389
"small",0.5,2,4026,15,0.0484581497797357
"small",0.5,2,4026,16,0.0401234567901235
"small",0.5,2,4026,17,0.0530546623794212
"small",0.5,2,4026,18,0.034804753820034
"small",0.5,2,4026,19,0.0395778364116095
"small",0.5,2,4026,20,0.0256410256410256
"small",0.5,2,4026,21,0.0366541353383459
"small",0.5,2,4026,22,0.0409756097560976
"small",0.5,2,4026,23,0.0447609359104781
"small",0.5,2,4026,24,0.0425985090521832
"small",0.5,2,4026,25,0.0456062291434928
"small",0.5,3,5026,1,0.051
"small",0.5,3,5026,2,0.0558482613277134
"small",0.5,3,5026,3,0.0572916666666667
"small",0.5,3,5026,4,0.0599842146803473
"small",0.5,3,5026,5,0.0591939546599496
"small",0.5,3,5026,6,0.0544399821508255
"small",0.5,3,5026,7,0.0547428032090609
"small",0.5,3,5026,8,0.054418372441338
"small",0.5,3,5026,9,0.0533262935586061
"small",0.5,3,5026,10,0.045175683212493
"small",0.5,3,5026,11,0.0566588785046729
"small",0.5,3,5026,12,0.0538699690402477
"small",0.5,3,5026,13,0.0418848167539267
"small",0.5,3,5026,14,0.0587431693989071
"small",0.5,3,5026,15,0.04644412191582
"small",0.5,3,5026,16,0.0547945205479452
"small",0.5,3,5026,17,0.0394524959742351
"small",0.5,3,5026,18,0.0486169321039397
"small",0.5,3,5026,19,0.0422907488986784
"small",0.5,3,5026,20,0.0395584176632935
"small",0.5,3,5026,21,0.0402298850574713
"small",0.5,3,5026,22,0.0439121756487026
"small",0.5,3,5026,23,0.0407098121085595
"small",0.5,3,5026,24,0.043525571273123
"small",0.5,3,5026,25,0.0409556313993174
"small",0.5,4,6026,1,0.055
"small",0.5,4,6026,2,0.0596119929453263
"small",0.5,4,6026,3,0.0581395348837209
"small",0.5,4,6026,4,0.0585424133811231
"small",0.5,4,6026,5,0.0566835871404399
"small",0.5,4,6026,6,0.0632286995515695
"small",0.5,4,6026,7,0.0536141694590713
"small",0.5,4,6026,8,0.0515933232169954
"small",0.5,4,6026,9,0.0512
"small",0.5,4,6026,10,0.0511523327712198
"small",0.5,4,6026,11,0.0485781990521327
"small",0.5,4,6026,12,0.0491905354919054
"small",0.5,4,6026,13,0.045841519318926
"small",0.5,4,6026,14,0.0446122168840082
"small",0.5,4,6026,15,0.0352011494252874
"small",0.5,4,6026,16,0.0446760982874162
"small",0.5,4,6026,17,0.0467653936087295
"small",0.5,4,6026,18,0.0417007358953393
"small",0.5,4,6026,19,0.045221843003413
"small",0.5,4,6026,20,0.0357462019660411
"small",0.5,4,6026,21,0.036144578313253
"small",0.5,4,6026,22,0.0442307692307692
"small",0.5,4,6026,23,0.0362173038229376
"small",0.5,4,6026,24,0.0407098121085595
"small",0.5,4,6026,25,0.0326441784548422
"small",0.5,5,7026,1,0.0546666666666667
"small",0.5,5,7026,2,0.0567700987306065
"small",0.5,5,7026,3,0.0534579439252336
"small",0.5,5,7026,4,0.0513428120063191
"small",0.5,5,7026,5,0.0570358034970858
"small",0.5,5,7026,6,0.0538631346578366
"small",0.5,5,7026,7,0.05506299580028
"small",0.5,5,7026,8,0.0602469135802469
"small",0.5,5,7026,9,0.0530740935365213
"small",0.5,5,7026,10,0.0471698113207547
"small",0.5,5,7026,11,0.0483401281304601
"small",0.5,5,7026,12,0.0507955936352509
"small",0.5,5,7026,13,0.049645390070922
"small",0.5,5,7026,14,0.0434192672998643
"small",0.5,5,7026,15,0.0446808510638298
"small",0.5,5,7026,16,0.0504825538233111
"small",0.5,5,7026,17,0.0453479280688038
"small",0.5,5,7026,18,0.0483210483210483
"small",0.5,5,7026,19,0.040447504302926
"small",0.5,5,7026,20,0.0340807174887892
"small",0.5,5,7026,21,0.0380687093779016
"small",0.5,5,7026,22,0.0405405405405405
"small",0.5,5,7026,23,0.0352112676056338
"small",0.5,5,7026,24,0.0490093847758081
"small",0.5,5,7026,25,0.0427631578947368
"small",0.5,6,8026,1,0.0556666666666667
"small",0.5,6,8026,2,0.0624779385810095
"small",0.5,6,8026,3,0.0568524096385542
"small",0.5,6,8026,4,0.0542914171656687
"small",0.5,6,8026,5,0.0586745462220346
"small",0.5,6,8026,6,0.0538116591928251
"small",0.5,6,8026,7,0.0554502369668246
"small",0.5,6,8026,8,0.0541896638233818
"small",0.5,6,8026,9,0.0530503978779841
"small",0.5,6,8026,10,0.049859943977591
"small",0.5,6,8026,11,0.0619103773584906
"small",0.5,6,8026,12,0.0370835952231301
"small",0.5,6,8026,13,0.0469973890339426
"small",0.5,6,8026,14,0.0458904109589041
"small",0.5,6,8026,15,0.0473797559224695
"small",0.5,6,8026,16,0.0391861341371515
"small",0.5,6,8026,17,0.043921568627451
"small",0.5,6,8026,18,0.0459392945036916
"small",0.5,6,8026,19,0.0464316423043852
"small",0.5,6,8026,20,0.042380522993688
"small",0.5,6,8026,21,0.0461393596986817
"small",0.5,6,8026,22,0.0365251727541955
"small",0.5,6,8026,23,0.0440573770491803
"small",0.5,6,8026,24,0.0418006430868167
"small",0.5,6,8026,25,0.0391498881431767
"small",0.5,7,9026,1,0.052
"small",0.5,7,9026,2,0.0552039381153305
"small",0.5,7,9026,3,0.0539635280982508
"small",0.5,7,9026,4,0.0637293469708891
"small",0.5,7,9026,5,0.0609243697478992
"small",0.5,7,9026,6,0.0456375838926174
"small",0.5,7,9026,7,0.0609470229723394
"small",0.5,7,9026,8,0.0524213679480779
"small",0.5,7,9026,9,0.0611169652265543
"small",0.5,7,9026,10,0.0572390572390572
"small",0.5,7,9026,11,0.0416666666666667
"small",0.5,7,9026,12,0.0472049689440994
"small",0.5,7,9026,13,0.0488917861799218
"small",0.5,7,9026,14,0.0500342700479781
"small",0.5,7,9026,15,0.0360750360750361
"small",0.5,7,9026,16,0.0523952095808383
"small",0.5,7,9026,17,0.0434439178515008
"small",0.5,7,9026,18,0.0379851362510322
"small",0.5,7,9026,19,0.0386266094420601
"small",0.5,7,9026,20,0.04375
"small",0.5,7,9026,21,0.0401493930905696
"small",0.5,7,9026,22,0.0359922178988327
"small",0.5,7,9026,23,0.0454086781029263
"small",0.5,7,9026,24,0.0391120507399577
"small",0.5,7,9026,25,0.0341034103410341
"small",0.5,8,10026,1,0.0556666666666667
"small",0.5,8,10026,2,0.0511824920578892
"small",0.5,8,10026,3,0.0598958333333333
"small",0.5,8,10026,4,0.0573802928373566
"small",0.5,8,10026,5,0.0583543240973971
"small",0.5,8,10026,6,0.0619705751226037
"small",0.5,8,10026,7,0.0541825095057034
"small",0.5,8,10026,8,0.0517587939698492
"small",0.5,8,10026,9,0.0455749867514573
"small",0.5,8,10026,10,0.0571904497501388
"small",0.5,8,10026,11,0.0453474676089517
"small",0.5,8,10026,12,0.0512029611351018
"small",0.5,8,10026,13,0.0435630689206762
"small",0.5,8,10026,14,0.0455472467709041
"small",0.5,8,10026,15,0.037037037037037
"small",0.5,8,10026,16,0.0428994082840237
"small",0.5,8,10026,17,0.0440494590417311
"small",0.5,8,10026,18,0.0436540016168149
"small",0.5,8,10026,19,0.0363482671174979
"small",0.5,8,10026,20,0.0421052631578947
"small",0.5,8,10026,21,0.0448717948717949
"small",0.5,8,10026,22,0.0345158197507191
"small",0.5,8,10026,23,0.0347567030784508
"small",0.5,8,10026,24,0.0390946502057613
"small",0.5,8,10026,25,0.0331905781584582
"small",0.5,9,11026,1,0.0553333333333333
"small",0.5,9,11026,2,0.0553987297106563
"small",0.5,9,11026,3,0.0508031378408666
"small",0.5,9,11026,4,0.0539157811885085
"small",0.5,9,11026,5,0.0532445923460899
"small",0.5,9,11026,6,0.0531634446397188
"small",0.5,9,11026,7,0.054292343387471
"small",0.5,9,11026,8,0.0471050049067713
"small",0.5,9,11026,9,0.0473738414006179
"small",0.5,9,11026,10,0.0513513513513514
"small",0.5,9,11026,11,0.0461538461538462
"small",0.5,9,11026,12,0.04778972520908
"small",0.5,9,11026,13,0.0514429109159348
"small",0.5,9,11026,14,0.0529100529100529
"small",0.5,9,11026,15,0.0488826815642458
"small",0.5,9,11026,16,0.0477239353891336
"small",0.5,9,11026,17,0.0501156515034695
"small",0.5,9,11026,18,0.0430194805194805
"small",0.5,9,11026,19,0.0508905852417303
"small",0.5,9,11026,20,0.0491510277033065
"small",0.5,9,11026,21,0.0432330827067669
"small",0.5,9,11026,22,0.0412573673870334
"small",0.5,9,11026,23,0.0450819672131148
"small",0.5,9,11026,24,0.0332618025751073
"small",0.5,9,11026,25,0.0266370699223085
"small",0.5,10,12026,1,0.0556666666666667
"small",0.5,10,12026,2,0.0596540769502294
"small",0.5,10,12026,3,0.0611861861861862
"small",0.5,10,12026,4,0.0563774490203918
"small",0.5,10,12026,5,0.060593220338983
"small",0.5,10,12026,6,0.0617952187640956
"small",0.5,10,12026,7,0.0557692307692308
"small",0.5,10,12026,8,0.0560081466395112
"small",0.5,10,12026,9,0.0469255663430421
"small",0.5,10,12026,10,0.0469722693831353
"small",0.5,10,12026,11,0.0558194774346793
"small",0.5,10,12026,12,0.050314465408805
"small",0.5,10,12026,13,0.0516556291390728
"small",0.5,10,12026,14,0.0425977653631285
"small",0.5,10,12026,15,0.0415754923413567
"small",0.5,10,12026,16,0.0403348554033486
"small",0.5,10,12026,17,0.0428231562252181
"small",0.5,10,12026,18,0.043910521955261
"small",0.5,10,12026,19,0.0537261698440208
"small",0.5,10,12026,20,0.0512820512820513
"small",0.5,10,12026,21,0.0308880308880309
"small",0.5,10,12026,22,0.0318725099601594
"small",0.5,10,12026,23,0.0308641975308642
"small",0.5,10,12026,24,0.0339702760084926
"small",0.5,10,12026,25,0.0461538461538462
"small",0.5,11,13026,1,0.0596666666666667
"small",0.5,11,13026,2,0.0599078341013825
"small",0.5,11,13026,3,0.056184012066365
"small",0.5,11,13026,4,0.0531362365161806
"small",0.5,11,13026,5,0.0510548523206751
"small",0.5,11,13026,6,0.0546909737661183
"small",0.5,11,13026,7,0.0493885230479774
"small",0.5,11,13026,8,0.0484908461157843
"small",0.5,11,13026,9,0.046281851274051
"small",0.5,11,13026,10,0.0517993456924755
"small",0.5,11,13026,11,0.0563542265669925
"small",0.5,11,13026,12,0.0475319926873857
"small",0.5,11,13026,13,0.0479846449136276
