"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",3,-1,"medium",1,25,-0.1477776018807,-0.143253321605636,-0.0045242802750643,0.0380070918874752,0.0045242802750643,0.97,100
"Federated CCW","RD",6,-1,"medium",1,25,-0.115424809678629,-0.116897499994125,0.00147269031549514,0.0244675797143942,0.00147269031549514,0.97,100
"Federated CCW","RD",9,-1,"medium",1,25,-0.101450370707507,-0.103464730449795,0.00201435974228841,0.0232275862091998,0.00201435974228841,0.95,100
"Federated CCW","RD",3,-0.7,"medium",1,25,-0.0886356692023926,-0.0948334067217326,0.00619773751933993,0.0373488145992117,0.00619773751933993,0.93,100
"Federated CCW","RD",6,-0.7,"medium",1,25,-0.0718302128948807,-0.0789749778056354,0.00714476491075472,0.0328153048520784,0.00714476491075472,0.87,100
"Federated CCW","RD",9,-0.7,"medium",1,25,-0.0742187328818341,-0.0706533845362755,-0.00356534834555866,0.0199716501568386,0.00356534834555866,0.99,100
"Federated CCW","RD",3,-0.5,"medium",1,25,-0.072379946283678,-0.0651130915506204,-0.00726685473305763,0.0428569131907694,0.00726685473305763,0.91,100
"Federated CCW","RD",6,-0.5,"medium",1,25,-0.0628463844406474,-0.0549175256763194,-0.00792885876432804,0.0293301635125319,0.00792885876432804,0.93,100
"Federated CCW","RD",9,-0.5,"medium",1,25,-0.0525092542299862,-0.0494977789141451,-0.00301147531584113,0.0222682027125573,0.00301147531584113,0.96,100
"Federated CCW","RD",3,-1,"small",0.5,25,-0.142426107432457,-0.142945288659929,0.000519181227471616,0.0299489725293931,0.000519181227471616,0.93,100
"Federated CCW","RD",6,-1,"small",0.5,25,-0.111785117165467,-0.113586261733671,0.00180114456820432,0.0184885446081495,0.00180114456820432,0.95,100
"Federated CCW","RD",9,-1,"small",0.5,25,-0.097432273770409,-0.0982053313790627,0.000773057608653751,0.0126937886019501,0.000773057608653751,0.98,100
"Federated CCW","RD",3,-0.7,"small",0.5,25,-0.0882516983760288,-0.0953272463589516,0.00707554798292287,0.0255650715189344,0.00707554798292287,0.95,100
"Federated CCW","RD",6,-0.7,"small",0.5,25,-0.0794557141295499,-0.0772335293676427,-0.00222218476190721,0.0159733446461276,0.00222218476190721,0.99,100
"Federated CCW","RD",9,-0.7,"small",0.5,25,-0.0717089615153001,-0.0675326182856144,-0.00417634322968571,0.0131414595181508,0.00417634322968571,0.97,100
"Federated CCW","RD",3,-0.5,"small",0.5,25,-0.0640093184075607,-0.0653119903385221,0.00130267193096138,0.0283018256384143,0.00130267193096138,0.94,100
"Federated CCW","RD",6,-0.5,"small",0.5,25,-0.0506780981411256,-0.0537473560536031,0.00306925791247753,0.0188363661257269,0.00306925791247753,0.95,100
"Federated CCW","RD",9,-0.5,"small",0.5,25,-0.0489234964244902,-0.0473303356207132,-0.00159316080377704,0.0139413583960818,0.00159316080377704,0.96,100
"Federated CCW","RD",3,-1,"strong",1.5,25,-0.126391457417202,-0.144935130042134,0.0185436726249313,0.0535060505397607,0.0185436726249313,0.83,100
"Federated CCW","RD",6,-1,"strong",1.5,25,-0.117757328760266,-0.119745342753317,0.00198801399305118,0.0501649917956653,0.00198801399305118,0.88,100
"Federated CCW","RD",9,-1,"strong",1.5,25,-0.115173077543773,-0.109040827312932,-0.00613225023084063,0.0385001802553006,0.00613225023084063,0.91,100
"Federated CCW","RD",3,-0.7,"strong",1.5,25,-0.0823899054272293,-0.0958164301119867,0.0134265246847574,0.0620005290460095,0.0134265246847574,0.81,100
"Federated CCW","RD",6,-0.7,"strong",1.5,25,-0.0924788300088537,-0.0807663845005827,-0.0117124455082709,0.0592508838609273,0.0117124455082709,0.95,100
"Federated CCW","RD",9,-0.7,"strong",1.5,25,-0.0631596652399253,-0.0743688878133829,0.0112092225734576,0.0322621915353268,0.0112092225734576,0.89,100
"Federated CCW","RD",3,-0.5,"strong",1.5,25,-0.0415683135383805,-0.0652076406782259,0.0236393271398454,0.0441856842158628,0.0236393271398454,0.84,100
