"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","bias","emp_sd","rmse","coverage","n_reps"
"Federated CCW","RD",2,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.162233973690992,-0.159226270202059,-0.00300770348893317,0.0426169033228888,0.00300770348893317,0.96,100
"Federated CCW","RD",5,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.127520292607428,-0.132377150030311,0.00485685742288336,0.03425626110738,0.00485685742288336,0.93,100
"Federated CCW","RD",8,-1,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.118130889084573,-0.121308991608462,0.0031781025238899,0.0290022421243716,0.0031781025238899,0.9,100
"Federated CCW","RD",2,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.111795755519436,-0.104543601071603,-0.00725215444783357,0.0347060540235741,0.00725215444783357,0.95,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0884632058538688,-0.0886284580213903,0.000165252167521459,0.0265254252842126,0.000165252167521459,0.94,100
"Federated CCW","RD",8,-0.7,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0769724223801062,-0.0815980666420782,0.00462564426197202,0.0307320794818855,0.00462564426197202,0.91,100
"Federated CCW","RD",2,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0778138734029069,-0.071399278594779,-0.00641459480812786,0.0390500449117696,0.00641459480812786,0.93,100
"Federated CCW","RD",5,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0625901130859118,-0.0609944577766914,-0.00159565530922042,0.0424549668466234,0.00159565530922042,0.94,100
"Federated CCW","RD",8,-0.5,"medium",1,25,"200/800/2000","-4.5/-3/-1.5",-0.0556005511184592,-0.056344979038305,0.000744427919845847,0.0278314796008568,0.000744427919845847,0.9,100
"Federated CCW","RD",2,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.154752289370324,-0.15957236592368,0.00482007655335517,0.0290368095640754,0.00482007655335517,0.93,100
"Federated CCW","RD",5,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.132524735946244,-0.1310527983408,-0.00147193760544407,0.0183685101267876,0.00147193760544407,0.96,100
"Federated CCW","RD",8,-1,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.118798532083486,-0.120376375621156,0.00157784353766944,0.0172734301527138,0.00157784353766944,0.92,100
"Federated CCW","RD",2,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.105012374118005,-0.105547081552456,0.00053470743445109,0.0265931446207603,0.00053470743445109,0.95,100
"Federated CCW","RD",5,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.091857715485711,-0.088343097379044,-0.00351461810666703,0.0197056371583589,0.00351461810666703,0.94,100
"Federated CCW","RD",8,-0.7,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0803943327519487,-0.081730114388728,0.00133578163677932,0.0140353965622598,0.00133578163677932,0.98,100
"Federated CCW","RD",2,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0684527313931246,-0.0724780601653341,0.00402532877220953,0.030981560508354,0.00402532877220953,0.91,100
"Federated CCW","RD",5,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0603724799765688,-0.0611565510217956,0.000784071045226845,0.0181459745329283,0.000784071045226845,0.97,100
"Federated CCW","RD",8,-0.5,"small",0.4,25,"200/800/2000","-4.5/-3/-1.5",-0.0561188794802048,-0.0568697996070544,0.000750920126849652,0.0145100564297872,0.000750920126849652,0.98,100
