"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",5,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.121211706372472,-0.122261951926669,0.0774320626257318,0.00105024555419725,0.07755430489304,0.866666666666667,300
"Federated CCW","RD",10,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0906889345847461,-0.0967781265780999,0.0552614079181482,0.00608919199335382,0.0550166737811716,0.896666666666667,300
"Federated CCW","RD",15,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0691375579119934,-0.08239526142237,0.0480380925745446,0.0132577035103765,0.0462495590053798,0.866666666666667,300
"Federated CCW","RD",5,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0742768425155119,-0.0828864836809106,0.0712479772106289,0.00860964116539865,0.070844039471963,0.84,300
"Federated CCW","RD",10,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0541893869243285,-0.0666259040833148,0.0528647490766268,0.0124365171589863,0.0514669235199754,0.886666666666667,300
"Federated CCW","RD",15,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0482466860542951,-0.0576113263955292,0.0458333924970893,0.00936464034123411,0.0449414711802405,0.883333333333333,300
"Federated CCW","RD",5,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0493163901784191,-0.056299762774662,0.0756254006021181,0.00698337259624288,0.0754281007628801,0.836666666666667,300
"Federated CCW","RD",10,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0381541115216307,-0.0479979767601583,0.0681400396658796,0.00984386523852758,0.0675378996004576,0.823333333333333,300
"Federated CCW","RD",15,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0291316176704841,-0.040137751357882,0.0569343376689569,0.0110061336873979,0.0559537299325895,0.833333333333333,300
"Federated CCW","RD",5,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.112894927688711,-0.122263043641261,0.0491750568939932,0.00936811595254997,0.0483551309202525,0.89,300
