"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",3,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.143937781371942,-0.144325121699538,0.084780936942146,0.000387340327595767,0.085207158353068,0.89,100
"Federated CCW","RD",6,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0955944517474133,-0.11753671793992,0.05329174236545,0.0219422661925069,0.0488095325045818,0.9,100
"Federated CCW","RD",9,-1,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.117432498431299,-0.104305359560479,0.0688479668650854,-0.0131271388708198,0.067925395546315,0.93,100
"Federated CCW","RD",3,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.105848494209622,-0.0957341062643613,0.0895131490912019,-0.0101143879452612,0.0893879469916968,0.9,100
"Federated CCW","RD",6,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0919551788467218,-0.0793266057246547,0.05951373475898,-0.0126285731220672,0.0584514282158058,0.96,100
"Federated CCW","RD",9,-0.7,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0701155501078197,-0.0709487004451346,0.0472911742477083,0.000833150337314899,0.0475220419059583,0.97,100
"Federated CCW","RD",3,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0453760887446872,-0.0662533898107849,0.0831961752347484,0.0208773010660977,0.0809398197308787,0.81,100
"Federated CCW","RD",6,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0751549804498201,-0.0551771959607568,0.0882537332267933,-0.0199777844890633,0.0863959031212469,0.94,100
"Federated CCW","RD",9,-0.5,"medium",1,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.0467001449564924,-0.0497459016528424,0.0412653006166688,0.00304575669635007,0.0413600646836663,0.96,100
"Federated CCW","RD",3,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.109971420873887,-0.142331830961643,0.0667038060151487,0.0323604100877564,0.0586222420975543,0.76,100
"Federated CCW","RD",6,-1,"small",0.5,25,"100/100/100/100/100/100/100/100/100/100","-4.5/-4.16666666666667/-3.83333333333333/-3.5/-3.16666666666667/-2.83333333333333/-2.5/-2.16666666666667/-1.83333333333333/-1.5",-0.1261818716421,-0.114197883183271,0.041934651810929,-0.0119839884588283,0.0403882551575234,0.91,100
