"task_id","rep","tau","sample_size_scenario","initiation_scenario","n_per_site","total_n","init_intercept","zero_cov_init_prob","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_treated_rate"
1,1,4,"low","low",300,3000,-5,0.00669285092428486,0.0433333333333333,0.0333333333333333,0.07,1797,0.0406232609905398
1,2,4,"low","low",300,3000,-5,0.00669285092428486,0.045,0.0333333333333333,0.07,1801,0.0421987784564131
1,3,4,"low","low",300,3000,-5,0.00669285092428486,0.0463333333333333,0.0333333333333333,0.07,1818,0.0407040704070407
1,4,4,"low","low",300,3000,-5,0.00669285092428486,0.0476666666666667,0.0333333333333333,0.07,1798,0.0417130144605117
1,5,4,"low","low",300,3000,-5,0.00669285092428486,0.0473333333333333,0.03,0.07,1772,0.0423250564334086
1,6,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0266666666666667,0.0566666666666667,1777,0.0405177265053461
1,7,4,"low","low",300,3000,-5,0.00669285092428486,0.042,0.0266666666666667,0.0566666666666667,1782,0.0420875420875421
1,8,4,"low","low",300,3000,-5,0.00669285092428486,0.042,0.0266666666666667,0.0566666666666667,1776,0.0422297297297297
1,9,4,"low","low",300,3000,-5,0.00669285092428486,0.041,0.0266666666666667,0.0566666666666667,1768,0.040158371040724
1,10,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0266666666666667,0.06,1773,0.0411731528482797
1,11,4,"low","low",300,3000,-5,0.00669285092428486,0.044,0.0266666666666667,0.06,1775,0.0422535211267606
1,12,4,"low","low",300,3000,-5,0.00669285092428486,0.043,0.0266666666666667,0.06,1793,0.0429447852760736
1,13,4,"low","low",300,3000,-5,0.00669285092428486,0.041,0.0266666666666667,0.06,1779,0.0438448566610455
1,14,4,"low","low",300,3000,-5,0.00669285092428486,0.0413333333333333,0.0266666666666667,0.06,1791,0.0435510887772194
1,15,4,"low","low",300,3000,-5,0.00669285092428486,0.0416666666666667,0.0266666666666667,0.06,1808,0.0425884955752212
1,16,4,"low","low",300,3000,-5,0.00669285092428486,0.044,0.0266666666666667,0.06,1810,0.043646408839779
1,17,4,"low","low",300,3000,-5,0.00669285092428486,0.0423333333333333,0.0266666666666667,0.06,1784,0.0414798206278027
1,18,4,"low","low",300,3000,-5,0.00669285092428486,0.041,0.0266666666666667,0.06,1798,0.0422691879866518
1,19,4,"low","low",300,3000,-5,0.00669285092428486,0.0416666666666667,0.0266666666666667,0.06,1801,0.0416435313714603
1,20,4,"low","low",300,3000,-5,0.00669285092428486,0.0413333333333333,0.0266666666666667,0.0566666666666667,1781,0.0437956204379562
1,21,4,"low","low",300,3000,-5,0.00669285092428486,0.0396666666666667,0.0266666666666667,0.0566666666666667,1787,0.04252937884723
1,22,4,"low","low",300,3000,-5,0.00669285092428486,0.0393333333333333,0.0266666666666667,0.0566666666666667,1772,0.0395033860045147
1,23,4,"low","low",300,3000,-5,0.00669285092428486,0.0416666666666667,0.0266666666666667,0.0566666666666667,1775,0.0422535211267606
1,24,4,"low","low",300,3000,-5,0.00669285092428486,0.0406666666666667,0.0266666666666667,0.0566666666666667,1769,0.0423968343697004
1,25,4,"low","low",300,3000,-5,0.00669285092428486,0.04,0.0266666666666667,0.0566666666666667,1748,0.0423340961098398
1,26,4,"low","low",300,3000,-5,0.00669285092428486,0.04,0.0266666666666667,0.0566666666666667,1747,0.0429307384087006
1,27,4,"low","low",300,3000,-5,0.00669285092428486,0.0406666666666667,0.0266666666666667,0.0566666666666667,1772,0.0423250564334086
1,28,4,"low","low",300,3000,-5,0.00669285092428486,0.0406666666666667,0.0266666666666667,0.0566666666666667,1768,0.0395927601809955
1,29,4,"low","low",300,3000,-5,0.00669285092428486,0.0426666666666667,0.0266666666666667,0.0566666666666667,1765,0.0424929178470255
1,30,4,"low","low",300,3000,-5,0.00669285092428486,0.0413333333333333,0.0266666666666667,0.0566666666666667,1773,0.0400451212633954
1,31,4,"low","low",300,3000,-5,0.00669285092428486,0.044,0.0266666666666667,0.0566666666666667,1772,0.041196388261851
1,32,4,"low","low",300,3000,-5,0.00669285092428486,0.0436666666666667,0.0266666666666667,0.0566666666666667,1752,0.0399543378995434
1,33,4,"low","low",300,3000,-5,0.00669285092428486,0.0433333333333333,0.0266666666666667,0.0566666666666667,1757,0.0387023335230507
1,34,4,"low","low",300,3000,-5,0.00669285092428486,0.0433333333333333,0.0266666666666667,0.0566666666666667,1756,0.0375854214123007
1,35,4,"low","low",300,3000,-5,0.00669285092428486,0.0463333333333333,0.0333333333333333,0.0566666666666667,1769,0.0423968343697004
1,36,4,"low","low",300,3000,-5,0.00669285092428486,0.046,0.0333333333333333,0.0566666666666667,1770,0.0418079096045198
1,37,4,"low","low",300,3000,-5,0.00669285092428486,0.0473333333333333,0.04,0.0566666666666667,1755,0.0438746438746439
1,38,4,"low","low",300,3000,-5,0.00669285092428486,0.0476666666666667,0.04,0.0566666666666667,1763,0.0465116279069767
1,39,4,"low","low",300,3000,-5,0.00669285092428486,0.0463333333333333,0.04,0.0566666666666667,1777,0.0438942037141249
