"method","estimand","tau","beta_trt","scenario","conf_mult","sample_size_scenario","initiation_scenario","n_sites","n_per_site","total_n","init_intercept","zero_cov_init_prob","mean_est","median_est","truth","bias","median_bias","emp_sd","rmse","coverage","mean_observed_init_rate","mean_min_site_init_rate","mean_max_site_init_rate","mean_landmark_n","mean_landmark_treated_rate","n_reps"
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,0.525373106568274,0.521146774686944,0.519520236348861,0.00585287021941271,0.00162653833808279,0.033432045980628,0.00585287021941271,0.99,0.606795333333333,0.583526666666667,0.6316,6736.90333333333,0.619209949593489,300
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,0.540285134070693,0.532272532045017,0.526017823461302,0.0142673106093907,0.00625470858371435,0.0578787732015935,0.0142673106093907,0.906666666666667,0.665664333333333,0.64223,0.688003333333333,5736.41666666667,0.691164952838322,300
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,0.561221395749817,0.565622026756472,0.53158555944892,0.0296358363008966,0.0340364673075522,0.0765119277730477,0.0296358363008966,0.85,0.700922333333333,0.679126666666667,0.72313,4985.12,0.738379274558101,300
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,0.481023296311676,0.486428141940796,0.519520236348861,-0.0384969400371855,-0.0330920944080652,0.067311190122635,0.0384969400371855,0.99,0.607707777777778,0.561244444444444,0.648611111111111,2010.23,0.621731744630296,300
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,0.567848664484678,0.563243843196736,0.526017823461302,0.0418308410233759,0.0372260197354335,0.101342658395444,0.0418308410233759,0.89,0.670456666666667,0.629466666666667,0.7134,1720.96666666667,0.695496087195759,300
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"low","high",10,300,3000,-1,0.268941421369995,0.557260745842268,0.565781969078426,0.53158555944892,0.0256751863933477,0.0341964096295062,0.114704354643597,0.0256751863933477,0.943333333333333,0.701495555555556,0.659388888888889,0.7458,1501.08,0.738323474140332,300
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,0.684929714056596,0.631337214415011,0.572848157455008,0.112081556601588,0.0584890569600024,0.223022105909834,0.112081556601588,0.893333333333333,0.042601,0.0335433333333333,0.0519566666666667,5956.41,0.0411334769112601,300
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,0.633603132292333,0.625220793465633,0.610706478538882,0.0228966537534514,0.0145143149267513,0.146873383818305,0.0228966537534514,0.953333333333333,0.051551,0.04107,0.0622433333333333,4828.52333333333,0.0510128728262611,300
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"large","low",10,1000,10000,-5,0.00669285092428486,0.667320983081317,0.64382496342416,0.646947022465038,0.0203739606162793,-0.00312205904087781,0.176753665506426,0.0203739606162793,0.89,0.0588906666666667,0.04804,0.0700766666666667,4018.98,0.0607858937437258,300
"fed_ccw_tvipcw","OR",4,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,0.987193017627144,0.666227697573019,0.572848157455008,0.414344860172136,0.0933795401180109,1.23071347095425,0.414344860172136,0.863333333333333,0.0434966666666667,0.0274111111111111,0.0612888888888889,1785.32666666667,0.0417249728656034,300
"fed_ccw_tvipcw","OR",6,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,0.969170473817281,0.832898037414946,0.610706478538882,0.3584639952784,0.222191558876065,0.494002117544626,0.3584639952784,0.85,0.0512155555555556,0.0327444444444444,0.0718333333333333,1449.93,0.0522214347842576,300
"fed_ccw_tvipcw","OR",8,-0.7,"medium",1,"low","low",10,300,3000,-5,0.00669285092428486,0.858820155985702,0.740165161903114,0.646947022465038,0.211873133520665,0.0932181394380761,0.44907258357928,0.211873133520665,0.876666666666667,0.0588822222222222,0.0398111111111111,0.0791333333333333,1208.72,0.0596162670504002,300
"fed_ipw_no_clone","OR",4,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,0.316501095536678,0.312707945732058,0.519520236348861,-0.203019140812184,-0.206812290616804,0.019870610017879,0.203019140812184,NA,0.606795333333333,0.583526666666667,0.6316,6736.90333333333,0.619209949593489,300
"fed_ipw_no_clone","OR",6,-0.7,"medium",1,"large","high",10,1000,10000,-1,0.268941421369995,0.224513896699888,0.221126733268863,0.526017823461302,-0.301503926761414,-0.304891090192439,0.0249700963761058,0.301503926761414,NA,0.665664333333333,0.64223,0.688003333333333,5736.41666666667,0.691164952838322,300
