"method","estimand","tau","sample_size_scenario","initiation_scenario","n_reps","n_gt_2","n_gt_10","n_gt_100","maximum"
"fed_ccw_tvipcw","OR",4,"large","high",300,0,0,0,0.618993994501981
"fed_ccw_tvipcw","OR",4,"large","low",300,0,0,0,1.39563726857568
"fed_ccw_tvipcw","OR",4,"low","high",300,0,0,0,0.635605948035719
"fed_ccw_tvipcw","OR",4,"low","low",300,19,2,0,10.8375960060924
"fed_ccw_tvipcw","OR",6,"large","high",300,0,0,0,0.71060974651938
"fed_ccw_tvipcw","OR",6,"large","low",300,0,0,0,1.14441976338041
"fed_ccw_tvipcw","OR",6,"low","high",300,0,0,0,0.878351137764502
"fed_ccw_tvipcw","OR",6,"low","low",300,10,0,0,3.42782428204685
"fed_ccw_tvipcw","OR",8,"large","high",300,0,0,0,0.728125810446165
"fed_ccw_tvipcw","OR",8,"large","low",300,0,0,0,1.27765368692443
"fed_ccw_tvipcw","OR",8,"low","high",300,0,0,0,0.853554916530698
"fed_ccw_tvipcw","OR",8,"low","low",300,14,0,0,2.83243532596317
"fed_ccw_tvipcw","RR",4,"large","high",300,0,0,0,0.924870732392083
"fed_ccw_tvipcw","RR",4,"large","low",300,0,0,0,1.03634330546158
"fed_ccw_tvipcw","RR",4,"low","high",300,0,0,0,0.923661318644092
"fed_ccw_tvipcw","RR",4,"low","low",300,0,0,0,1.13172373260938
"fed_ccw_tvipcw","RR",6,"large","high",300,0,0,0,0.939556295350903
"fed_ccw_tvipcw","RR",6,"large","low",300,0,0,0,1.01618361856553
"fed_ccw_tvipcw","RR",6,"low","high",300,0,0,0,0.974016088253188
"fed_ccw_tvipcw","RR",6,"low","low",300,0,0,0,1.09256118705907
"fed_ccw_tvipcw","RR",8,"large","high",300,0,0,0,0.944071199854195
"fed_ccw_tvipcw","RR",8,"large","low",300,0,0,0,1.0276430071469
"fed_ccw_tvipcw","RR",8,"low","high",300,0,0,0,0.969363395668097
"fed_ccw_tvipcw","RR",8,"low","low",300,0,0,0,1.08910591338207
"fed_ipw_no_clone","OR",4,"large","high",300,0,0,0,0.373257739749961
"fed_ipw_no_clone","OR",4,"large","low",300,0,0,0,1.04203331808588
"fed_ipw_no_clone","OR",4,"low","high",300,0,0,0,0.399783130503326
"fed_ipw_no_clone","OR",4,"low","low",300,15,0,0,8.64304231544858
"fed_ipw_no_clone","OR",6,"large","high",300,0,0,0,0.298465415509082
"fed_ipw_no_clone","OR",6,"large","low",300,0,0,0,0.693914153747507
"fed_ipw_no_clone","OR",6,"low","high",300,0,0,0,0.342404916699648
"fed_ipw_no_clone","OR",6,"low","low",300,2,0,0,2.19588096248039
"fed_ipw_no_clone","OR",8,"large","high",300,0,0,0,0.218067108673405
"fed_ipw_no_clone","OR",8,"large","low",300,0,0,0,0.709011016100867
"fed_ipw_no_clone","OR",8,"low","high",300,0,0,0,0.271869829107249
"fed_ipw_no_clone","OR",8,"low","low",300,0,0,0,1.88452206964868
"fed_ipw_no_clone","RR",4,"large","high",300,0,0,0,0.851945629650511
"fed_ipw_no_clone","RR",4,"large","low",300,0,0,0,1.00497140813689
"fed_ipw_no_clone","RR",4,"low","high",300,0,0,0,0.852476129350877
"fed_ipw_no_clone","RR",4,"low","low",300,0,0,0,1.12591529839422
"fed_ipw_no_clone","RR",6,"large","high",300,0,0,0,0.823782599366664
"fed_ipw_no_clone","RR",6,"large","low",300,0,0,0,0.948127788667447
"fed_ipw_no_clone","RR",6,"low","high",300,0,0,0,0.857761303214569
"fed_ipw_no_clone","RR",6,"low","low",300,0,0,0,1.06831405786933
"fed_ipw_no_clone","RR",8,"large","high",300,0,0,0,0.798561768223686
"fed_ipw_no_clone","RR",8,"large","low",300,0,0,0,0.952854633295361
"fed_ipw_no_clone","RR",8,"low","high",300,0,0,0,0.816948021044316
"fed_ipw_no_clone","RR",8,"low","low",300,0,0,0,1.06157739440577
"fed_landmark_ipw","OR",4,"large","high",300,0,0,0,0.573642101292099
"fed_landmark_ipw","OR",4,"large","low",300,0,0,0,1.19186719553773
"fed_landmark_ipw","OR",4,"low","high",300,0,0,0,0.736852714871897
"fed_landmark_ipw","OR",4,"low","low",300,29,2,0,38.65866567633
"fed_landmark_ipw","OR",6,"large","high",300,0,0,0,0.636770208943084
"fed_landmark_ipw","OR",6,"large","low",300,0,0,0,1.00845222333894
"fed_landmark_ipw","OR",6,"low","high",300,0,0,0,0.8340317130438
"fed_landmark_ipw","OR",6,"low","low",300,17,0,0,3.73443737935807
"fed_landmark_ipw","OR",8,"large","high",300,0,0,0,0.723120875850484
"fed_landmark_ipw","OR",8,"large","low",300,0,0,0,1.20118286607974
"fed_landmark_ipw","OR",8,"low","high",300,0,0,0,1.06307065811874
"fed_landmark_ipw","OR",8,"low","low",300,2,0,0,2.19566489151162
"fed_landmark_ipw","RR",4,"large","high",300,0,0,0,0.866455458903896
"fed_landmark_ipw","RR",4,"large","low",300,0,0,0,1.0351220799042
"fed_landmark_ipw","RR",4,"low","high",300,0,0,0,0.917364689976603
"fed_landmark_ipw","RR",4,"low","low",300,0,0,0,1.26638083415546
"fed_landmark_ipw","RR",6,"large","high",300,0,0,0,0.865145574257287
"fed_landmark_ipw","RR",6,"large","low",300,0,0,0,1.00220349023194
"fed_landmark_ipw","RR",6,"low","high",300,0,0,0,0.937181947897056
"fed_landmark_ipw","RR",6,"low","low",300,0,0,0,1.23879867627155
"fed_landmark_ipw","RR",8,"large","high",300,0,0,0,0.879642530715838
"fed_landmark_ipw","RR",8,"large","low",300,0,0,0,1.05563745965908
"fed_landmark_ipw","RR",8,"low","high",300,0,0,0,1.02730662369722
"fed_landmark_ipw","RR",8,"low","low",300,0,0,0,1.1982657159603
"fed_perprotocol_naive","OR",4,"large","high",300,0,0,0,1.80047424049065
"fed_perprotocol_naive","OR",4,"large","low",300,97,0,0,3.23200627078144
"fed_perprotocol_naive","OR",4,"low","high",300,1,0,0,2.00462585034014
"fed_perprotocol_naive","OR",4,"low","low",300,118,0,0,7.4785373608903
"fed_perprotocol_naive","OR",6,"large","high",300,0,0,0,1.63616198068187
"fed_perprotocol_naive","OR",6,"large","low",300,32,0,0,2.5085767812189
"fed_perprotocol_naive","OR",6,"low","high",300,0,0,0,1.84157171693766
"fed_perprotocol_naive","OR",6,"low","low",300,91,0,0,3.81206088992975
"fed_perprotocol_naive","OR",8,"large","high",300,0,0,0,1.40175370099005
"fed_perprotocol_naive","OR",8,"large","low",300,12,0,0,2.44605512308016
"fed_perprotocol_naive","OR",8,"low","high",300,0,0,0,1.55560599925561
"fed_perprotocol_naive","OR",8,"low","low",300,29,0,0,3.41362530413626
"fed_perprotocol_naive","RR",4,"large","high",300,0,0,0,1.1106573042548
"fed_perprotocol_naive","RR",4,"large","low",300,0,0,0,1.09862353289499
"fed_perprotocol_naive","RR",4,"low","high",300,0,0,0,1.13649807749187
"fed_perprotocol_naive","RR",4,"low","low",300,0,0,0,1.12957074721781
"fed_perprotocol_naive","RR",6,"large","high",300,0,0,0,1.09974698524522
"fed_perprotocol_naive","RR",6,"large","low",300,0,0,0,1.08544673174873
"fed_perprotocol_naive","RR",6,"low","high",300,0,0,0,1.1273349024642
"fed_perprotocol_naive","RR",6,"low","low",300,0,0,0,1.11121144762434
"fed_perprotocol_naive","RR",8,"large","high",300,0,0,0,1.06918225295186
"fed_perprotocol_naive","RR",8,"large","low",300,0,0,0,1.08636848004745
"fed_perprotocol_naive","RR",8,"low","high",300,0,0,0,1.09188246641424
