"task_id","rep","tau","sample_size_scenario","outcome_scenario","n_per_site","total_n","event_intercept","init_intercept","observed_death_rate","min_site_death_rate","max_site_death_rate","observed_init_rate","min_site_init_rate","max_site_init_rate","landmark_n","landmark_event_n","landmark_event_rate","landmark_treated_rate"
1,1,4,"low","rare",100,1000,-7,-3,0.061,0.03,0.1,0.289,0.23,0.34,988,49,0.0495951417004049,0.286437246963563
1,2,4,"low","rare",100,1000,-7,-3,0.062,0.03,0.1,0.283,0.21,0.34,988,50,0.0506072874493927,0.280364372469636
1,3,4,"low","rare",100,1000,-7,-3,0.071,0.03,0.12,0.283,0.21,0.34,985,56,0.0568527918781726,0.278172588832487
1,4,4,"low","rare",100,1000,-7,-3,0.072,0.04,0.12,0.291,0.21,0.34,985,57,0.0578680203045685,0.285279187817259
1,5,4,"low","rare",100,1000,-7,-3,0.067,0.04,0.12,0.296,0.21,0.34,987,54,0.0547112462006079,0.290780141843972
1,6,4,"low","rare",100,1000,-7,-3,0.065,0.02,0.12,0.291,0.21,0.34,987,52,0.0526849037487335,0.285714285714286
1,7,4,"low","rare",100,1000,-7,-3,0.063,0.02,0.12,0.3,0.21,0.37,990,53,0.0535353535353535,0.295959595959596
1,8,4,"low","rare",100,1000,-7,-3,0.067,0.02,0.12,0.299,0.21,0.37,989,56,0.0566228513650152,0.295247724974722
1,9,4,"low","rare",100,1000,-7,-3,0.071,0.02,0.12,0.288,0.21,0.37,987,58,0.0587639311043566,0.284701114488349
1,10,4,"low","rare",100,1000,-7,-3,0.075,0.02,0.12,0.271,0.17,0.37,986,61,0.0618661257606491,0.266734279918864
1,11,4,"low","rare",100,1000,-7,-3,0.074,0.02,0.12,0.272,0.17,0.37,987,61,0.0618034447821682,0.268490374873354
1,12,4,"low","rare",100,1000,-7,-3,0.071,0.02,0.12,0.277,0.17,0.37,987,58,0.0587639311043566,0.27355623100304
1,13,4,"low","rare",100,1000,-7,-3,0.071,0.02,0.12,0.273,0.17,0.37,988,59,0.0597165991902834,0.272267206477733
1,14,4,"low","rare",100,1000,-7,-3,0.08,0.02,0.13,0.276,0.17,0.37,987,67,0.0678824721377913,0.276595744680851
1,15,4,"low","rare",100,1000,-7,-3,0.082,0.02,0.13,0.283,0.17,0.37,988,70,0.0708502024291498,0.284412955465587
1,16,4,"low","rare",100,1000,-7,-3,0.088,0.06,0.13,0.294,0.17,0.37,985,73,0.0741116751269036,0.294416243654822
1,17,4,"low","rare",100,1000,-7,-3,0.091,0.06,0.13,0.285,0.17,0.35,984,75,0.076219512195122,0.284552845528455
1,18,4,"low","rare",100,1000,-7,-3,0.089,0.06,0.13,0.278,0.17,0.35,983,72,0.0732451678535097,0.275686673448627
1,19,4,"low","rare",100,1000,-7,-3,0.086,0.06,0.13,0.286,0.17,0.35,985,71,0.0720812182741117,0.284263959390863
1,20,4,"low","rare",100,1000,-7,-3,0.083,0.06,0.13,0.291,0.22,0.35,985,68,0.0690355329949239,0.289340101522843
1,21,4,"low","rare",100,1000,-7,-3,0.084,0.06,0.13,0.286,0.22,0.35,983,67,0.0681586978636826,0.282807731434385
1,22,4,"low","rare",100,1000,-7,-3,0.081,0.03,0.13,0.288,0.22,0.35,983,64,0.0651068158697864,0.284842319430315
1,23,4,"low","rare",100,1000,-7,-3,0.076,0.03,0.13,0.286,0.22,0.35,986,62,0.0628803245436105,0.281947261663286
1,24,4,"low","rare",100,1000,-7,-3,0.068,0.03,0.09,0.276,0.22,0.35,988,56,0.0566801619433198,0.271255060728745
1,25,4,"low","rare",100,1000,-7,-3,0.067,0.03,0.09,0.274,0.22,0.33,988,55,0.055668016194332,0.269230769230769
1,26,4,"low","rare",100,1000,-7,-3,0.071,0.03,0.12,0.265,0.22,0.33,990,61,0.0616161616161616,0.261616161616162
1,27,4,"low","rare",100,1000,-7,-3,0.064,0.02,0.12,0.269,0.22,0.33,991,55,0.0554994954591322,0.266397578203835
1,28,4,"low","rare",100,1000,-7,-3,0.066,0.02,0.12,0.28,0.22,0.35,993,59,0.0594159113796576,0.278952668680765
