"method","estimand","tau","sample_size_scenario","outcome_scenario","n_reps","n_gt_2","n_gt_10","n_gt_100","maximum"
"fed_ccw_tvipcw","OR",4,"large","common",300,0,0,0,0.861543774338785
"fed_ccw_tvipcw","OR",4,"large","rare",300,0,0,0,0.821495149660451
"fed_ccw_tvipcw","OR",4,"low","common",300,0,0,0,1.35506779788678
"fed_ccw_tvipcw","OR",4,"low","rare",300,5,0,0,3.20075766337131
"fed_ccw_tvipcw","OR",6,"large","common",300,0,0,0,0.860572297711338
"fed_ccw_tvipcw","OR",6,"large","rare",300,0,0,0,1.18092963152388
"fed_ccw_tvipcw","OR",6,"low","common",300,0,0,0,1.63586294701184
"fed_ccw_tvipcw","OR",6,"low","rare",300,0,0,0,1.80123156703173
"fed_ccw_tvipcw","OR",8,"large","common",300,0,0,0,0.851895457061647
"fed_ccw_tvipcw","OR",8,"large","rare",300,0,0,0,1.43209035420739
"fed_ccw_tvipcw","OR",8,"low","common",300,0,0,0,1.97742847947317
"fed_ccw_tvipcw","OR",8,"low","rare",300,0,0,0,1.51541328700296
"fed_ccw_tvipcw","RR",4,"large","common",300,0,0,0,0.963939237898257
"fed_ccw_tvipcw","RR",4,"large","rare",300,0,0,0,0.831955366218808
"fed_ccw_tvipcw","RR",4,"low","common",300,0,0,0,1.06400864964253
"fed_ccw_tvipcw","RR",4,"low","rare",300,5,0,0,2.85798009860924
"fed_ccw_tvipcw","RR",6,"large","common",300,0,0,0,0.96366920076734
"fed_ccw_tvipcw","RR",6,"large","rare",300,0,0,0,1.16878008378872
"fed_ccw_tvipcw","RR",6,"low","common",300,0,0,0,1.10693487869669
"fed_ccw_tvipcw","RR",6,"low","rare",300,0,0,0,1.73858111204847
"fed_ccw_tvipcw","RR",8,"large","common",300,0,0,0,0.959939808740658
"fed_ccw_tvipcw","RR",8,"large","rare",300,0,0,0,1.39438389258781
"fed_ccw_tvipcw","RR",8,"low","common",300,0,0,0,1.14227719262503
"fed_ccw_tvipcw","RR",8,"low","rare",300,0,0,0,1.47229715910493
"fed_ipw_no_clone","OR",4,"large","common",300,0,0,0,0.647114565950455
"fed_ipw_no_clone","OR",4,"large","rare",300,0,0,0,0.763045617394503
"fed_ipw_no_clone","OR",4,"low","common",300,0,0,0,1.08333212281294
"fed_ipw_no_clone","OR",4,"low","rare",300,5,0,0,3.27018933571662
"fed_ipw_no_clone","OR",6,"large","common",300,0,0,0,0.539803837884155
"fed_ipw_no_clone","OR",6,"large","rare",300,0,0,0,1.06947947660946
"fed_ipw_no_clone","OR",6,"low","common",300,0,0,0,1.06080249996653
"fed_ipw_no_clone","OR",6,"low","rare",300,0,0,0,1.68164070250609
"fed_ipw_no_clone","OR",8,"large","common",300,0,0,0,0.474497254825099
"fed_ipw_no_clone","OR",8,"large","rare",300,0,0,0,1.02239396387357
"fed_ipw_no_clone","OR",8,"low","common",300,0,0,0,1.10795493684476
"fed_ipw_no_clone","OR",8,"low","rare",300,0,0,0,1.28599020312154
"fed_ipw_no_clone","RR",4,"large","common",300,0,0,0,0.891289543100174
"fed_ipw_no_clone","RR",4,"large","rare",300,0,0,0,0.775793128627486
"fed_ipw_no_clone","RR",4,"low","common",300,0,0,0,1.01717710656425
"fed_ipw_no_clone","RR",4,"low","rare",300,5,0,0,2.90058323420448
"fed_ipw_no_clone","RR",6,"large","common",300,0,0,0,0.846245698738311
"fed_ipw_no_clone","RR",6,"large","rare",300,0,0,0,1.06506545973795
"fed_ipw_no_clone","RR",6,"low","common",300,0,0,0,1.0132140095127
"fed_ipw_no_clone","RR",6,"low","rare",300,0,0,0,1.62960140369439
"fed_ipw_no_clone","RR",8,"large","common",300,0,0,0,0.811776548287282
"fed_ipw_no_clone","RR",8,"large","rare",300,0,0,0,1.02074615229019
"fed_ipw_no_clone","RR",8,"low","common",300,0,0,0,1.02174387368134
"fed_ipw_no_clone","RR",8,"low","rare",300,0,0,0,1.26921808757897
"fed_landmark_ipw","OR",4,"large","common",300,0,0,0,0.737272688042527
"fed_landmark_ipw","OR",4,"large","rare",300,0,0,0,0.787422755375272
"fed_landmark_ipw","OR",4,"low","common",300,0,0,0,1.21346684722296
"fed_landmark_ipw","OR",4,"low","rare",300,0,0,0,1.70503582244013
"fed_landmark_ipw","OR",6,"large","common",300,0,0,0,0.717336718536587
"fed_landmark_ipw","OR",6,"large","rare",300,0,0,0,0.956731259955957
"fed_landmark_ipw","OR",6,"low","common",300,0,0,0,1.19487926976462
"fed_landmark_ipw","OR",6,"low","rare",300,1,0,0,2.06944861090868
"fed_landmark_ipw","OR",8,"large","common",300,0,0,0,0.747600955139278
"fed_landmark_ipw","OR",8,"large","rare",300,0,0,0,0.980621879418352
"fed_landmark_ipw","OR",8,"low","common",300,0,0,0,1.5245513446383
"fed_landmark_ipw","OR",8,"low","rare",300,2,0,0,2.0573864314917
"fed_landmark_ipw","RR",4,"large","common",300,0,0,0,0.898790940965831
"fed_landmark_ipw","RR",4,"large","rare",300,0,0,0,0.797279392100476
"fed_landmark_ipw","RR",4,"low","common",300,0,0,0,1.05709017318201
"fed_landmark_ipw","RR",4,"low","rare",300,0,0,0,1.64084487568247
"fed_landmark_ipw","RR",6,"large","common",300,0,0,0,0.867158082338911
"fed_landmark_ipw","RR",6,"large","rare",300,0,0,0,0.95846102745979
"fed_landmark_ipw","RR",6,"low","common",300,0,0,0,1.07199503346056
"fed_landmark_ipw","RR",6,"low","rare",300,1,0,0,2.02555641539675
"fed_landmark_ipw","RR",8,"large","common",300,0,0,0,0.872532880280655
"fed_landmark_ipw","RR",8,"large","rare",300,0,0,0,0.981329290244062
"fed_landmark_ipw","RR",8,"low","common",300,0,0,0,1.18562666800923
"fed_landmark_ipw","RR",8,"low","rare",300,1,0,0,2.00291925231262
"fed_perprotocol_naive","OR",4,"large","common",300,6,0,0,2.13193287456236
"fed_perprotocol_naive","OR",4,"large","rare",300,39,0,0,2.50330116810563
"fed_perprotocol_naive","OR",4,"low","common",300,49,0,0,2.70039281037972
"fed_perprotocol_naive","OR",4,"low","rare",300,126,0,0,3.32445796880943
"fed_perprotocol_naive","OR",6,"large","common",300,0,0,0,1.71252071005917
"fed_perprotocol_naive","OR",6,"large","rare",300,82,0,0,2.4929842931937
"fed_perprotocol_naive","OR",6,"low","common",300,8,0,0,2.144955654102
"fed_perprotocol_naive","OR",6,"low","rare",300,111,0,0,4.2245008094981
"fed_perprotocol_naive","OR",8,"large","common",300,0,0,0,1.6621566387541
"fed_perprotocol_naive","OR",8,"large","rare",300,82,0,0,2.56480819948311
"fed_perprotocol_naive","OR",8,"low","common",300,0,0,0,1.95426722015057
"fed_perprotocol_naive","OR",8,"low","rare",300,131,0,0,3.35069252077562
"fed_perprotocol_naive","RR",4,"large","common",300,0,0,0,1.17445528614973
"fed_perprotocol_naive","RR",4,"large","rare",300,18,0,0,2.33009472917172
"fed_perprotocol_naive","RR",4,"low","common",300,0,0,0,1.20362846073892
"fed_perprotocol_naive","RR",4,"low","rare",300,105,0,0,3.00557925828684
"fed_perprotocol_naive","RR",6,"large","common",300,0,0,0,1.13664458356303
"fed_perprotocol_naive","RR",6,"large","rare",300,51,0,0,2.35146919431278
"fed_perprotocol_naive","RR",6,"low","common",300,0,0,0,1.19896523178808
"fed_perprotocol_naive","RR",6,"low","rare",300,89,0,0,3.89754098360657
"fed_perprotocol_naive","RR",8,"large","common",300,0,0,0,1.13013245783326
"fed_perprotocol_naive","RR",8,"large","rare",300,49,0,0,2.41088101032271
"fed_perprotocol_naive","RR",8,"low","common",300,0,0,0,1.1836287079785
"fed_perprotocol_naive","RR",8,"low","rare",300,109,0,0,3.04481927710843
"local_ccw_meta","OR",4,"large","common",300,0,0,0,0.861425074602892
"local_ccw_meta","OR",4,"large","rare",300,0,0,0,0.831834841709634
"local_ccw_meta","OR",4,"low","common",300,0,0,0,1.20705461856025
"local_ccw_meta","OR",4,"low","rare",300,0,0,0,1.9534645103182
"local_ccw_meta","OR",6,"large","common",300,0,0,0,0.850746295677637
"local_ccw_meta","OR",6,"large","rare",300,0,0,0,1.16840178965543
"local_ccw_meta","OR",6,"low","common",300,0,0,0,1.33341928237609
"local_ccw_meta","OR",6,"low","rare",300,0,0,0,1.8230458669373
"local_ccw_meta","OR",8,"large","common",300,0,0,0,0.84480330377557
"local_ccw_meta","OR",8,"large","rare",300,0,0,0,1.31440865257488
"local_ccw_meta","OR",8,"low","common",300,0,0,0,1.49401974850891
"local_ccw_meta","OR",8,"low","rare",300,0,0,0,1.63549481434345
"local_ccw_meta","RR",4,"large","common",300,0,0,0,0.963896864248668
"local_ccw_meta","RR",4,"large","rare",300,0,0,0,0.841784240538468
"local_ccw_meta","RR",4,"low","common",300,0,0,0,1.04048112116835
"local_ccw_meta","RR",4,"low","rare",300,0,0,0,1.85286241526818
"local_ccw_meta","RR",6,"large","common",300,0,0,0,0.960725994361697
"local_ccw_meta","RR",6,"large","rare",300,0,0,0,1.15705415184531
"local_ccw_meta","RR",6,"low","common",300,0,0,0,1.06617016545134
"local_ccw_meta","RR",6,"low","rare",300,0,0,0,1.75656152060584
"local_ccw_meta","RR",8,"large","common",300,0,0,0,0.958847204720526
"local_ccw_meta","RR",8,"large","rare",300,0,0,0,1.28850830347403
"local_ccw_meta","RR",8,"low","common",300,0,0,0,1.09228551355163
"local_ccw_meta","RR",8,"low","rare",300,0,0,0,1.57750874844566
"pooled_ccw_tvipcw","OR",4,"large","common",300,0,0,0,0.835167097831807
"pooled_ccw_tvipcw","OR",4,"large","rare",300,0,0,0,0.860805925554195
"pooled_ccw_tvipcw","OR",4,"low","common",300,0,0,0,1.20985380059301
"pooled_ccw_tvipcw","OR",4,"low","rare",300,0,0,0,1.39913329719662
"pooled_ccw_tvipcw","OR",6,"large","common",300,0,0,0,0.816436207276045
"pooled_ccw_tvipcw","OR",6,"large","rare",300,0,0,0,1.04329550141252
"pooled_ccw_tvipcw","OR",6,"low","common",300,0,0,0,1.19404811473546
"pooled_ccw_tvipcw","OR",6,"low","rare",300,0,0,0,1.78155657493388
"pooled_ccw_tvipcw","OR",8,"large","common",300,0,0,0,0.853770371834903
"pooled_ccw_tvipcw","OR",8,"large","rare",300,0,0,0,1.10536789107518
"pooled_ccw_tvipcw","OR",8,"low","common",300,0,0,0,1.18599023230837
"pooled_ccw_tvipcw","OR",8,"low","rare",300,0,0,0,1.78051483163964
"pooled_ccw_tvipcw","RR",4,"large","common",300,0,0,0,0.955874107788017
"pooled_ccw_tvipcw","RR",4,"large","rare",300,0,0,0,0.869287295982541
"pooled_ccw_tvipcw","RR",4,"low","common",300,0,0,0,1.04481011610149
"pooled_ccw_tvipcw","RR",4,"low","rare",300,0,0,0,1.36722596684416
"pooled_ccw_tvipcw","RR",6,"large","common",300,0,0,0,0.950767094637591
"pooled_ccw_tvipcw","RR",6,"large","rare",300,0,0,0,1.04055236422863
"pooled_ccw_tvipcw","RR",6,"low","common",300,0,0,0,1.04220169442059
"pooled_ccw_tvipcw","RR",6,"low","rare",300,0,0,0,1.71570968022145
"pooled_ccw_tvipcw","RR",8,"large","common",300,0,0,0,0.962723938482287
"pooled_ccw_tvipcw","RR",8,"large","rare",300,0,0,0,1.09722518409741
"pooled_ccw_tvipcw","RR",8,"low","common",300,0,0,0,1.04124610031261
"pooled_ccw_tvipcw","RR",8,"low","rare",300,0,0,0,1.66677094562494
