"task_id","tau","size_scenario","mix_scenario","site","site_n","site_weight","x1_mean","x1_sd","x2_prob","pooled_x1_mean","pooled_x2_prob"
1,4,"balanced","homogeneous",1,500,0.333333333333333,0,1,0.4,0,0.4
1,4,"balanced","homogeneous",2,500,0.333333333333333,0,1,0.4,0,0.4
1,4,"balanced","homogeneous",3,500,0.333333333333333,0,1,0.4,0,0.4
2,6,"balanced","homogeneous",1,500,0.333333333333333,0,1,0.4,0,0.4
2,6,"balanced","homogeneous",2,500,0.333333333333333,0,1,0.4,0,0.4
2,6,"balanced","homogeneous",3,500,0.333333333333333,0,1,0.4,0,0.4
3,8,"balanced","homogeneous",1,500,0.333333333333333,0,1,0.4,0,0.4
3,8,"balanced","homogeneous",2,500,0.333333333333333,0,1,0.4,0,0.4
3,8,"balanced","homogeneous",3,500,0.333333333333333,0,1,0.4,0,0.4
4,4,"unbalanced","homogeneous",1,50,0.0333333333333333,0,1,0.4,0,0.4
4,4,"unbalanced","homogeneous",2,100,0.0666666666666667,0,1,0.4,0,0.4
4,4,"unbalanced","homogeneous",3,1350,0.9,0,1,0.4,0,0.4
5,6,"unbalanced","homogeneous",1,50,0.0333333333333333,0,1,0.4,0,0.4
5,6,"unbalanced","homogeneous",2,100,0.0666666666666667,0,1,0.4,0,0.4
5,6,"unbalanced","homogeneous",3,1350,0.9,0,1,0.4,0,0.4
6,8,"unbalanced","homogeneous",1,50,0.0333333333333333,0,1,0.4,0,0.4
6,8,"unbalanced","homogeneous",2,100,0.0666666666666667,0,1,0.4,0,0.4
6,8,"unbalanced","homogeneous",3,1350,0.9,0,1,0.4,0,0.4
7,4,"balanced","heterogeneous",1,500,0.333333333333333,-1.5,0.7,0.1,0,0.4
7,4,"balanced","heterogeneous",2,500,0.333333333333333,0,1,0.4,0,0.4
7,4,"balanced","heterogeneous",3,500,0.333333333333333,1.5,1.3,0.7,0,0.4
8,6,"balanced","heterogeneous",1,500,0.333333333333333,-1.5,0.7,0.1,0,0.4
8,6,"balanced","heterogeneous",2,500,0.333333333333333,0,1,0.4,0,0.4
8,6,"balanced","heterogeneous",3,500,0.333333333333333,1.5,1.3,0.7,0,0.4
9,8,"balanced","heterogeneous",1,500,0.333333333333333,-1.5,0.7,0.1,0,0.4
9,8,"balanced","heterogeneous",2,500,0.333333333333333,0,1,0.4,0,0.4
9,8,"balanced","heterogeneous",3,500,0.333333333333333,1.5,1.3,0.7,0,0.4
10,4,"unbalanced","heterogeneous",1,50,0.0333333333333333,-1.5,0.7,0.1,1.3,0.66
10,4,"unbalanced","heterogeneous",2,100,0.0666666666666667,0,1,0.4,1.3,0.66
10,4,"unbalanced","heterogeneous",3,1350,0.9,1.5,1.3,0.7,1.3,0.66
11,6,"unbalanced","heterogeneous",1,50,0.0333333333333333,-1.5,0.7,0.1,1.3,0.66
11,6,"unbalanced","heterogeneous",2,100,0.0666666666666667,0,1,0.4,1.3,0.66
11,6,"unbalanced","heterogeneous",3,1350,0.9,1.5,1.3,0.7,1.3,0.66
12,8,"unbalanced","heterogeneous",1,50,0.0333333333333333,-1.5,0.7,0.1,1.3,0.66
12,8,"unbalanced","heterogeneous",2,100,0.0666666666666667,0,1,0.4,1.3,0.66
12,8,"unbalanced","heterogeneous",3,1350,0.9,1.5,1.3,0.7,1.3,0.66
