"method","estimand","tau","size_scenario","mix_scenario","n_reps","n_gt_2","n_gt_10","n_gt_100","maximum"
"fed_ccw_tvipcw","OR",4,"balanced","heterogeneous",100,6,0,0,3.48258787422674
"fed_ccw_tvipcw","OR",4,"balanced","homogeneous",100,1,0,0,2.01127255117101
"fed_ccw_tvipcw","OR",4,"unbalanced","heterogeneous",100,27,5,1,Inf
"fed_ccw_tvipcw","OR",4,"unbalanced","homogeneous",100,1,0,0,2.06862754946533
"fed_ccw_tvipcw","OR",6,"balanced","heterogeneous",100,10,0,0,5.26530833165185
"fed_ccw_tvipcw","OR",6,"balanced","homogeneous",100,0,0,0,1.84031880187272
"fed_ccw_tvipcw","OR",6,"unbalanced","heterogeneous",100,19,3,0,17.1135088864667
"fed_ccw_tvipcw","OR",6,"unbalanced","homogeneous",100,0,0,0,1.99860559272197
"fed_ccw_tvipcw","OR",8,"balanced","heterogeneous",100,2,0,0,2.21235478750984
"fed_ccw_tvipcw","OR",8,"balanced","homogeneous",100,0,0,0,1.5365670605428
"fed_ccw_tvipcw","OR",8,"unbalanced","heterogeneous",100,26,1,0,34.2536286265144
"fed_ccw_tvipcw","OR",8,"unbalanced","homogeneous",100,0,0,0,1.62085075352894
"fed_ccw_tvipcw","RR",4,"balanced","heterogeneous",100,0,0,0,1.2220531765238
"fed_ccw_tvipcw","RR",4,"balanced","homogeneous",100,0,0,0,1.08636686844065
"fed_ccw_tvipcw","RR",4,"unbalanced","heterogeneous",100,0,0,0,1.06595420637653
"fed_ccw_tvipcw","RR",4,"unbalanced","homogeneous",100,0,0,0,1.08814989000235
"fed_ccw_tvipcw","RR",6,"balanced","heterogeneous",100,0,0,0,1.28057378641409
"fed_ccw_tvipcw","RR",6,"balanced","homogeneous",100,0,0,0,1.08107056084152
"fed_ccw_tvipcw","RR",6,"unbalanced","heterogeneous",100,0,0,0,1.0614866715975
"fed_ccw_tvipcw","RR",6,"unbalanced","homogeneous",100,0,0,0,1.08202140589027
"fed_ccw_tvipcw","RR",8,"balanced","heterogeneous",100,0,0,0,1.15737451455778
"fed_ccw_tvipcw","RR",8,"balanced","homogeneous",100,0,0,0,1.05638815995614
"fed_ccw_tvipcw","RR",8,"unbalanced","heterogeneous",100,0,0,0,1.0522006984548
"fed_ccw_tvipcw","RR",8,"unbalanced","homogeneous",100,0,0,0,1.06089221104516
"fed_ipw_no_clone","OR",4,"balanced","heterogeneous",100,1,0,0,2.68285655661984
"fed_ipw_no_clone","OR",4,"balanced","homogeneous",100,0,0,0,1.46855227162278
"fed_ipw_no_clone","OR",4,"unbalanced","heterogeneous",100,14,3,1,Inf
"fed_ipw_no_clone","OR",4,"unbalanced","homogeneous",100,0,0,0,1.60161711010297
"fed_ipw_no_clone","OR",6,"balanced","heterogeneous",100,2,0,0,3.59012849733898
"fed_ipw_no_clone","OR",6,"balanced","homogeneous",100,0,0,0,1.12955757316558
"fed_ipw_no_clone","OR",6,"unbalanced","heterogeneous",100,9,0,0,8.06226541592818
"fed_ipw_no_clone","OR",6,"unbalanced","homogeneous",100,0,0,0,1.26124191600937
"fed_ipw_no_clone","OR",8,"balanced","heterogeneous",100,0,0,0,1.44622490462041
"fed_ipw_no_clone","OR",8,"balanced","homogeneous",100,0,0,0,0.830246310606888
"fed_ipw_no_clone","OR",8,"unbalanced","heterogeneous",100,7,1,0,15.1194640638128
