"task_id","rep","fragmentation","initiation","init_intercept","n_sites","n_per_site","total_n","observed_init_rate","observed_death_rate","zero_initiation_sites","mean_initiators_per_site","min_initiators_per_site","max_initiators_per_site","empty_g1_at_tau","empty_g1_at_tstar","empty_g0_at_tstar","any_post_tau_empty_g1","fit_warning_count"
1,1,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2258,0.8298,0,112.9,90,138,0,0,0,0,0
1,2,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2272,0.8288,0,113.6,90,138,0,0,0,0,0
1,3,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2304,0.8244,0,115.2,90,138,0,0,0,0,0
1,4,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2372,0.821,0,118.6,109,138,0,0,0,0,0
1,5,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2384,0.82,0,119.2,111,138,0,0,0,0,0
1,6,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2336,0.8154,0,116.8,111,126,0,0,0,0,0
1,7,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2338,0.8112,0,116.9,111,126,0,0,0,0,0
1,8,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2338,0.8108,0,116.9,111,126,0,0,0,0,0
1,9,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2378,0.8094,0,118.9,111,131,0,0,0,0,0
1,10,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2366,0.81,0,118.3,110,131,0,0,0,0,0
1,11,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2372,0.8112,0,118.6,110,131,0,0,0,0,0
1,12,"10_sites_x_500","moderate",-2.5,10,500,5000,0.234,0.8146,0,117,95,131,0,0,0,0,0
1,13,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2352,0.8164,0,117.6,95,132,0,0,0,0,0
1,14,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2332,0.8154,0,116.6,95,132,0,0,0,0,0
1,15,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2338,0.8126,0,116.9,95,132,0,0,0,0,0
1,16,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2362,0.8146,0,118.1,95,132,0,0,0,0,0
1,17,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2312,0.8182,0,115.6,95,132,0,0,0,0,0
1,18,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2286,0.8172,0,114.3,95,132,0,0,0,0,0
1,19,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2238,0.8192,0,111.9,95,132,0,0,0,0,0
1,20,"10_sites_x_500","moderate",-2.5,10,500,5000,0.222,0.8198,0,111,95,132,0,0,0,0,0
1,21,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2258,0.8172,0,112.9,95,134,0,0,0,0,0
1,22,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2284,0.816,0,114.2,99,134,0,0,0,0,0
1,23,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2262,0.817,0,113.1,99,134,0,0,0,0,0
1,24,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2296,0.8222,0,114.8,99,134,0,0,0,0,0
1,25,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2294,0.8246,0,114.7,99,134,0,0,0,0,0
1,26,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2254,0.8256,0,112.7,99,134,0,0,0,0,0
1,27,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2268,0.8256,0,113.4,101,134,0,0,0,0,0
1,28,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2264,0.8264,0,113.2,101,134,0,0,0,0,0
1,29,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2274,0.8282,0,113.7,101,134,0,0,0,0,0
1,30,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2268,0.8252,0,113.4,98,134,0,0,0,0,0
1,31,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2224,0.8252,0,111.2,98,131,0,0,0,0,0
1,32,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2234,0.8248,0,111.7,98,131,0,0,0,0,0
1,33,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2236,0.823,0,111.8,98,131,0,0,0,0,0
1,34,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2198,0.8228,0,109.9,98,122,0,0,0,0,0
1,35,"10_sites_x_500","moderate",-2.5,10,500,5000,0.2198,0.8208,0,109.9,98,122,0,0,0,0,0
