"method","estimand","tau","beta_trt","scenario","conf_mult","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",5,-1,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.123412397964859,-0.122091469794383,0.029465388101714,-0.00132092817047526,0.0295840566664122,0.97,100
"Federated CCW","RD",10,-1,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0942148528408369,-0.0968178705311098,0.0233879347721907,0.00260301769027287,0.0233597208327975,0.92,100
"Federated CCW","RD",15,-1,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.084381647018767,-0.0817086876024627,0.0207489456569566,-0.00267295941630422,0.0206797132288239,0.92,100
"Federated CCW","RD",5,-0.7,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0841205083962585,-0.081055776303728,0.0304951385269383,-0.00306473209253049,0.0304935974564586,0.92,100
"Federated CCW","RD",10,-0.7,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0647971314947597,-0.0660312049566955,0.0238979265651517,0.00123407346193573,0.023986274627566,0.9,100
"Federated CCW","RD",15,-0.7,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0527667401597931,-0.0565820986025233,0.0190716342515674,0.00381535844273016,0.0187802354999446,0.96,100
"Federated CCW","RD",5,-0.5,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0630875145636122,-0.060919027444341,0.0313975345033413,-0.00216848711927123,0.0314803584186029,0.97,100
"Federated CCW","RD",10,-0.5,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0423393696738957,-0.0462294986162913,0.0244753036550907,0.0038901289423956,0.0242859103231206,0.9,100
"Federated CCW","RD",15,-0.5,"medium",1,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.041071859427735,-0.0397999434906583,0.0187023467682706,-0.00127191593707669,0.0187530470113997,0.95,100
"Federated CCW","RD",5,-1,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.11918496484343,-0.120536231260007,0.0211852100784971,0.0013512664165772,0.0212485817742183,0.96,100
"Federated CCW","RD",10,-1,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.095184618232534,-0.0956199860100375,0.0130843999915711,0.000435367777503562,0.0131430351043924,0.96,100
"Federated CCW","RD",15,-1,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.081145757594767,-0.0807667930139156,0.0123828747064961,-0.000378964580851404,0.0124394278605659,0.97,100
"Federated CCW","RD",5,-0.7,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0784055185461116,-0.0820594317236955,0.0211254198735338,0.0036539131775839,0.020911846802487,0.96,100
"Federated CCW","RD",10,-0.7,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0663677268202262,-0.0654681174763394,0.0149664026066408,-0.0008996093438868,0.0150146026568096,0.95,100
"Federated CCW","RD",15,-0.7,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0548558644884485,-0.0564066207868443,0.0134342976969066,0.00155075629839587,0.0134117206961829,0.93,100
"Federated CCW","RD",5,-0.5,"small",0.5,25,"1000/1000/1000/1000/1000","-4.5/-3.75/-3/-2.25/-1.5",-0.0533134090487307,-0.0588257092473403,0.0194023496408186,0.00551230019860957,0.0186965593470877,0.98,100
