"method","estimand","tau","beta_trt","heterogeneity","patient_mix","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",5,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0639145602163995,-0.0892041029227946,0.0844498401898228,0.025289542706395,0.0809801979647627,0.84,100
"Federated CCW","RD",10,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0691680790344986,-0.0803360220275148,0.057539604959681,0.0111679429930161,0.0567297615602936,0.94,100
"Federated CCW","RD",15,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0550067498919455,-0.0720276999771671,0.0490119970843744,0.0170209500852216,0.0461930852798537,0.86,100
"Federated CCW","RD",5,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0509181968744633,-0.0584512946296867,0.0798508836764791,0.00753309775522341,0.0798952348241174,0.87,100
"Federated CCW","RD",10,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0430228488224648,-0.0523499901509646,0.0603445901376816,0.0093271413284998,0.0599197611079627,0.91,100
"Federated CCW","RD",15,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0323410126010788,-0.0471029198375579,0.0575158845124033,0.0147619072364791,0.0558692834599567,0.83,100
"Federated CCW","RD",5,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0476638430058807,-0.0411241958370495,0.0883258169162478,-0.00653964716883122,0.088527134166121,0.87,100
"Federated CCW","RD",10,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.025360935129707,-0.0380586440948029,0.0796809134262875,0.0126977089650958,0.0790589611931158,0.84,100
"Federated CCW","RD",15,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0311809965450239,-0.0334239031940955,0.0586441050833827,0.00224290664907159,0.058896420213233,0.89,100
"Federated CCW","RD",5,-1,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.118933290647897,-0.120996609283777,0.0426178108062292,0.0020633186358801,0.0427822831513088,0.92,100
"Federated CCW","RD",10,-1,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0981510433244823,-0.0960392060887807,0.0354773904526071,-0.00211183723570156,0.0355928913685922,0.96,100
"Federated CCW","RD",15,-1,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.08181723963049,-0.082544843501617,0.0297440205658415,0.000727603871126944,0.0298849198826405,0.96,100
"Federated CCW","RD",5,-0.7,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0856314478542103,-0.0833391550101804,0.057864388825361,-0.00229229284402983,0.0581102477762394,0.88,100
"Federated CCW","RD",10,-0.7,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0620116780507479,-0.067494019095338,0.03080471261313,0.00548234104459009,0.0304656497384877,0.94,100
"Federated CCW","RD",15,-0.7,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0543313342126395,-0.0568591814129458,0.0253485052346191,0.0025278472003063,0.0253492116539386,0.94,100
"Federated CCW","RD",5,-0.5,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0549198252477071,-0.0582737841009684,0.0568965840499392,0.00335395885326135,0.0570837789105585,0.84,100
"Federated CCW","RD",10,-0.5,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0435688012159583,-0.0458568191634134,0.0409521487462558,0.00228801794745516,0.0410941695194405,0.89,100
"Federated CCW","RD",15,-0.5,"low","s1:N(-0.25,0.95^2),Bern(0.35);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.25,1.05^2),Bern(0.45)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0358535267324287,-0.0402042754446026,0.0362059947666261,0.00435074871217387,0.0361247144294675,0.91,100
"Federated CCW","RD",5,-1,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.116179053515333,-0.11540739373497,0.053684812251111,-0.000771659780362919,0.0539496923126229,0.92,100
"Federated CCW","RD",10,-1,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0859558406994937,-0.0928265910673114,0.0464011339250916,0.00687075036781774,0.0461208121354969,0.86,100
"Federated CCW","RD",15,-1,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0782378206598928,-0.0805692223320915,0.0356376885753565,0.00233140167219872,0.0357404986771856,0.94,100
"Federated CCW","RD",5,-0.7,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0798546226747208,-0.0807520636091489,0.0607890819916044,0.000897440934428106,0.0610886678736489,0.9,100
"Federated CCW","RD",10,-0.7,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0667510325707802,-0.0655723696456074,0.0534209070306838,-0.00117866292517277,0.0536769617613467,0.92,100
"Federated CCW","RD",15,-0.7,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0540994998001522,-0.0565264236864906,0.0376662971234126,0.00242692388633843,0.0377773912858306,0.88,100
"Federated CCW","RD",5,-0.5,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0558308129290857,-0.0565825298684021,0.0573508692006934,0.000751716939316348,0.0576348407510787,0.86,100
"Federated CCW","RD",10,-0.5,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.04018260956213,-0.0439844545757733,0.0531548262661225,0.00380184501364331,0.0532857887499182,0.84,100
"Federated CCW","RD",15,-0.5,"moderate","s1:N(-0.75,0.85^2),Bern(0.20);s2:N(0.00,1.00^2),Bern(0.40);s3:N(0.75,1.15^2),Bern(0.60)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0350609680589282,-0.0389312502125132,0.0354112623289996,0.00387028215358505,0.0353764519034575,0.94,100
"Pooled CCW","RD",5,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0714034783070865,-0.0892041029227946,0.0843092736778758,0.0178006246157081,0.0828238449012351,0.8,100
"Pooled CCW","RD",10,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0766839433485647,-0.0803360220275148,0.0542946382311679,0.00365207867895011,0.0544445790121873,0.96,100
"Pooled CCW","RD",15,-1,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0609235510199617,-0.0720276999771671,0.0501374630327365,0.0111041489572054,0.0491386728246181,0.85,100
"Pooled CCW","RD",5,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0507061534527689,-0.0584512946296867,0.0824515481379878,0.0077451411769178,0.082500508590416,0.85,100
"Pooled CCW","RD",10,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.054948011391323,-0.0523499901509646,0.0579828112538612,-0.00259802124035834,0.0582163908896602,0.91,100
"Pooled CCW","RD",15,-0.7,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0370577310615591,-0.0471029198375579,0.0514200169018517,0.0100451887759987,0.0506833337881404,0.89,100
"Pooled CCW","RD",5,-0.5,"high","s1:N(-1.50,0.70^2),Bern(0.10);s2:N(0.00,1.00^2),Bern(0.40);s3:N(1.50,1.30^2),Bern(0.70)",25,"1000/1000/1000","-4.5/-3/-1.5",-0.0455358954862657,-0.0411241958370495,0.0796438283802282,-0.00441169964921617,0.0799221610287119,0.91,100
