"heterogeneity","tau","replicate","beta_trt","site","n","initiated_by_tau","initiation_prevalence"
"low",5,1,-0.7,1,900,152,0.168888888888889
"low",5,1,-0.7,2,950,188,0.197894736842105
"low",5,1,-0.7,3,1000,244,0.244
"low",5,1,-0.7,4,1050,297,0.282857142857143
"low",5,1,-0.7,5,1100,351,0.319090909090909
"moderate",5,1,-0.7,1,600,42,0.07
"moderate",5,1,-0.7,2,800,128,0.16
"moderate",5,1,-0.7,3,1000,224,0.224
"moderate",5,1,-0.7,4,1200,470,0.391666666666667
"moderate",5,1,-0.7,5,1400,727,0.519285714285714
"high",5,1,-0.7,1,400,5,0.0125
"high",5,1,-0.7,2,600,51,0.085
"high",5,1,-0.7,3,800,172,0.215
"high",5,1,-0.7,4,1200,613,0.510833333333333
"high",5,1,-0.7,5,2000,1502,0.751
"low",10,1,-0.7,1,900,200,0.222222222222222
"low",10,1,-0.7,2,950,249,0.262105263157895
"low",10,1,-0.7,3,1000,286,0.286
"low",10,1,-0.7,4,1050,352,0.335238095238095
"low",10,1,-0.7,5,1100,447,0.406363636363636
"moderate",10,1,-0.7,1,600,63,0.105
"moderate",10,1,-0.7,2,800,168,0.21
"moderate",10,1,-0.7,3,1000,298,0.298
"moderate",10,1,-0.7,4,1200,524,0.436666666666667
"moderate",10,1,-0.7,5,1400,784,0.56
"high",10,1,-0.7,1,400,6,0.015
"high",10,1,-0.7,2,600,52,0.0866666666666667
"high",10,1,-0.7,3,800,250,0.3125
"high",10,1,-0.7,4,1200,690,0.575
"high",10,1,-0.7,5,2000,1577,0.7885
"low",15,1,-0.7,1,900,221,0.245555555555556
"low",15,1,-0.7,2,950,307,0.323157894736842
"low",15,1,-0.7,3,1000,318,0.318
"low",15,1,-0.7,4,1050,388,0.36952380952381
"low",15,1,-0.7,5,1100,460,0.418181818181818
"moderate",15,1,-0.7,1,600,76,0.126666666666667
"moderate",15,1,-0.7,2,800,174,0.2175
"moderate",15,1,-0.7,3,1000,303,0.303
"moderate",15,1,-0.7,4,1200,540,0.45
"moderate",15,1,-0.7,5,1400,827,0.590714285714286
"high",15,1,-0.7,1,400,16,0.04
"high",15,1,-0.7,2,600,67,0.111666666666667
"high",15,1,-0.7,3,800,260,0.325
"high",15,1,-0.7,4,1200,731,0.609166666666667
"high",15,1,-0.7,5,2000,1552,0.776
"low",5,2,-0.7,1,900,157,0.174444444444444
"low",5,2,-0.7,2,950,187,0.196842105263158
"low",5,2,-0.7,3,1000,231,0.231
"low",5,2,-0.7,4,1050,285,0.271428571428571
"low",5,2,-0.7,5,1100,339,0.308181818181818
"moderate",5,2,-0.7,1,600,28,0.0466666666666667
"moderate",5,2,-0.7,2,800,105,0.13125
"moderate",5,2,-0.7,3,1000,241,0.241
"moderate",5,2,-0.7,4,1200,433,0.360833333333333
"moderate",5,2,-0.7,5,1400,696,0.497142857142857
"high",5,2,-0.7,1,400,8,0.02
"high",5,2,-0.7,2,600,36,0.06
"high",5,2,-0.7,3,800,169,0.21125
"high",5,2,-0.7,4,1200,595,0.495833333333333
"high",5,2,-0.7,5,2000,1501,0.7505
"low",10,2,-0.7,1,900,203,0.225555555555556
"low",10,2,-0.7,2,950,226,0.237894736842105
"low",10,2,-0.7,3,1000,310,0.31
"low",10,2,-0.7,4,1050,346,0.32952380952381
"low",10,2,-0.7,5,1100,413,0.375454545454545
"moderate",10,2,-0.7,1,600,58,0.0966666666666667
"moderate",10,2,-0.7,2,800,157,0.19625
"moderate",10,2,-0.7,3,1000,321,0.321
"moderate",10,2,-0.7,4,1200,518,0.431666666666667
"moderate",10,2,-0.7,5,1400,743,0.530714285714286
"high",10,2,-0.7,1,400,11,0.0275
"high",10,2,-0.7,2,600,52,0.0866666666666667
"high",10,2,-0.7,3,800,231,0.28875
"high",10,2,-0.7,4,1200,671,0.559166666666667
"high",10,2,-0.7,5,2000,1559,0.7795
"low",15,2,-0.7,1,900,206,0.228888888888889
"low",15,2,-0.7,2,950,276,0.290526315789474
"low",15,2,-0.7,3,1000,343,0.343
"low",15,2,-0.7,4,1050,389,0.37047619047619
"low",15,2,-0.7,5,1100,469,0.426363636363636
"moderate",15,2,-0.7,1,600,78,0.13
"moderate",15,2,-0.7,2,800,184,0.23
"moderate",15,2,-0.7,3,1000,346,0.346
"moderate",15,2,-0.7,4,1200,526,0.438333333333333
"moderate",15,2,-0.7,5,1400,812,0.58
"high",15,2,-0.7,1,400,7,0.0175
"high",15,2,-0.7,2,600,83,0.138333333333333
"high",15,2,-0.7,3,800,257,0.32125
"high",15,2,-0.7,4,1200,693,0.5775
"high",15,2,-0.7,5,2000,1591,0.7955
"low",5,3,-0.7,1,900,157,0.174444444444444
"low",5,3,-0.7,2,950,185,0.194736842105263
"low",5,3,-0.7,3,1000,234,0.234
"low",5,3,-0.7,4,1050,294,0.28
"low",5,3,-0.7,5,1100,373,0.339090909090909
"moderate",5,3,-0.7,1,600,47,0.0783333333333333
"moderate",5,3,-0.7,2,800,107,0.13375
"moderate",5,3,-0.7,3,1000,227,0.227
"moderate",5,3,-0.7,4,1200,434,0.361666666666667
"moderate",5,3,-0.7,5,1400,683,0.487857142857143
"high",5,3,-0.7,1,400,8,0.02
"high",5,3,-0.7,2,600,45,0.075
"high",5,3,-0.7,3,800,180,0.225
"high",5,3,-0.7,4,1200,625,0.520833333333333
"high",5,3,-0.7,5,2000,1477,0.7385
"low",10,3,-0.7,1,900,199,0.221111111111111
"low",10,3,-0.7,2,950,228,0.24
"low",10,3,-0.7,3,1000,326,0.326
"low",10,3,-0.7,4,1050,365,0.347619047619048
"low",10,3,-0.7,5,1100,413,0.375454545454545
"moderate",10,3,-0.7,1,600,61,0.101666666666667
"moderate",10,3,-0.7,2,800,152,0.19
"moderate",10,3,-0.7,3,1000,285,0.285
"moderate",10,3,-0.7,4,1200,509,0.424166666666667
"moderate",10,3,-0.7,5,1400,801,0.572142857142857
"high",10,3,-0.7,1,400,12,0.03
"high",10,3,-0.7,2,600,54,0.09
"high",10,3,-0.7,3,800,231,0.28875
"high",10,3,-0.7,4,1200,651,0.5425
"high",10,3,-0.7,5,2000,1559,0.7795
"low",15,3,-0.7,1,900,224,0.248888888888889
"low",15,3,-0.7,2,950,256,0.269473684210526
"low",15,3,-0.7,3,1000,311,0.311
"low",15,3,-0.7,4,1050,375,0.357142857142857
"low",15,3,-0.7,5,1100,482,0.438181818181818
"moderate",15,3,-0.7,1,600,67,0.111666666666667
"moderate",15,3,-0.7,2,800,190,0.2375
"moderate",15,3,-0.7,3,1000,301,0.301
"moderate",15,3,-0.7,4,1200,528,0.44
"moderate",15,3,-0.7,5,1400,819,0.585
"high",15,3,-0.7,1,400,6,0.015
"high",15,3,-0.7,2,600,76,0.126666666666667
"high",15,3,-0.7,3,800,253,0.31625
"high",15,3,-0.7,4,1200,685,0.570833333333333
"high",15,3,-0.7,5,2000,1567,0.7835
"low",5,4,-0.7,1,900,168,0.186666666666667
"low",5,4,-0.7,2,950,207,0.217894736842105
"low",5,4,-0.7,3,1000,243,0.243
"low",5,4,-0.7,4,1050,298,0.283809523809524
"low",5,4,-0.7,5,1100,383,0.348181818181818
"moderate",5,4,-0.7,1,600,50,0.0833333333333333
"moderate",5,4,-0.7,2,800,101,0.12625
"moderate",5,4,-0.7,3,1000,252,0.252
"moderate",5,4,-0.7,4,1200,448,0.373333333333333
"moderate",5,4,-0.7,5,1400,724,0.517142857142857
"high",5,4,-0.7,1,400,6,0.015
"high",5,4,-0.7,2,600,43,0.0716666666666667
"high",5,4,-0.7,3,800,201,0.25125
"high",5,4,-0.7,4,1200,621,0.5175
"high",5,4,-0.7,5,2000,1482,0.741
"low",10,4,-0.7,1,900,201,0.223333333333333
"low",10,4,-0.7,2,950,260,0.273684210526316
"low",10,4,-0.7,3,1000,326,0.326
"low",10,4,-0.7,4,1050,365,0.347619047619048
"low",10,4,-0.7,5,1100,448,0.407272727272727
"moderate",10,4,-0.7,1,600,62,0.103333333333333
"moderate",10,4,-0.7,2,800,161,0.20125
"moderate",10,4,-0.7,3,1000,324,0.324
"moderate",10,4,-0.7,4,1200,516,0.43
"moderate",10,4,-0.7,5,1400,815,0.582142857142857
"high",10,4,-0.7,1,400,11,0.0275
"high",10,4,-0.7,2,600,63,0.105
"high",10,4,-0.7,3,800,237,0.29625
"high",10,4,-0.7,4,1200,677,0.564166666666667
"high",10,4,-0.7,5,2000,1588,0.794
"low",15,4,-0.7,1,900,234,0.26
"low",15,4,-0.7,2,950,259,0.272631578947368
"low",15,4,-0.7,3,1000,315,0.315
"low",15,4,-0.7,4,1050,388,0.36952380952381
"low",15,4,-0.7,5,1100,441,0.400909090909091
"moderate",15,4,-0.7,1,600,68,0.113333333333333
"moderate",15,4,-0.7,2,800,171,0.21375
"moderate",15,4,-0.7,3,1000,328,0.328
"moderate",15,4,-0.7,4,1200,522,0.435
"moderate",15,4,-0.7,5,1400,820,0.585714285714286
"high",15,4,-0.7,1,400,17,0.0425
"high",15,4,-0.7,2,600,77,0.128333333333333
"high",15,4,-0.7,3,800,257,0.32125
"high",15,4,-0.7,4,1200,726,0.605
"high",15,4,-0.7,5,2000,1569,0.7845
"low",5,5,-0.7,1,900,159,0.176666666666667
"low",5,5,-0.7,2,950,165,0.173684210526316
"low",5,5,-0.7,3,1000,241,0.241
"low",5,5,-0.7,4,1050,303,0.288571428571429
"low",5,5,-0.7,5,1100,348,0.316363636363636
"moderate",5,5,-0.7,1,600,40,0.0666666666666667
"moderate",5,5,-0.7,2,800,109,0.13625
"moderate",5,5,-0.7,3,1000,244,0.244
"moderate",5,5,-0.7,4,1200,428,0.356666666666667
"moderate",5,5,-0.7,5,1400,671,0.479285714285714
"high",5,5,-0.7,1,400,4,0.01
"high",5,5,-0.7,2,600,42,0.07
"high",5,5,-0.7,3,800,187,0.23375
"high",5,5,-0.7,4,1200,607,0.505833333333333
"high",5,5,-0.7,5,2000,1500,0.75
"low",10,5,-0.7,1,900,198,0.22
"low",10,5,-0.7,2,950,237,0.249473684210526
"low",10,5,-0.7,3,1000,281,0.281
"low",10,5,-0.7,4,1050,364,0.346666666666667
"low",10,5,-0.7,5,1100,413,0.375454545454545
"moderate",10,5,-0.7,1,600,65,0.108333333333333
"moderate",10,5,-0.7,2,800,150,0.1875
"moderate",10,5,-0.7,3,1000,302,0.302
"moderate",10,5,-0.7,4,1200,503,0.419166666666667
"moderate",10,5,-0.7,5,1400,738,0.527142857142857
"high",10,5,-0.7,1,400,5,0.0125
"high",10,5,-0.7,2,600,55,0.0916666666666667
"high",10,5,-0.7,3,800,237,0.29625
"high",10,5,-0.7,4,1200,646,0.538333333333333
"high",10,5,-0.7,5,2000,1540,0.77
"low",15,5,-0.7,1,900,197,0.218888888888889
"low",15,5,-0.7,2,950,276,0.290526315789474
"low",15,5,-0.7,3,1000,317,0.317
"low",15,5,-0.7,4,1050,392,0.373333333333333
"low",15,5,-0.7,5,1100,478,0.434545454545455
"moderate",15,5,-0.7,1,600,78,0.13
"moderate",15,5,-0.7,2,800,147,0.18375
"moderate",15,5,-0.7,3,1000,345,0.345
"moderate",15,5,-0.7,4,1200,580,0.483333333333333
