"model","heterogeneity","replicate","tau","site","interval","eligible_n","initiations","observed_initiation_rate","common_numerator_hazard","denominator_mean","denominator_min","denominator_q01","denominator_q05","denominator_q50","denominator_q95","denominator_q99","denominator_max","prop_den_lt_001","prop_den_gt_099","observed_prob_min","observed_prob_q01","observed_prob_q05","prop_observed_prob_lt_001","prop_observed_prob_lt_005"
"Federated: site-specific slopes","low",1,5,"1",1,900,44,0.0488888888888889,0.0852,0.0488888888914514,0.00142876855987526,0.00238054747442317,0.00477028915211509,0.0297266277690008,0.155022569063344,0.310422247950868,0.477038659735889,0.182222222222222,0,0.00714532940947521,0.0309459345878442,0.58644967561295,0.00111111111111111,0.0144444444444444
"Federated: site-specific slopes","low",1,5,"1",2,788,34,0.0431472081218274,0.0782587429689411,0.0431472081268221,0.000305589096604643,0.00104853314729024,0.00257062910480821,0.0222805641346441,0.147424149515918,0.25606476693207,0.612410457788075,0.234771573604061,0,0.0174347182279714,0.0316006028852182,0.684223495001988,0,0.0139593908629442
"Federated: site-specific slopes","low",1,5,"1",3,671,31,0.0461997019374069,0.07119255031541,0.0461997019429379,0.00038386579685076,0.00114716807195569,0.00286509172677236,0.0250301222921604,0.159302975945121,0.304552388476091,0.438411120105732,0.257824143070045,0,0.0232417757027007,0.0740608875451772,0.656658013106795,0,0.00447093889716841
"Federated: site-specific slopes","low",1,5,"1",4,582,22,0.0378006872852234,0.0477741585233442,0.0378006872913562,0.00053316433633451,0.000822808761540097,0.00184395731890188,0.0166743187397087,0.144854454132693,0.280599167045179,0.422954282683136,0.34020618556701,0,0.0101750796457311,0.0273055552089396,0.781738000717654,0,0.0154639175257732
"Federated: site-specific slopes","low",1,5,"1",5,512,21,0.041015625,0.048487360132615,0.041015625006399,0.000477071824586233,0.00098382401821559,0.00215378808098546,0.0202342755313381,0.148354559055241,0.275578821033729,0.356950710287272,0.302734375,0,0.0252130733804525,0.053091924577925,0.735652759061302,0,0.0078125
"Federated: site-specific slopes","low",1,5,"2",1,950,60,0.0631578947368421,0.0852,0.0631578947368425,0.000317371167877845,0.00244477411258409,0.00597949051874014,0.0394771619794335,0.207294049845675,0.395535729977671,0.636461999654983,0.106315789473684,0,0.0103185321203085,0.0325576204920396,0.212465641855636,0,0.0168421052631579
"Federated: site-specific slopes","low",1,5,"2",2,795,51,0.0641509433962264,0.0782587429689411,0.0641509433962266,0.000425008170286969,0.0014648631374542,0.00391745001101093,0.0351844680894484,0.247387304599421,0.479003675264408,0.633139015579627,0.182389937106918,0,0.0145082065229908,0.042535720923485,0.285161294252186,0,0.0163522012578616
"Federated: site-specific slopes","low",1,5,"2",3,660,44,0.0666666666666667,0.07119255031541,0.0666666666666672,0.000505299790475108,0.00160688826907896,0.00396621236397114,0.0360493195294286,0.25315355236675,0.443684232289445,0.748290451153391,0.181818181818182,0,0.0205478841895276,0.0498868289962721,0.281527660592422,0,0.00909090909090909
"Federated: site-specific slopes","low",1,5,"2",4,570,15,0.0263157894736842,0.0477741585233442,0.0263157894736844,0.000272535737990217,0.000564184697034725,0.00142378092602981,0.014521631359492,0.090645312611915,0.18178493825816,0.434881356575144,0.403508771929825,0,0.0108784630668599,0.0781877578536387,0.878147417670624,0,0.00350877192982456
"Federated: site-specific slopes","low",1,5,"2",5,509,18,0.0353634577603143,0.048487360132615,0.0353634577603145,0.000297919217263712,0.000557418713946397,0.00195095542079508,0.0182565923989493,0.116358234886993,0.220367998825227,0.545411384417497,0.347740667976424,0,0.00727447869098361,0.02679416717898,0.798410961764471,0.00196463654223969,0.0196463654223969
"Federated: site-specific slopes","low",1,5,"3",1,1000,88,0.088,0.0852,0.0880000000002953,0.000612988493827908,0.00225161699783563,0.00530127921128996,0.0526380566170488,0.314594417291938,0.51408423793546,0.578071633599747,0.124,0,0.00882383730030076,0.028296035247044,0.196338520367509,0.001,0.019
"Federated: site-specific slopes","low",1,5,"3",2,803,65,0.0809464508094645,0.0782587429689411,0.0809464508101861,0.000543449923976336,0.00129097169768142,0.00357723663807799,0.0441793734764857,0.288577826238429,0.493869672502566,0.645760500215259,0.163138231631382,0,0.00778326216300664,0.0398174997511345,0.2107938571312,0.0012453300124533,0.012453300124533
"Federated: site-specific slopes","low",1,5,"3",3,659,37,0.0561456752655539,0.07119255031541,0.0561456752662568,0.000482989123983535,0.000704809261654314,0.00204538640958448,0.0267620685255406,0.208773553761544,0.414083353904218,0.556147748418178,0.242792109256449,0,0.00941646693536319,0.0398654288240516,0.415509724346374,0.00151745068285281,0.0106221547799697
"Federated: site-specific slopes","low",1,5,"3",4,545,35,0.0642201834862385,0.0477741585233442,0.0642201834870413,0.000557175013569951,0.000945440781362714,0.00220699009505,0.0341559288127331,0.238759670345397,0.393903973390293,0.558513800952896,0.223853211009174,0,0.0127249351424655,0.0356337803092203,0.327074485309403,0,0.0201834862385321
"Federated: site-specific slopes","low",1,5,"3",5,464,19,0.040948275862069,0.048487360132615,0.040948275862724,0.000131376266235837,0.000518832569909698,0.00169972022866968,0.0191432615865322,0.15163574061869,0.304880315185151,0.376857050397629,0.344827586206897,0,0.00659113483020129,0.0586532736137383,0.758388340434719,0.0021551724137931,0.00646551724137931
"Federated: site-specific slopes","low",1,5,"4",1,1050,116,0.11047619047619,0.0852,0.110476190476191,0.000780374212070402,0.00250876558851459,0.00736660685246934,0.0583418010375036,0.389418386715436,0.651031780978143,0.846224599797045,0.08,0,0.0183736418664447,0.0646784888086422,0.241567499389091,0,0.00571428571428571
"Federated: site-specific slopes","low",1,5,"4",2,829,68,0.0820265379975875,0.0782587429689411,0.0820265379975875,0.000164943961944792,0.001006737411725,0.00351638689630564,0.0374953673250602,0.32031001988025,0.584984435013223,0.796700094108533,0.148371531966224,0,0.0042615782333893,0.0595890657555623,0.233278025480034,0.00120627261761158,0.00723763570566948
"Federated: site-specific slopes","low",1,5,"4",3,671,59,0.0879284649776453,0.07119255031541,0.0879284649776455,0.000264622182209379,0.00146091733669393,0.00387832288497553,0.0417303506316449,0.328243453739177,0.613907709683733,0.872251598177794,0.152011922503726,0,0.0138114985224135,0.037293800700823,0.173634470476172,0,0.0104321907600596
"Federated: site-specific slopes","low",1,5,"4",4,545,25,0.0458715596330275,0.0477741585233442,0.0458715596330276,0.000111123686045329,0.000612534041714929,0.00195315013623805,0.0194454795637262,0.187010990628203,0.38831171881162,0.607429733785331,0.300917431192661,0,0.00544508378692931,0.0338477190204297,0.488427329396998,0.0055045871559633,0.0165137614678899
"Federated: site-specific slopes","low",1,5,"4",5,479,29,0.0605427974947808,0.048487360132615,0.0605427974947809,0.000299685844718004,0.000827775253496117,0.0024292260942836,0.0276097955667215,0.258309064112769,0.411216424541869,0.777194556686914,0.244258872651357,0,0.0161399977649121,0.0326644659289489,0.303982220511197,0,0.0146137787056367
"Federated: site-specific slopes","low",1,5,"5",1,1100,118,0.107272727272727,0.0852,0.107272727272727,0.000528660984560104,0.00273515719521901,0.00621306846864666,0.0579388132616715,0.399228304888037,0.63019560060086,0.841762661207859,0.108181818181818,0,0.0130251902926668,0.0591497880262293,0.216411551275673,0,0.00727272727272727
"Federated: site-specific slopes","low",1,5,"5",2,874,102,0.116704805491991,0.0782587429689411,0.11670480549199,0.000357707890265287,0.00198432161396107,0.00647549924963442,0.0624683537391767,0.418604373090078,0.663442047490152,0.916584021853068,0.0961098398169336,0,0.00866690348242668,0.0459461060516739,0.194478218263004,0.0034324942791762,0.0102974828375286
"Federated: site-specific slopes","low",1,5,"5",3,668,66,0.0988023952095808,0.07119255031541,0.0988023952095801,0.0003869104096316,0.00162576615329701,0.00426557726130612,0.0508062997688213,0.358993533795654,0.581779073787528,0.77208500693842,0.140718562874251,0,0.0103408429631033,0.0555402725463329,0.220669619148627,0,0.00898203592814371
"Federated: site-specific slopes","low",1,5,"5",4,521,35,0.0671785028790787,0.0477741585233442,0.0671785028790782,0.000296840489548501,0.0010655175451562,0.0031440302501289,0.0316647579429886,0.285107844851168,0.444935682267474,0.696573561054318,0.222648752399232,0,0.0059242882274475,0.0445384896395986,0.249396020233208,0.00191938579654511,0.00959692898272553
"Federated: site-specific slopes","low",1,5,"5",5,449,30,0.066815144766147,0.048487360132615,0.0668151447661464,0.000512397678553172,0.0010988409711052,0.00245576578539383,0.0329354913425646,0.25876456238506,0.425433988723496,0.67524594554775,0.202672605790646,0,0.0153530608142307,0.0282858079042993,0.271849185230044,0,0.0133630289532294
"Federated: site-specific slopes","low",1,5,"Overall",1,5000,426,0.0852,0.0852,0.0852000000005202,0.000317371167877845,0.00244793208841542,0.00575935887687417,0.0463685398496455,0.314961213255547,0.526003241812833,0.846224599797045,0.1184,0,0.00714532940947521,0.038115906744506,0.221600137092426,4e-04,0.0124
"Federated: site-specific slopes","low",1,5,"Overall",2,4089,320,0.0782587429689411,0.0782587429689411,0.0782587429700451,0.000164943961944792,0.00134982521097735,0.00376137811458926,0.0384929429758345,0.299478352960228,0.537105858721764,0.916584021853068,0.163365125947664,0,0.0042615782333893,0.043880760310857,0.225634481841523,0.0012227928588897,0.0119833700171191
"Federated: site-specific slopes","low",1,5,"Overall",3,3329,237,0.07119255031541,0.07119255031541,0.071192550316664,0.000264622182209379,0.00121381207247246,0.00324240214929167,0.034305625101684,0.279982441988204,0.489376470836578,0.872251598177794,0.194953439471313,0,0.00941646693536319,0.0580004724851364,0.264335162454521,0.000300390507659958,0.00871132472213878
"Federated: site-specific slopes","low",1,5,"Overall",4,2763,132,0.0477741585233442,0.0477741585233442,0.0477741585247943,0.000111123686045329,0.000668797925483786,0.00196192847771451,0.0212903919685115,0.185998240740705,0.374525523938944,0.696573561054318,0.300398117987695,0,0.00544508378692931,0.0399895297754889,0.561669650788974,0.00144770177343467,0.0130293159609121
"Federated: site-specific slopes","low",1,5,"Overall",5,2413,117,0.048487360132615,0.048487360132615,0.0484873601340987,0.000131376266235837,0.000696515278740364,0.00211467665734914,0.0227177983346276,0.181110719889806,0.362467916819069,0.777194556686914,0.290095317032739,0,0.00659113483020129,0.0414834557359215,0.600652313792708,0.000828843762950684,0.0124326564442603
