"model","heterogeneity","tau","site","interval","replicates","mean_eligible_n","mean_observed_rate","mean_numerator_hazard","mean_denominator","mean_den_q01","mean_den_q99","mean_observed_prob_q01","min_observed_prob","mean_prop_observed_prob_lt_001","mean_prop_observed_prob_lt_005"
"Federated: site-specific slopes","low",5,"1",1,10,900,0.0537777777777778,0.0853,0.0537777777783107,0.00191228623787771,0.358268792433951,0.0383360796045868,0.0045132770907004,0.000777777777777778,0.0134444444444444
"Federated: site-specific slopes","low",5,"1",2,10,771.1,0.0483981932493202,0.0786744912662065,0.0483981932503233,0.000945930398889748,0.360006535885483,0.0410679966976068,0.00144632523931701,0.0018256622800408,0.0129834830050798
"Federated: site-specific slopes","low",5,"1",3,10,662.3,0.041770037223725,0.0644149166032893,0.0417700372248426,0.00076241946649293,0.318471693126307,0.0479742092902348,0.00284851077807846,0.0016622491763943,0.0104086708086363
"Federated: site-specific slopes","low",5,"1",4,10,579.6,0.0374416229395079,0.0537900878784428,0.0374416229408365,0.000662582841731945,0.277043626596774,0.0436888258742002,0.00511510702501654,0.00086696526226599,0.0121168619518592
"Federated: site-specific slopes","low",5,"1",5,10,513.6,0.0365558301482,0.0479094223974081,0.0365558301494772,0.0006668425328497,0.266996368702505,0.0422489782379812,0.00604036855462994,0.000970553904424837,0.0118460120448518
"Federated: site-specific slopes","low",5,"2",1,10,950,0.0614736842105263,0.0853,0.061473684211094,0.00201246878497236,0.389606209601121,0.0384637920279771,0.00300377707127844,0.00115789473684211,0.0131578947368421
"Federated: site-specific slopes","low",5,"2",2,10,802.3,0.060740999014499,0.0786744912662065,0.060740999015575,0.00125250738712792,0.409008197084475,0.0457685573740992,0.00275645947142394,0.000619901500401134,0.0131165130139252
"Federated: site-specific slopes","low",5,"2",3,10,671.4,0.049530217751361,0.0644149166032893,0.0495302177526612,0.000862801579538568,0.360580995438485,0.0448655970330084,0.000887230206775666,0.00147500392727151,0.0108297105795212
"Federated: site-specific slopes","low",5,"2",4,10,579.9,0.0422498837691996,0.0537900878784428,0.0422498837705785,0.000639673154268965,0.314399010929865,0.0385587739324897,0.00299144637078735,0.00224334246351288,0.0124366215257315
"Federated: site-specific slopes","low",5,"2",5,10,506.8,0.0368307279880483,0.0479094223974081,0.0368307279894515,0.000482056695253031,0.294268956677963,0.0377409883414114,0.00183886752490835,0.00116805161456816,0.0138235162193559
"Federated: site-specific slopes","low",5,"3",1,10,1000,0.0787,0.0853,0.078700000000096,0.00269852646527051,0.446146399015379,0.0424900678906505,0.00475869248475653,4e-04,0.0128
"Federated: site-specific slopes","low",5,"3",2,10,823,0.0762160009432068,0.0786744912662065,0.076216000943442,0.00169434725787354,0.474010609284697,0.0466284318011036,0.00164271449483972,0.00146092215713461,0.0119194525296651
"Federated: site-specific slopes","low",5,"3",3,10,676.7,0.0625353853553755,0.0644149166032893,0.0625353853556405,0.00114422125910519,0.424860519632698,0.044115983144202,0.00414523664007388,0.00147673113857658,0.0115295749626701
"Federated: site-specific slopes","low",5,"3",4,10,573.3,0.0548250602588044,0.0537900878784428,0.0548250602591165,0.000907014953944868,0.395100817004362,0.0356770574674774,0.000895833903447765,0.00279163526206903,0.0139891456901924
"Federated: site-specific slopes","low",5,"3",5,10,490.8,0.0454957342174472,0.0479094223974081,0.0454957342176897,0.000808387315280821,0.329086043651534,0.0373931107543262,0.00368906385035804,0.00143062002700344,0.0131761192937532
"Federated: site-specific slopes","low",5,"4",1,10,1050,0.101428571428571,0.0853,0.101428571428572,0.0032065531430842,0.554244704648098,0.0513747370942372,0.00764625119728746,0.000285714285714286,0.00895238095238095
"Federated: site-specific slopes","low",5,"4",2,10,828.9,0.0921298693053913,0.0786744912662065,0.0921298693053926,0.00189124307596096,0.543161815013744,0.0527877699484569,0.0042615782333893,0.000477386145700055,0.00927048569754121
"Federated: site-specific slopes","low",5,"4",3,10,666.7,0.0752714028797973,0.0644149166032893,0.075271402879799,0.00133826064333706,0.492464205916094,0.0431717627663741,0.0035568816651882,0.000301888340047026,0.0119775504831233
"Federated: site-specific slopes","low",5,"4",4,10,549.2,0.0635605515581476,0.0537900878784428,0.0635605515581495,0.00108365265842672,0.422159086544538,0.0368935947953197,0.00252091276025858,0.00201022535964386,0.0140352892941081
"Federated: site-specific slopes","low",5,"4",5,10,465.6,0.0579648322493714,0.0479094223974081,0.0579648322493731,0.000895791901770634,0.409075329640408,0.042512534964788,0.0027212650869866,0.00107801010554076,0.011112865319249
"Federated: site-specific slopes","low",5,"5",1,10,1100,0.122272727272727,0.0853,0.122272727272728,0.00354050969342328,0.630395937513228,0.0508699551361909,0.00617362920956328,0.000272727272727273,0.00963636363636364
"Federated: site-specific slopes","low",5,"5",2,10,845.9,0.112738998980398,0.0786744912662065,0.1127389989804,0.00190330276677775,0.61877210822737,0.04660015049144,0.00243856369762194,0.00057868407436379,0.0109881534288064
"Federated: site-specific slopes","low",5,"5",3,10,654,0.0935060084216223,0.0644149166032893,0.0935060084216248,0.00155397851029233,0.576944202688008,0.0465388753872822,0.00345738424028918,0.00108388110616829,0.0115804462820237
"Federated: site-specific slopes","low",5,"5",4,10,522.4,0.0735467626490851,0.0537900878784428,0.0735467626490874,0.00120313143692521,0.463556699834878,0.043580062883082,0.0055600185132657,0.000945763525132891,0.0121996302084234
"Federated: site-specific slopes","low",5,"5",5,10,436.1,0.0662304459281606,0.0479094223974081,0.0662304459281634,0.00115388135103631,0.444460942324353,0.0367150420676761,0.00487537820995083,0.00113486642210635,0.0136255763577591
"Federated: site-specific slopes","low",5,"Overall",1,10,5000,0.0853,0.0853,0.0853000000002232,0.00225956201383251,0.522217558033689,0.0446067832885319,0.00300377707127844,0.00056,0.01148
