"model","heterogeneity","replicate","tau","site","strategy","interval","risk_n","weight_sum","weight_mean","weight_sd","weight_cv","weight_min","weight_q01","weight_q05","weight_q50","weight_q95","weight_q99","weight_max","prop_weight_gt_5","prop_weight_gt_10","prop_weight_gt_20","ess","ess_fraction","design_effect"
"Federated: site-specific slopes","low",1,5,"1","Initiate by tau",1,900,899.809431189045,0.999788256876716,0.512479432989373,0.512587969967092,0.178601876936286,0.454468188654897,0.91792766130571,0.941450225098902,1.10174182135142,2.77039717123166,11.9238729409758,0.00222222222222222,0.00111111111111111,0,712.896987287817,0.79210776365313,1.26245448648059
"Federated: site-specific slopes","low",1,5,"1","Initiate by tau",2,828,825.702634928098,0.997225404502535,0.593720400217604,0.595372317569247,0.178601876936286,0.461652583615949,0.847540027545308,0.889224238990956,1.32518208438615,3.4938661711308,11.9238729409758,0.00241545893719807,0.00120772946859903,0,611.503310097429,0.738530567750518,1.35404009484115
"Federated: site-specific slopes","low",1,5,"1","Initiate by tau",3,732,703.426430693431,0.960965069253321,0.628475021639994,0.654004023401522,0.168958062651786,0.330496110980915,0.771956331494619,0.842604794153089,1.39721677068414,3.48976905807904,11.9238729409758,0.00273224043715847,0.00136612021857923,0,512.915038110186,0.700703603975664,1.42713694396059
"Federated: site-specific slopes","low",1,5,"1","Initiate by tau",4,660,634.046345463057,0.960676281004633,0.681035361225921,0.708912434596308,0.129035496954097,0.242194874243221,0.697223619781432,0.814388016558125,1.61018846756179,3.74860904437537,11.9238729409758,0.00303030303030303,0.00151515151515152,0,439.473981822686,0.665869669428313,1.5017953901678
"Federated: site-specific slopes","low",1,5,"1","Initiate by tau",5,105,152.599502948617,1.45332859951063,1.59467657173283,1.09725809584273,0.156052701625592,0.156267643965438,0.238240054375285,0.91588020580964,4.0499597248987,10.2797224214935,11.9238729409758,0.019047619047619,0.00952380952380952,0,47.8903415783784,0.456098491222652,2.19250889718869
"Federated: site-specific slopes","low",1,5,"1","Do not initiate by tau",1,856,822.399797271156,0.960747426718639,0.0587760836826656,0.0611774562679922,0.916108907604607,0.916916126719191,0.919094440510826,0.941425934146304,1.06944509199464,1.19403814666236,1.59588307229056,0,0,0,852.811925618836,0.996275614040696,1.00373830886435
"Federated: site-specific slopes","low",1,5,"1","Do not initiate by tau",2,754,698.98466296917,0.927035362028076,0.133111212223397,0.143588063277531,0.84474252084005,0.846355738156935,0.850340574018737,0.887829452781918,1.12435553444679,1.3884751137815,2.61245817960237,0,0,0,738.788212036958,0.979825214903128,1.02059018770901
"Federated: site-specific slopes","low",1,5,"1","Do not initiate by tau",3,640,566.177605738604,0.884652508966569,0.135612869229943,0.153295071065093,0.78509246726064,0.788180756689627,0.792103089634457,0.841263224958612,1.09689912085554,1.53127534758208,2.21975389117834,0,0,0,625.328137866554,0.977075215416491,1.02346266103346
"Federated: site-specific slopes","low",1,5,"1","Do not initiate by tau",4,560,483.032564364301,0.862558150650536,0.148774101328739,0.172480082898218,0.748130029476529,0.75143284951629,0.757195123688299,0.811739502955741,1.12600294071795,1.53525699741101,2.02278878395812,0,0,0,543.849700553314,0.971160179559489,1.02969625510551
"Federated: site-specific slopes","low",1,5,"1","Do not initiate by tau",5,491,413.897117834125,0.842967653429991,0.194375611796519,0.230584899676299,0.712664843433923,0.71563884180937,0.722240536030434,0.780593608797513,1.11858039724835,1.76795696608734,2.99309730452849,0,0,0,466.259741507619,0.949612508162158,1.05306110798326
"Federated: site-specific slopes","low",1,5,"2","Initiate by tau",1,950,950.844996129129,1.00088946960961,0.3830772575634,0.382736824789272,0.133865022650505,0.31790151452752,0.91793457095836,0.949670897204366,1.18120182825026,2.6170571878285,8.2569883978277,0.00210526315789474,0,0,828.729320537612,0.872346653197486,1.14633327970551
"Federated: site-specific slopes","low",1,5,"2","Initiate by tau",2,848,840.325704117215,0.990950122779736,0.496077904461321,0.500608348551147,0.141660176590869,0.239929626773186,0.605942931792775,0.903162228263082,1.49201713190152,3.26813638781558,8.2569883978277,0.00235849056603774,0,0,678.23006837675,0.799799608934847,1.25031318948977
"Federated: site-specific slopes","low",1,5,"2","Initiate by tau",3,750,721.3903549493,0.961853806599067,0.551019746920115,0.572872658131298,0.14263468445713,0.226544115673369,0.399693461149894,0.861009365888526,1.70371224694031,3.64639726275612,8.2569883978277,0.00266666666666667,0,0,564.867286073008,0.753156381430678,1.32774550499117
"Federated: site-specific slopes","low",1,5,"2","Initiate by tau",4,693,647.681805961314,0.934605780607957,0.585168290068474,0.626112423237768,0.14263468445713,0.231433934374072,0.400229565375349,0.822438034483879,1.52299558482066,3.87446666387702,8.2569883978277,0.00288600288600289,0,0,498.041222638503,0.718674202941563,1.39145108577288
"Federated: site-specific slopes","low",1,5,"2","Initiate by tau",5,139,169.02249369804,1.21598916329526,1.22813604063758,1.00998929736299,0.14263468445713,0.154110287444779,0.234968923761547,0.757899227154027,3.87075116360263,6.07693030726312,8.2569883978277,0.0215827338129496,0,0,69.060097969996,0.496835237194216,2.01273968740082
"Federated: site-specific slopes","low",1,5,"2","Do not initiate by tau",1,890,869.200426877786,0.976629693121107,0.08877573212776,0.0909000952490509,0.915090423316362,0.917040238131814,0.920200630127591,0.95035962800241,1.1056463178005,1.41548827943633,1.86453003062468,0,0,0,882.714477887607,0.991814020098434,1.00825354324065
