"model","heterogeneity","tau","site","strategy","interval","replicates","mean_risk_n","mean_weight","mean_q95","mean_q99","median_max","max_across_reps","mean_ess","mean_ess_fraction","p10_ess_fraction","mean_design_effect","mean_prop_weight_gt_10"
"Federated: site-specific slopes","low",5,"1","Do not initiate by tau",1,10,851.6,0.966687930765843,1.0972382656298,1.31151793398559,2.05357155960311,2.44139396273901,845.10016407603,0.992365724569122,0.98849999352078,1.00769914506765,0
"Federated: site-specific slopes","low",5,"1","Do not initiate by tau",2,10,733.8,0.93120010647867,1.15500108482283,1.51914746970369,2.47266682925181,10.4893567053772,707.057636541174,0.963554965249171,0.898224672667545,1.03926440822544,0.00013531799729364
"Federated: site-specific slopes","low",5,"1","Do not initiate by tau",3,10,634.6,0.892514759878289,1.1541483728195,1.57335538170849,2.66881385437585,3.4454981913378,614.504283328639,0.968307628977762,0.960972013684154,1.03275534381976,0
"Federated: site-specific slopes","low",5,"1","Do not initiate by tau",4,10,557.9,0.865692760060625,1.1753704129637,1.66551406520819,3.02423050844528,5.26053317022093,527.623987109016,0.945664020145126,0.910174797273819,1.05801544281584,0
"Federated: site-specific slopes","low",5,"1","Do not initiate by tau",5,10,494.8,0.838287982619459,1.13774529844429,1.72949508031343,2.93674976747327,5.50437891155286,465.267314534654,0.94052367687001,0.90410683339083,1.06377185612997,0
"Federated: site-specific slopes","low",5,"1","Initiate by tau",1,10,900,0.997984980372333,1.14304098777823,2.36038996717247,11.4795072314091,19.5051254976857,712.260893804668,0.791400993116297,0.648776906054819,1.28170258631118,0.000777777777777778
"Federated: site-specific slopes","low",5,"1","Initiate by tau",2,10,813.9,1.00331609849506,1.36286529238615,3.9153075740285,13.9284049312231,50.9857705718582,499.195825569871,0.612986814631935,0.319218724532658,1.86373602003454,0.00196640943062714
"Federated: site-specific slopes","low",5,"1","Initiate by tau",3,10,731.3,0.994775813471517,1.49887407861372,4.75876508478521,16.2277963881169,50.9857705718582,400.738191144429,0.547393518241177,0.281800179330059,2.09984002840381,0.00246804579160522
"Federated: site-specific slopes","low",5,"1","Initiate by tau",4,10,661.2,0.990326222533498,1.65769603710397,5.0534944069094,16.2277963881169,50.9857705718582,335.351220439904,0.506551566195281,0.264076581981791,2.25584320835926,0.00257673992389263
"Federated: site-specific slopes","low",5,"1","Initiate by tau",5,10,110,1.63637073651861,5.45322725117769,15.1208110291958,16.2277963881169,50.9857705718582,38.2097482855438,0.348454085068325,0.181796680240186,3.28895214514633,0.0152808508320087
"Federated: site-specific slopes","low",5,"2","Do not initiate by tau",1,10,891.6,0.974236808069244,1.11818994613732,1.3884437658555,1.99014871798023,3.11659306191912,883.016272780681,0.990376807240595,0.983120908219872,1.00973176994238,0
