"model","heterogeneity","tau","site","strategy","interval","replicates","mean_risk_n","mean_weight","mean_q95","mean_q99","median_max","max_across_reps","mean_ess","mean_ess_fraction","p10_ess_fraction","mean_design_effect","mean_prop_weight_gt_10"
"Federated: site-specific slopes","low",5,"1","Do not initiate by tau",5,10,494.8,0.838287982619459,1.13774529844429,1.72949508031343,2.93674976747327,5.50437891155286,465.267314534654,0.94052367687001,0.90410683339083,1.06377185612997,0
"Federated: site-specific slopes","low",5,"1","Initiate by tau",5,10,110,1.63637073651861,5.45322725117769,15.1208110291958,16.2277963881169,50.9857705718582,38.2097482855438,0.348454085068325,0.181796680240186,3.28895214514633,0.0152808508320087
"Federated: site-specific slopes","low",5,"2","Do not initiate by tau",5,10,488.2,0.86095989697536,1.20855557023156,1.89211325144502,3.97911363297212,10.9128932399112,435.189468037369,0.89197899312194,0.774109615720812,1.12742339959838,0.000196463654223969
"Federated: site-specific slopes","low",5,"2","Initiate by tau",5,10,125.6,1.60146699098241,5.59211866512665,18.0583832069753,14.3445887227846,57.3199728100542,42.1706629557248,0.329445621496058,0.10645109198307,4.15243261665672,0.0151851335942245
"Federated: site-specific slopes","low",5,"3","Do not initiate by tau",5,10,468.5,0.902900658782193,1.3786682132323,2.34444578867043,3.83712510687012,7.46474020723689,409.29722232434,0.874110799136807,0.813225198204011,1.14641549145171,0
"Federated: site-specific slopes","low",5,"3","Initiate by tau",5,10,156.3,1.32514233482138,4.61048433407281,11.3385383652541,10.9726179467735,44.9764141151335,48.4169939310346,0.30788346376912,0.131565953516576,3.88278928340702,0.0077329795188768
"Federated: site-specific slopes","low",5,"4","Do not initiate by tau",5,10,438.6,0.954795835223257,1.59830858499313,3.019779642496,6.22948637005993,11.9102730993511,349.131378234998,0.796349210325583,0.701066229549219,1.26350957219942,0.000441014869056996
"Federated: site-specific slopes","low",5,"4","Initiate by tau",5,10,187.4,0.986207415765314,2.8993514692509,7.85693576603862,12.6391767591117,17.4520890307808,68.6192069849225,0.364850290363478,0.264337578377514,2.90763651491993,0.00541169848157488
"Federated: site-specific slopes","low",5,"5","Do not initiate by tau",5,10,407.2,0.986448938813253,1.68623937300817,3.0389264266537,5.89840888047414,11.1790416159102,328.291045116362,0.806016182839516,0.725456328389074,1.24520906964612,0.000242130750605327
"Federated: site-specific slopes","low",5,"5","Initiate by tau",5,10,214.5,0.935592630327859,3.23208081644713,7.6064037850521,8.57336243541619,27.7262188770538,76.6612764295919,0.354148356485245,0.19983882918295,3.09217170959736,0.00252020091723084
