"method","estimand","tau","beta_trt","heterogeneity","patient_mix","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",5,-1,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0687511299507496,-0.0803449440867667,0.0450882781772653,0.0115938141360172,0.0436158341057399,0.818,500
"Federated CCW","RD",10,-1,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0597745533328795,-0.0733549086408174,0.0368211662614072,0.0135803553079379,0.0342595924363991,0.838,500
"Federated CCW","RD",15,-1,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.053110286703356,-0.0744766531481054,0.0370447808607036,0.0213663664447494,0.0302923989283104,0.764,500
"Federated CCW","RD",5,-0.7,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0368487995678135,-0.0563564235631056,0.0462585156541959,0.0195076239952921,0.0419860516559381,0.788,500
"Federated CCW","RD",10,-0.7,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0329877118730439,-0.0500106692994288,0.0381573834565397,0.0170229574263849,0.0341839423785785,0.81,500
"Federated CCW","RD",15,-0.7,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0313901552862387,-0.0455425306285117,0.0326740674409164,0.014152375342273,0.029479535976466,0.838,500
"Federated CCW","RD",5,-0.5,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0197194425242426,-0.0387073509296585,0.0454671922949565,0.0189879084054159,0.0413539018712145,0.776,500
"Federated CCW","RD",10,-0.5,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0183156519656809,-0.0349553447683074,0.0400671309268514,0.0166396928026265,0.0364850369327432,0.808,500
"Federated CCW","RD",15,-0.5,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0143156210469385,-0.0316443637166509,0.0363402892623682,0.0173287426697125,0.0319746157641654,0.792,500
"Federated CCW","RD",5,-1,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.120068809947205,-0.121209514418316,0.0236942216336376,0.00114070447111066,0.0236904496991387,0.95,500
