"method","estimand","tau","beta_trt","heterogeneity","patient_mix","t_star","site_sizes","init_intercepts","mean_est","truth","rmse","bias","emp_sd","coverage","n_reps"
"Federated CCW","RD",5,-1,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0722725701613484,-0.0902309653223324,0.046119115846226,0.017958395160984,0.0520259871075921,1,3
"Federated CCW","RD",10,-1,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0666347473448404,-0.0712000462335293,0.0146762711018982,0.00456529888868884,0.0170829291771061,1,3
"Federated CCW","RD",15,-1,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0544736435912982,-0.0576232791648205,0.0203108998864322,0.00314963557352221,0.0245747568640264,1,3
"Federated CCW","RD",5,-0.7,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0230422024508468,-0.0613464309007354,0.0450717616561838,0.0383042284498886,0.0290925191840767,0.666666666666667,3
"Federated CCW","RD",10,-0.7,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0369876893441995,-0.0486558463406269,0.0202481231768003,0.0116681569964274,0.02026723727434,1,3
"Federated CCW","RD",15,-0.7,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.00324919572301119,-0.0390118290598187,0.0423442193732565,0.0357626333368075,0.0277686956251335,0.666666666666667,3
"Federated CCW","RD",5,-0.5,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.000472854826212436,-0.0428916476945675,0.0508043666830217,0.0424187928683551,0.0342431676175228,0.666666666666667,3
"Federated CCW","RD",10,-0.5,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0237110232650585,-0.0342070377446666,0.0116058071606881,0.0104960144796081,0.00606569533049614,1,3
"Federated CCW","RD",15,-0.5,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0121676380506158,-0.0273094619523241,0.0322396492760872,0.0151418239017083,0.034859435330512,0.666666666666667,3
"Federated CCW","RD",5,-1,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.100898873212405,-0.133390956604539,0.0351216467168927,0.032492083392134,0.0163307035187478,0.666666666666667,3
"Federated CCW","RD",10,-1,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.0864710061138567,-0.102021564955042,0.0163491040307979,0.0155505588411851,0.00618142244997369,1,3
"Federated CCW","RD",15,-1,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.0724133069218705,-0.0807054566560738,0.0114752117929655,0.0082921497342033,0.00971499396389164,1,3
"Federated CCW","RD",5,-0.7,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.0744195406899887,-0.0905104043144122,0.0185678536868824,0.0160908636244234,0.0113478609233864,1,3
"Federated CCW","RD",10,-0.7,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.0589085745429983,-0.0702414955627608,0.0120445014503435,0.0113329210197625,0.00499523518172358,1,3
"Federated CCW","RD",15,-0.7,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.0580133210535296,-0.0554597097198696,0.0124183003853569,-0.00255361133365998,0.0148842158149611,1,3
"Federated CCW","RD",5,-0.5,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.0408694279864528,-0.0629755469854212,0.0307640128080098,0.0221061189989684,0.0262033581871152,0.666666666666667,3
"Federated CCW","RD",10,-0.5,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.0559640200966138,-0.0494395426097033,0.0174084831066571,-0.0065244774869105,0.0197668843371014,1,3
"Federated CCW","RD",15,-0.5,"low","s1:N(-0.250,0.950^2),Bern(0.350);s2:N(-0.125,0.975^2),Bern(0.375);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.125,1.025^2),Bern(0.425);s5:N(0.250,1.050^2),Bern(0.450)",25,"900/950/1000/1050/1100","-3.25/-3.125/-3/-2.875/-2.75",-0.0461891914889414,-0.0390607224251578,0.0258554307769264,-0.00712846906378358,0.0304389938105823,0.666666666666667,3
"Federated CCW","RD",5,-1,"moderate","s1:N(-0.750,0.850^2),Bern(0.200);s2:N(-0.375,0.925^2),Bern(0.300);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.375,1.075^2),Bern(0.500);s5:N(0.750,1.150^2),Bern(0.600)",25,"600/800/1000/1200/1400","-3.75/-3.375/-3/-2.625/-2.25",-0.0944574199753937,-0.120826072308627,0.0283883340639032,0.0263686523332334,0.0128797332107171,1,3
"Federated CCW","RD",10,-1,"moderate","s1:N(-0.750,0.850^2),Bern(0.200);s2:N(-0.375,0.925^2),Bern(0.300);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.375,1.075^2),Bern(0.500);s5:N(0.750,1.150^2),Bern(0.600)",25,"600/800/1000/1200/1400","-3.75/-3.375/-3/-2.625/-2.25",-0.0978411883798144,-0.0931661847610463,0.0223945513510575,-0.00467500361876805,0.0268233183456015,1,3
"Federated CCW","RD",15,-1,"moderate","s1:N(-0.750,0.850^2),Bern(0.200);s2:N(-0.375,0.925^2),Bern(0.300);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.375,1.075^2),Bern(0.500);s5:N(0.750,1.150^2),Bern(0.600)",25,"600/800/1000/1200/1400","-3.75/-3.375/-3/-2.625/-2.25",-0.0807576594833547,-0.0740809013607905,0.0104542925734496,-0.00667675812256426,0.00985239571251998,1,3
"Federated CCW","RD",5,-0.7,"moderate","s1:N(-0.750,0.850^2),Bern(0.200);s2:N(-0.375,0.925^2),Bern(0.300);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.375,1.075^2),Bern(0.500);s5:N(0.750,1.150^2),Bern(0.600)",25,"600/800/1000/1200/1400","-3.75/-3.375/-3/-2.625/-2.25",-0.0891091915037565,-0.0820967860967627,0.0292270939028055,-0.00701240540699377,0.0347501623394346,1,3
"Federated CCW","RD",10,-0.7,"moderate","s1:N(-0.750,0.850^2),Bern(0.200);s2:N(-0.375,0.925^2),Bern(0.300);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.375,1.075^2),Bern(0.500);s5:N(0.750,1.150^2),Bern(0.600)",25,"600/800/1000/1200/1400","-3.75/-3.375/-3/-2.625/-2.25",-0.104792288800178,-0.064051447260424,0.0496105899325725,-0.0407408415397538,0.0346711940396606,1,3
"Federated CCW","RD",15,-0.7,"moderate","s1:N(-0.750,0.850^2),Bern(0.200);s2:N(-0.375,0.925^2),Bern(0.300);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.375,1.075^2),Bern(0.500);s5:N(0.750,1.150^2),Bern(0.600)",25,"600/800/1000/1200/1400","-3.75/-3.375/-3/-2.625/-2.25",-0.0635516744397977,-0.0507252219592521,0.0157084959887028,-0.0128264524805456,0.0111066846757751,1,3
"Federated CCW","RD",5,-0.5,"moderate","s1:N(-0.750,0.850^2),Bern(0.200);s2:N(-0.375,0.925^2),Bern(0.300);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.375,1.075^2),Bern(0.500);s5:N(0.750,1.150^2),Bern(0.600)",25,"600/800/1000/1200/1400","-3.75/-3.375/-3/-2.625/-2.25",-0.0587674566628541,-0.0572290464737304,0.0443671910008073,-0.00153841018912367,0.0543058136582831,0.666666666666667,3
"Federated CCW","RD",10,-0.5,"moderate","s1:N(-0.750,0.850^2),Bern(0.200);s2:N(-0.375,0.925^2),Bern(0.300);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.375,1.075^2),Bern(0.500);s5:N(0.750,1.150^2),Bern(0.600)",25,"600/800/1000/1200/1400","-3.75/-3.375/-3/-2.625/-2.25",-0.0538712824611813,-0.0450893407791142,0.00978122015003167,-0.0087819416820671,0.00527490775978471,1,3
"Federated CCW","RD",15,-0.5,"moderate","s1:N(-0.750,0.850^2),Bern(0.200);s2:N(-0.375,0.925^2),Bern(0.300);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.375,1.075^2),Bern(0.500);s5:N(0.750,1.150^2),Bern(0.600)",25,"600/800/1000/1200/1400","-3.75/-3.375/-3/-2.625/-2.25",-0.0135953509843609,-0.0356832054427237,0.0260718002267137,0.0220878544583628,0.0169646154902425,0.333333333333333,3
"Pooled CCW (site FE, shared slopes)","RD",5,-1,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.078878984973419,-0.0902309653223324,0.0517615371319497,0.0113519803489134,0.0618513047771035,1,3
"Pooled CCW (site FE, shared slopes)","RD",10,-1,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0881659951256632,-0.0712000462335293,0.0230002548404583,-0.0169659488921339,0.0190197910444171,1,3
"Pooled CCW (site FE, shared slopes)","RD",15,-1,"high","s1:N(-1.500,0.700^2),Bern(0.100);s2:N(-0.750,0.850^2),Bern(0.250);s3:N(0.000,1.000^2),Bern(0.400);s4:N(0.750,1.150^2),Bern(0.550);s5:N(1.500,1.300^2),Bern(0.700)",25,"400/600/800/1200/2000","-4.5/-3.75/-3/-2.25/-1.5",-0.0583538293085013,-0.0576232791648205,0.0174074234209368,-0.000730550143680806,0.021300869230269,1,3
